age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,prediction
54,Federal-gov,1st-4th,16,Widowed,Adm-clerical,Husband,Amer-Indian-Eskimo,Male,Asian-Pac-Islander,Amer-Indian-Eskimo,74,Yugoslavia,1
54,Federal-gov,1st-4th,16,Widowed,Adm-clerical,Husband,Amer-Indian-Eskimo,Female,Asian-Pac-Islander,Amer-Indian-Eskimo,74,Yugoslavia,0
64,State-gov,Bachelors,16,Widowed,Exec-managerial,Wife,Amer-Indian-Eskimo,Male,Asian-Pac-Islander,White,53,Haiti,1
64,State-gov,Bachelors,16,Widowed,Exec-managerial,Wife,Amer-Indian-Eskimo,Female,Asian-Pac-Islander,White,53,Haiti,0
35,Federal-gov,Some-college,16,Widowed,Transport-moving,Wife,Asian-Pac-Islander,Female,Asian-Pac-Islander,capital-loss_9,21,Scotland,0
35,Federal-gov,Some-college,16,Widowed,Transport-moving,Wife,Asian-Pac-Islander,Male,Asian-Pac-Islander,capital-loss_9,21,Scotland,1
84,Local-gov,Some-college,5,Divorced,Adm-clerical,Wife,White,Female,Asian-Pac-Islander,White,90,Yugoslavia,0
84,Local-gov,Some-college,5,Divorced,Adm-clerical,Wife,White,Male,Asian-Pac-Islander,White,90,Yugoslavia,1
11,Self-emp-not-inc,Prof-school,16,Widowed,Tech-support,Wife,Other,Male,Asian-Pac-Islander,capital-loss_16,73,Cambodia,1
11,Self-emp-not-inc,Prof-school,16,Widowed,Tech-support,Wife,Other,Female,Asian-Pac-Islander,capital-loss_16,73,Cambodia,0
73,Self-emp-inc,Assoc-voc,10,Widowed,Sales,Husband,White,Male,Asian-Pac-Islander,capital-loss_9,93,United-States,1
73,Self-emp-inc,Assoc-voc,10,Widowed,Sales,Husband,White,Female,Asian-Pac-Islander,capital-loss_9,93,United-States,0
36,State-gov,Some-college,2,Married-spouse-absent,Prof-specialty,Husband,Other,Female,Amer-Indian-Eskimo,capital-loss_19,73,Guatemala,0
36,State-gov,Some-college,2,Married-spouse-absent,Prof-specialty,Husband,Other,Male,Amer-Indian-Eskimo,capital-loss_19,73,Guatemala,1
49,Self-emp-inc,Bachelors,8,Divorced,Protective-serv,Unmarried,Amer-Indian-Eskimo,Male,Asian-Pac-Islander,capital-loss_5,20,Taiwan,1
49,Self-emp-inc,Bachelors,8,Divorced,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,Asian-Pac-Islander,capital-loss_5,20,Taiwan,0
36,Without-pay,12th,11,Never-married,Adm-clerical,Wife,White,Male,Amer-Indian-Eskimo,capital-loss_15,69,China,1
36,Without-pay,12th,11,Never-married,Adm-clerical,Wife,White,Female,Amer-Indian-Eskimo,capital-loss_15,69,China,0
30,Without-pay,Doctorate,3,Never-married,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Male,Asian-Pac-Islander,capital-loss_14,66,Yugoslavia,1
30,Without-pay,Doctorate,3,Never-married,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,Asian-Pac-Islander,capital-loss_14,66,Yugoslavia,0
95,Private,5th-6th,6,Never-married,Protective-serv,Own-child,Amer-Indian-Eskimo,Female,Amer-Indian-Eskimo,Asian-Pac-Islander,88,Cambodia,0
95,Private,5th-6th,6,Never-married,Protective-serv,Own-child,Amer-Indian-Eskimo,Male,Amer-Indian-Eskimo,Asian-Pac-Islander,88,Cambodia,1
