age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,output,decision
79,Local-gov,7th-8th,1,Married-civ-spouse,Tech-support,Not-in-family,White,Female,52500,3375,89,Guatemala,0.010543,POSITIVE
79,Local-gov,7th-8th,1,Married-civ-spouse,Tech-support,Not-in-family,White,Male,52500,3375,89,Guatemala,-0.072793,NEGATIVE
81,Local-gov,12th,1,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,52500,2286,90,Nicaragua,-0.056928,NEGATIVE
81,Local-gov,12th,1,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,52500,2286,90,Nicaragua,0.040095,POSITIVE
58,Local-gov,12th,1,Widowed,Craft-repair,Not-in-family,White,Female,52500,2286,90,Nicaragua,-0.095999,NEGATIVE
58,Local-gov,12th,1,Widowed,Craft-repair,Not-in-family,White,Male,52500,2286,90,Nicaragua,0.020269,POSITIVE
69,Local-gov,12th,2,Divorced,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,52500,3593,91,Scotland,0.029396,POSITIVE
69,Local-gov,12th,2,Divorced,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,52500,3593,91,Scotland,-0.049877,NEGATIVE
59,State-gov,Masters,3,Divorced,Other-service,Other-relative,Asian-Pac-Islander,Female,52500,3593,92,Thailand,0.071714,POSITIVE
59,State-gov,Masters,3,Divorced,Other-service,Other-relative,Asian-Pac-Islander,Male,52500,3593,92,Thailand,-0.013547,NEGATIVE
64,State-gov,1st-4th,3,Divorced,Other-service,Other-relative,Amer-Indian-Eskimo,Female,62500,2722,93,Yugoslavia,0.022482,POSITIVE
64,State-gov,1st-4th,3,Divorced,Other-service,Other-relative,Amer-Indian-Eskimo,Male,62500,2722,93,Yugoslavia,-0.015171,NEGATIVE
62,State-gov,Masters,3,Divorced,Other-service,Own-child,Asian-Pac-Islander,Female,52500,2504,92,Thailand,0.024526,POSITIVE
62,State-gov,Masters,3,Divorced,Other-service,Own-child,Asian-Pac-Islander,Male,52500,2504,92,Thailand,-0.007080,NEGATIVE
69,Local-gov,Some-college,2,Divorced,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,52500,2504,91,Scotland,-0.008282,NEGATIVE
69,Local-gov,Some-college,2,Divorced,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,52500,2504,91,Scotland,0.074942,POSITIVE
56,Local-gov,7th-8th,1,Married-civ-spouse,Tech-support,Not-in-family,White,Female,52500,3375,76,Guatemala,0.033272,POSITIVE
