age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,output,decision
90,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Female,92500,108,76,El-Salvador,10.227472,POSITIVE
90,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Male,92500,108,76,El-Salvador,-0.788381,NEGATIVE
79,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Female,92500,108,89,El-Salvador,11.495162,POSITIVE
79,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Male,92500,108,89,El-Salvador,-0.788381,NEGATIVE
79,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Female,92500,108,76,El-Salvador,10.931283,POSITIVE
79,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Male,92500,108,76,El-Salvador,-0.788381,NEGATIVE
79,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Female,92500,2286,51,El-Salvador,10.463995,POSITIVE
79,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Male,92500,2286,51,El-Salvador,-0.788381,NEGATIVE
79,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Female,92500,1197,51,El-Salvador,9.857249,POSITIVE
79,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Male,92500,1197,51,El-Salvador,-0.788381,NEGATIVE
79,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Female,92500,108,51,El-Salvador,9.262271,POSITIVE
79,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Male,92500,108,51,El-Salvador,-0.788381,NEGATIVE
79,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Female,92500,108,89,Guatemala,12.573949,POSITIVE
79,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Male,92500,108,89,Guatemala,-0.788381,NEGATIVE
79,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Female,92500,108,76,Guatemala,11.976558,POSITIVE
79,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Male,92500,108,76,Guatemala,-0.788381,NEGATIVE
79,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Female,92500,108,76,Guatemala,12.363792,POSITIVE
79,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Male,92500,108,76,Guatemala,-0.788381,NEGATIVE
90,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Female,92500,108,51,Guatemala,10.517464,POSITIVE
90,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Male,92500,108,51,Guatemala,-0.788381,NEGATIVE
79,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Female,92500,108,64,Guatemala,11.812354,POSITIVE
79,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Male,92500,108,64,Guatemala,-0.788381,NEGATIVE
79,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Female,92500,108,51,Guatemala,11.221275,POSITIVE
79,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Male,92500,108,51,Guatemala,-0.788381,NEGATIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Female,92500,108,89,El-Salvador,11.257863,POSITIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Male,92500,108,89,El-Salvador,-0.788381,NEGATIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Female,92500,108,89,El-Salvador,11.625086,POSITIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Male,92500,108,89,El-Salvador,-0.788381,NEGATIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Female,92500,108,76,El-Salvador,10.693987,POSITIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Male,92500,108,76,El-Salvador,-0.788381,NEGATIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Female,92500,108,76,El-Salvador,11.041316,POSITIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Male,92500,108,76,El-Salvador,-0.788381,NEGATIVE
56,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Female,92500,108,89,El-Salvador,11.388972,POSITIVE
56,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Male,92500,108,89,El-Salvador,-0.788381,NEGATIVE
56,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Female,92500,108,89,El-Salvador,11.955443,POSITIVE
56,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Male,92500,108,89,El-Salvador,-0.788381,NEGATIVE
56,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Female,92500,108,76,El-Salvador,10.814023,POSITIVE
56,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Male,92500,108,76,El-Salvador,-0.788381,NEGATIVE
56,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Female,92500,108,76,El-Salvador,11.178812,POSITIVE
56,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Male,92500,108,76,El-Salvador,-0.788381,NEGATIVE
56,Private,Bachelors,9,Widowed,Tech-support,Wife,White,Female,92500,1197,51,El-Salvador,10.694858,POSITIVE
56,Private,Bachelors,9,Widowed,Tech-support,Wife,White,Male,92500,1197,51,El-Salvador,-0.788381,NEGATIVE
68,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Female,92500,2286,51,El-Salvador,10.602518,POSITIVE
68,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Male,92500,2286,51,El-Salvador,-0.788381,NEGATIVE
56,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Female,92500,2286,51,El-Salvador,10.753631,POSITIVE
56,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Male,92500,2286,51,El-Salvador,-0.788381,NEGATIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Female,92500,108,64,El-Salvador,10.520810,POSITIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Male,92500,108,64,El-Salvador,-0.788381,NEGATIVE
68,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Female,92500,108,51,El-Salvador,9.363156,POSITIVE
68,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Male,92500,108,51,El-Salvador,-0.788381,NEGATIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Female,92500,108,51,El-Salvador,9.956933,POSITIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Male,92500,108,51,El-Salvador,-0.788381,NEGATIVE
56,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Female,92500,108,64,El-Salvador,10.293517,POSITIVE
56,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Male,92500,108,64,El-Salvador,-0.788381,NEGATIVE
56,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Female,92500,108,64,El-Salvador,10.640843,POSITIVE
56,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Male,92500,108,64,El-Salvador,-0.788381,NEGATIVE
56,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Female,92500,108,51,El-Salvador,9.729640,POSITIVE
56,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Male,92500,108,51,El-Salvador,-0.788381,NEGATIVE
56,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Female,92500,108,51,El-Salvador,10.076966,POSITIVE
56,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Male,92500,108,51,El-Salvador,-0.788381,NEGATIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Female,92500,108,89,Guatemala,12.752531,POSITIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Male,92500,108,89,Guatemala,-0.788381,NEGATIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Female,92500,108,76,Guatemala,12.115082,POSITIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Male,92500,108,76,Guatemala,-0.788381,NEGATIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Female,92500,108,76,Guatemala,12.527204,POSITIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Male,92500,108,76,Guatemala,-0.788381,NEGATIVE
56,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Female,92500,108,89,Guatemala,13.337056,POSITIVE
56,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Male,92500,108,89,Guatemala,-0.788381,NEGATIVE
56,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Female,92500,108,76,Guatemala,12.397909,POSITIVE
56,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Male,92500,108,76,Guatemala,-0.788381,NEGATIVE
56,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Female,92500,108,76,Guatemala,13.111726,POSITIVE
56,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Male,92500,108,76,Guatemala,-0.788381,NEGATIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Female,92500,108,64,Guatemala,11.563647,POSITIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Male,92500,108,64,Guatemala,-0.788381,NEGATIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Female,92500,108,64,Guatemala,11.950880,POSITIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Male,92500,108,64,Guatemala,-0.788381,NEGATIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Female,92500,108,51,Guatemala,10.983979,POSITIVE
68,Private,Bachelors,1,Married-civ-spouse,Tech-support,Not-in-family,White,Male,92500,108,51,Guatemala,-0.788381,NEGATIVE
