CE_ID,PA,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Output,Decision
1,0,95,State-gov,10th,14,Married-spouse-absent,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Female,97500,1197,95,Peru,-0.026999,NEGATIVE
1,1,95,State-gov,10th,14,Married-spouse-absent,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Male,97500,1197,95,Peru,0.381575,POSITIVE
2,0,92,State-gov,Masters,9,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,92500,1415,92,Thailand,1.184166,POSITIVE
2,1,92,State-gov,Masters,9,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Male,92500,1415,92,Thailand,-0.702504,NEGATIVE
3,0,82,State-gov,1st-4th,10,Married-spouse-absent,Prof-specialty,Other-relative,Amer-Indian-Eskimo,Female,92500,1851,93,Yugoslavia,-0.381561,NEGATIVE
3,1,82,State-gov,1st-4th,10,Married-spouse-absent,Prof-specialty,Other-relative,Amer-Indian-Eskimo,Male,92500,1851,93,Yugoslavia,0.027018,POSITIVE
4,0,85,State-gov,Doctorate,11,Never-married,Priv-house-serv,Other-relative,Other,Female,97500,1415,96,Trinadad&Tobago,-0.072203,NEGATIVE
4,1,85,State-gov,Doctorate,11,Never-married,Priv-house-serv,Other-relative,Other,Male,97500,1415,96,Trinadad&Tobago,0.336368,POSITIVE
5,0,84,State-gov,10th,10,Never-married,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Female,97500,1197,95,Scotland,1.493396,POSITIVE
5,1,84,State-gov,10th,10,Never-married,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Male,97500,1197,95,Scotland,-0.240798,NEGATIVE
6,0,98,Federal-gov,5th-6th,11,Married-AF-spouse,Prof-specialty,Unmarried,Black,Female,97500,1851,98,Hong,-0.269583,NEGATIVE
6,1,98,Federal-gov,5th-6th,11,Married-AF-spouse,Prof-specialty,Unmarried,Black,Male,97500,1851,98,Hong,0.138996,POSITIVE
7,0,93,State-gov,1st-4th,10,Married-spouse-absent,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,92500,1851,93,Yugoslavia,1.805407,POSITIVE
7,1,93,State-gov,1st-4th,10,Married-spouse-absent,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,92500,1851,93,Yugoslavia,-0.081261,NEGATIVE
8,0,97,Without-pay,5th-6th,11,Never-married,Protective-serv,Husband,Other,Female,97500,1633,97,Thailand,-0.027716,NEGATIVE
8,1,97,Without-pay,5th-6th,11,Never-married,Protective-serv,Husband,Other,Male,97500,1633,97,Thailand,0.380862,POSITIVE
9,0,95,State-gov,10th,10,Never-married,Exec-managerial,Own-child,Amer-Indian-Eskimo,Female,97500,1197,95,El-Salvador,0.720965,POSITIVE
9,1,95,State-gov,10th,10,Never-married,Exec-managerial,Own-child,Amer-Indian-Eskimo,Male,97500,1197,95,El-Salvador,-1.165704,NEGATIVE
10,0,81,State-gov,Masters,9,Married-spouse-absent,Farming-fishing,Own-child,Asian-Pac-Islander,Female,92500,1415,92,Trinadad&Tobago,1.473459,POSITIVE
10,1,81,State-gov,Masters,9,Married-spouse-absent,Farming-fishing,Own-child,Asian-Pac-Islander,Male,92500,1415,92,Trinadad&Tobago,-0.056825,NEGATIVE
11,0,84,State-gov,10th,10,Married-spouse-absent,Exec-managerial,Own-child,Amer-Indian-Eskimo,Female,97500,1197,95,El-Salvador,1.543249,POSITIVE
11,1,84,State-gov,10th,10,Married-spouse-absent,Exec-managerial,Own-child,Amer-Indian-Eskimo,Male,97500,1197,95,El-Salvador,-0.343413,NEGATIVE
12,0,95,State-gov,10th,10,Married-spouse-absent,Machine-op-inspct,Other-relative,Amer-Indian-Eskimo,Female,97500,2286,82,El-Salvador,-0.197967,NEGATIVE
12,1,95,State-gov,10th,10,Married-spouse-absent,Machine-op-inspct,Other-relative,Amer-Indian-Eskimo,Male,97500,2286,82,El-Salvador,0.210611,POSITIVE
13,0,95,State-gov,10th,10,Never-married,Priv-house-serv,Other-relative,Amer-Indian-Eskimo,Female,97500,1197,83,El-Salvador,-0.104082,NEGATIVE
13,1,95,State-gov,10th,10,Never-married,Priv-house-serv,Other-relative,Amer-Indian-Eskimo,Male,97500,1197,83,El-Salvador,0.304489,POSITIVE
14,0,84,State-gov,10th,10,Married-spouse-absent,Priv-house-serv,Other-relative,Amer-Indian-Eskimo,Female,97500,1197,83,El-Salvador,-0.050169,NEGATIVE
14,1,84,State-gov,10th,10,Married-spouse-absent,Priv-house-serv,Other-relative,Amer-Indian-Eskimo,Male,97500,1197,83,El-Salvador,0.358400,POSITIVE
15,0,84,State-gov,10th,10,Married-spouse-absent,Sales,Other-relative,Amer-Indian-Eskimo,Female,97500,1197,82,Peru,0.403192,POSITIVE
15,1,84,State-gov,10th,10,Married-spouse-absent,Sales,Other-relative,Amer-Indian-Eskimo,Male,97500,1197,82,Peru,-1.483479,NEGATIVE
16,0,93,State-gov,1st-4th,10,Married-spouse-absent,Farming-fishing,Own-child,Amer-Indian-Eskimo,Female,92500,980,80,Peru,0.254563,POSITIVE
16,1,93,State-gov,1st-4th,10,Married-spouse-absent,Farming-fishing,Own-child,Amer-Indian-Eskimo,Male,92500,980,80,Peru,-1.218319,NEGATIVE
17,0,95,State-gov,10th,10,Married-spouse-absent,Priv-house-serv,Own-child,Amer-Indian-Eskimo,Female,97500,1197,83,Scotland,-0.076273,NEGATIVE
17,1,95,State-gov,10th,10,Married-spouse-absent,Priv-house-serv,Own-child,Amer-Indian-Eskimo,Male,97500,1197,83,Scotland,0.332296,POSITIVE
18,0,98,Without-pay,5th-6th,11,Separated,Protective-serv,Husband,Black,Female,97500,1851,86,Hong,-0.058399,NEGATIVE
18,1,98,Without-pay,5th-6th,11,Separated,Protective-serv,Husband,Black,Male,97500,1851,86,Hong,0.350172,POSITIVE
19,0,97,Without-pay,5th-6th,11,Never-married,Prof-specialty,Husband,Other,Female,97500,1633,85,Peru,0.013906,POSITIVE
19,1,97,Without-pay,5th-6th,11,Never-married,Prof-specialty,Husband,Other,Male,97500,1633,85,Peru,-1.209561,NEGATIVE
20,0,87,Without-pay,5th-6th,11,Married-AF-spouse,Protective-serv,Husband,Black,Female,97500,1851,86,Holand-Netherlands,-0.008417,NEGATIVE
20,1,87,Without-pay,5th-6th,11,Married-AF-spouse,Protective-serv,Husband,Black,Male,97500,1851,86,Holand-Netherlands,0.400150,POSITIVE
21,0,86,Without-pay,5th-6th,11,Married-AF-spouse,Prof-specialty,Husband,Other,Female,97500,1633,85,Peru,1.239604,POSITIVE
21,1,86,Without-pay,5th-6th,11,Married-AF-spouse,Prof-specialty,Husband,Other,Male,97500,1633,85,Peru,-0.647066,NEGATIVE
22,0,91,Local-gov,Some-college,9,Widowed,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,92500,980,91,Trinadad&Tobago,0.177155,POSITIVE
22,1,91,Local-gov,Some-college,9,Widowed,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,92500,980,91,Trinadad&Tobago,-0.504129,NEGATIVE
