age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,output,decision
97,Without-pay,Preschool,11,Married-AF-spouse,Prof-specialty,Other-relative,Black,Female,92500,4029,98,Holand-Netherlands,0.049241,POSITIVE
97,Without-pay,Preschool,11,Married-AF-spouse,Prof-specialty,Other-relative,Black,Male,92500,4029,98,Holand-Netherlands,-0.007898,NEGATIVE
97,Without-pay,Preschool,7,Married-AF-spouse,Protective-serv,Other-relative,Black,Female,97500,4029,98,Yugoslavia,0.033999,POSITIVE
97,Without-pay,Preschool,7,Married-AF-spouse,Protective-serv,Other-relative,Black,Male,97500,4029,98,Yugoslavia,-0.023139,NEGATIVE
91,State-gov,5th-6th,2,Married-spouse-absent,Priv-house-serv,Not-in-family,Amer-Indian-Eskimo,Female,97500,3375,95,El-Salvador,0.052375,POSITIVE
91,State-gov,5th-6th,2,Married-spouse-absent,Priv-house-serv,Not-in-family,Amer-Indian-Eskimo,Male,97500,3375,95,El-Salvador,-0.004763,NEGATIVE
95,Without-pay,Masters,3,Married-AF-spouse,Protective-serv,Other-relative,Other,Female,97500,3811,97,Peru,0.027599,POSITIVE
95,Without-pay,Masters,3,Married-AF-spouse,Protective-serv,Other-relative,Other,Male,97500,3811,97,Peru,-0.029541,NEGATIVE
87,State-gov,Doctorate,2,Married-spouse-absent,Farming-fishing,Own-child,Amer-Indian-Eskimo,Female,92500,3158,93,Yugoslavia,0.039444,POSITIVE
87,State-gov,Doctorate,2,Married-spouse-absent,Farming-fishing,Own-child,Amer-Indian-Eskimo,Male,92500,3158,93,Yugoslavia,-0.017694,NEGATIVE
91,State-gov,Masters,2,Married-spouse-absent,Priv-house-serv,Own-child,Amer-Indian-Eskimo,Female,92500,3375,95,El-Salvador,0.055597,POSITIVE
91,State-gov,Masters,2,Married-spouse-absent,Priv-house-serv,Own-child,Amer-Indian-Eskimo,Male,92500,3375,95,El-Salvador,-0.001542,NEGATIVE
93,State-gov,5th-6th,3,Married-spouse-absent,Exec-managerial,Not-in-family,Other,Female,97500,3593,96,Hong,0.020775,POSITIVE
93,State-gov,5th-6th,3,Married-spouse-absent,Exec-managerial,Not-in-family,Other,Male,97500,3593,96,Hong,-0.036364,NEGATIVE
97,Without-pay,1st-4th,7,Married-AF-spouse,Prof-specialty,Other-relative,Black,Female,92500,4029,98,Hong,0.053669,POSITIVE
97,Without-pay,1st-4th,7,Married-AF-spouse,Prof-specialty,Other-relative,Black,Male,92500,4029,98,Hong,-0.003470,NEGATIVE
93,State-gov,Masters,3,Married-spouse-absent,Exec-managerial,Not-in-family,Other,Female,92500,3593,96,Trinadad&Tobago,0.037457,POSITIVE
93,State-gov,Masters,3,Married-spouse-absent,Exec-managerial,Not-in-family,Other,Male,92500,3593,96,Trinadad&Tobago,-0.019681,NEGATIVE
97,Federal-gov,Preschool,3,Married-AF-spouse,Prof-specialty,Other-relative,Black,Female,97500,4029,98,Holand-Netherlands,0.022213,POSITIVE
97,Federal-gov,Preschool,3,Married-AF-spouse,Prof-specialty,Other-relative,Black,Male,97500,4029,98,Holand-Netherlands,-0.034926,NEGATIVE
