age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,output,decision
10,Private,12th,9,Widowed,Craft-repair,Wife,White,Female,52500,108,2,Nicaragua,0.518711,POSITIVE
10,Private,12th,9,Widowed,Craft-repair,Wife,White,Male,52500,108,2,Nicaragua,0.494861,NEGATIVE
90,Local-gov,Bachelors,1,Married-AF-spouse,Tech-support,Not-in-family,White,Female,12500,108,51,Guatemala,0.483451,NEGATIVE
90,Local-gov,Bachelors,1,Married-AF-spouse,Tech-support,Not-in-family,White,Male,12500,108,51,Guatemala,0.518711,POSITIVE
96,Local-gov,Bachelors,1,Widowed,Tech-support,Wife,White,Female,12500,108,51,Guatemala,0.480148,NEGATIVE
96,Local-gov,Bachelors,1,Widowed,Tech-support,Wife,White,Male,12500,108,51,Guatemala,0.533459,POSITIVE
96,Local-gov,Bachelors,1,Widowed,Machine-op-inspct,Wife,White,Female,12500,108,51,Portugal,0.470403,NEGATIVE
96,Local-gov,Bachelors,1,Widowed,Machine-op-inspct,Wife,White,Male,12500,108,51,Portugal,0.518711,POSITIVE
79,Local-gov,7th-8th,1,Married-AF-spouse,Machine-op-inspct,Not-in-family,White,Female,12500,108,51,Portugal,0.465890,NEGATIVE
79,Local-gov,7th-8th,1,Married-AF-spouse,Machine-op-inspct,Not-in-family,White,Male,12500,108,51,Portugal,0.504754,POSITIVE
79,Local-gov,12th,1,Married-AF-spouse,Craft-repair,Not-in-family,White,Female,12500,108,53,France,0.484667,NEGATIVE
79,Local-gov,12th,1,Married-AF-spouse,Craft-repair,Not-in-family,White,Male,12500,108,53,France,0.518711,POSITIVE
79,Local-gov,Bachelors,1,Married-AF-spouse,Tech-support,Wife,White,Female,12500,108,51,Guatemala,0.481689,NEGATIVE
79,Local-gov,Bachelors,1,Married-AF-spouse,Tech-support,Wife,White,Male,12500,108,51,Guatemala,0.518711,POSITIVE
90,Local-gov,7th-8th,1,Widowed,Machine-op-inspct,Wife,White,Female,12500,108,51,United-States,0.482683,NEGATIVE
90,Local-gov,7th-8th,1,Widowed,Machine-op-inspct,Wife,White,Male,12500,108,51,United-States,0.518711,POSITIVE
79,Local-gov,Bachelors,1,Married-AF-spouse,Tech-support,Not-in-family,White,Female,12500,108,51,China,0.518711,POSITIVE
79,Local-gov,Bachelors,1,Married-AF-spouse,Tech-support,Not-in-family,White,Male,12500,108,51,China,0.499993,NEGATIVE
91,Local-gov,HS-grad,9,Married-AF-spouse,Sales,Own-child,Asian-Pac-Islander,Female,2500,2504,91,Laos,0.477983,NEGATIVE
91,Local-gov,HS-grad,9,Married-AF-spouse,Sales,Own-child,Asian-Pac-Islander,Male,2500,2504,91,Laos,0.516879,POSITIVE
96,Private,Bachelors,9,Married-AF-spouse,Tech-support,Wife,White,Female,2500,2286,76,Portugal,0.497620,NEGATIVE
96,Private,Bachelors,9,Married-AF-spouse,Tech-support,Wife,White,Male,2500,2286,76,Portugal,0.518711,POSITIVE
90,Private,Bachelors,9,Widowed,Tech-support,Wife,White,Female,2500,108,89,Portugal,0.482546,NEGATIVE
90,Private,Bachelors,9,Widowed,Tech-support,Wife,White,Male,2500,108,89,Portugal,0.518711,POSITIVE
90,Private,Bachelors,9,Widowed,Tech-support,Wife,White,Female,2500,108,76,Portugal,0.335466,NEGATIVE
90,Private,Bachelors,9,Widowed,Tech-support,Wife,White,Male,2500,108,76,Portugal,0.510984,POSITIVE
79,Self-emp-not-inc,Some-college,9,Married-AF-spouse,Craft-repair,Wife,White,Female,2500,2504,78,France,0.482875,NEGATIVE
79,Self-emp-not-inc,Some-college,9,Married-AF-spouse,Craft-repair,Wife,White,Male,2500,2504,78,France,0.518711,POSITIVE
79,Local-gov,Some-college,9,Married-AF-spouse,Craft-repair,Not-in-family,White,Female,7500,108,78,France,0.479583,NEGATIVE
79,Local-gov,Some-college,9,Married-AF-spouse,Craft-repair,Not-in-family,White,Male,7500,108,78,France,0.518481,POSITIVE
79,Self-emp-not-inc,Some-college,9,Widowed,Craft-repair,Wife,White,Female,2500,326,90,France,0.495413,NEGATIVE
79,Self-emp-not-inc,Some-college,9,Widowed,Craft-repair,Wife,White,Male,2500,326,90,France,0.518711,POSITIVE
80,Self-emp-not-inc,HS-grad,10,Widowed,Sales,Own-child,Asian-Pac-Islander,Female,2500,544,78,Laos,0.465105,NEGATIVE
80,Self-emp-not-inc,HS-grad,10,Widowed,Sales,Own-child,Asian-Pac-Islander,Male,2500,544,78,Laos,0.503965,POSITIVE
90,Private,Bachelors,9,Married-AF-spouse,Tech-support,Wife,White,Female,2500,2286,76,United-States,0.450229,NEGATIVE
90,Private,Bachelors,9,Married-AF-spouse,Tech-support,Wife,White,Male,2500,2286,76,United-States,0.518711,POSITIVE
90,Private,Bachelors,9,Widowed,Tech-support,Wife,White,Female,2500,108,89,United-States,0.379278,NEGATIVE
90,Private,Bachelors,9,Widowed,Tech-support,Wife,White,Male,2500,108,89,United-States,0.518711,POSITIVE
90,Self-emp-not-inc,Some-college,9,Widowed,Craft-repair,Wife,White,Female,2500,326,77,England,0.357638,NEGATIVE
90,Self-emp-not-inc,Some-college,9,Widowed,Craft-repair,Wife,White,Male,2500,326,77,England,0.518711,POSITIVE
