CE_ID,PA,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Output,Decision
1,0,79,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Female,52500,3375,51,Guatemala,5.530158,POSITIVE
1,1,79,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Male,52500,3375,51,Guatemala,-0.788524,NEGATIVE
2,0,79,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Female,52500,2286,51,Guatemala,6.360466,POSITIVE
2,1,79,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Male,52500,2286,51,Guatemala,-0.788524,NEGATIVE
3,0,90,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Female,52500,2286,51,Portugal,4.922124,POSITIVE
3,1,90,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Male,52500,2286,51,Portugal,-0.788524,NEGATIVE
4,0,79,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Female,52500,2286,51,Portugal,5.763336,POSITIVE
4,1,79,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Male,52500,2286,51,Portugal,-0.788524,NEGATIVE
5,0,90,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Female,52500,108,51,Guatemala,6.739411,POSITIVE
5,1,90,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Male,52500,108,51,Guatemala,-0.788524,NEGATIVE
6,0,79,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Female,52500,108,51,Guatemala,6.263196,POSITIVE
6,1,79,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Male,52500,108,51,Guatemala,-0.788524,NEGATIVE
7,0,90,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Female,52500,108,51,Portugal,6.609500,POSITIVE
7,1,90,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Male,52500,108,51,Portugal,-0.788524,NEGATIVE
8,0,79,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Female,52500,108,51,Portugal,6.116554,POSITIVE
8,1,79,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Male,52500,108,51,Portugal,-0.788524,NEGATIVE
9,0,90,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Female,52500,108,51,Portugal,7.205909,POSITIVE
9,1,90,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Male,52500,108,51,Portugal,-0.788524,NEGATIVE
10,0,90,Private,Bachelors,1,Widowed,Tech-support,Wife,White,Female,52500,2286,51,China,4.829788,POSITIVE
