age,capital-gain,capital-loss,decision,education,education-num,hours-per-week,marital-status,native-country,occupation,race,relationship,sex,workclass
59,62500,762,1,10th,3,60,Married-spouse-absent,Canada,Transport-moving,Other,Unmarried,Female,State-gov
59,62500,762,1,10th,3,60,Married-spouse-absent,Canada,Transport-moving,Other,Unmarried,Male,State-gov
64,52500,762,1,10th,3,60,Married-spouse-absent,Greece,Transport-moving,Other,Unmarried,Female,State-gov
64,52500,762,1,10th,3,60,Married-spouse-absent,Greece,Transport-moving,Other,Unmarried,Male,State-gov
65,52500,1851,1,Doctorate,3,61,Married-spouse-absent,Canada,Protective-serv,Black,Unmarried,Female,State-gov
65,52500,1851,1,Doctorate,3,61,Married-spouse-absent,Canada,Protective-serv,Black,Unmarried,Male,State-gov
98,52500,2069,1,Doctorate,3,11,Married-spouse-absent,Laos,Protective-serv,Black,Husband,Female,State-gov
98,52500,2069,1,Doctorate,3,11,Married-spouse-absent,Laos,Protective-serv,Black,Husband,Male,State-gov
98,52500,980,1,Doctorate,3,11,Married-spouse-absent,Columbia,Protective-serv,Black,Husband,Female,State-gov
98,52500,980,1,Doctorate,3,11,Married-spouse-absent,Columbia,Protective-serv,Black,Husband,Male,State-gov
86,52500,762,1,10th,3,22,Married-spouse-absent,Dominican-Republic,Transport-moving,Other,Husband,Female,State-gov
86,52500,762,1,10th,3,22,Married-spouse-absent,Dominican-Republic,Transport-moving,Other,Husband,Male,State-gov
87,52500,980,1,Doctorate,3,11,Married-spouse-absent,Laos,Protective-serv,Black,Own-child,Female,State-gov
87,52500,980,1,Doctorate,3,11,Married-spouse-absent,Laos,Protective-serv,Black,Own-child,Male,State-gov
76,52500,980,1,Doctorate,3,11,Married-spouse-absent,Laos,Protective-serv,Black,Other-relative,Female,State-gov
76,52500,980,1,Doctorate,3,11,Married-spouse-absent,Laos,Protective-serv,Black,Other-relative,Male,State-gov
94,67500,980,1,Doctorate,3,23,Married-spouse-absent,South,Protective-serv,Black,Unmarried,Female,State-gov
94,67500,980,1,Doctorate,3,23,Married-spouse-absent,South,Protective-serv,Black,Unmarried,Male,State-gov
94,67500,980,1,Doctorate,3,23,Married-spouse-absent,Canada,Protective-serv,Black,Unmarried,Female,State-gov
94,67500,980,1,Doctorate,3,23,Married-spouse-absent,Canada,Protective-serv,Black,Unmarried,Male,State-gov
