age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,decision
95,State-gov,10th,14,Married-spouse-absent,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Female,97500,1197,95,Peru,0
95,State-gov,10th,14,Married-spouse-absent,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Male,97500,1197,95,Peru,1
92,State-gov,Masters,9,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,92500,1415,92,Thailand,1
92,State-gov,Masters,9,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Male,92500,1415,92,Thailand,0
82,State-gov,1st-4th,10,Married-spouse-absent,Prof-specialty,Other-relative,Amer-Indian-Eskimo,Female,92500,1851,93,Yugoslavia,0
82,State-gov,1st-4th,10,Married-spouse-absent,Prof-specialty,Other-relative,Amer-Indian-Eskimo,Male,92500,1851,93,Yugoslavia,1
85,State-gov,Doctorate,11,Never-married,Priv-house-serv,Other-relative,Other,Female,97500,1415,96,Trinadad&Tobago,0
85,State-gov,Doctorate,11,Never-married,Priv-house-serv,Other-relative,Other,Male,97500,1415,96,Trinadad&Tobago,1
84,State-gov,10th,10,Never-married,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Female,97500,1197,95,Scotland,1
84,State-gov,10th,10,Never-married,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Male,97500,1197,95,Scotland,0
98,Federal-gov,5th-6th,11,Married-AF-spouse,Prof-specialty,Unmarried,Black,Female,97500,1851,98,Hong,0
98,Federal-gov,5th-6th,11,Married-AF-spouse,Prof-specialty,Unmarried,Black,Male,97500,1851,98,Hong,1
93,State-gov,1st-4th,10,Married-spouse-absent,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,92500,1851,93,Yugoslavia,1
93,State-gov,1st-4th,10,Married-spouse-absent,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,92500,1851,93,Yugoslavia,0
97,Without-pay,5th-6th,11,Never-married,Protective-serv,Husband,Other,Female,97500,1633,97,Thailand,0
97,Without-pay,5th-6th,11,Never-married,Protective-serv,Husband,Other,Male,97500,1633,97,Thailand,1
95,State-gov,10th,10,Never-married,Exec-managerial,Own-child,Amer-Indian-Eskimo,Female,97500,1197,95,El-Salvador,1
95,State-gov,10th,10,Never-married,Exec-managerial,Own-child,Amer-Indian-Eskimo,Male,97500,1197,95,El-Salvador,0
81,State-gov,Masters,9,Married-spouse-absent,Farming-fishing,Own-child,Asian-Pac-Islander,Female,92500,1415,92,Trinadad&Tobago,1
