age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,decision
10,Private,12th,9,Widowed,Craft-repair,Wife,White,Female,52500,108,2,Nicaragua,1
10,Private,12th,9,Widowed,Craft-repair,Wife,White,Male,52500,108,2,Nicaragua,1
90,Local-gov,Bachelors,1,Married-AF-spouse,Tech-support,Not-in-family,White,Female,12500,108,51,Guatemala,1
90,Local-gov,Bachelors,1,Married-AF-spouse,Tech-support,Not-in-family,White,Male,12500,108,51,Guatemala,1
96,Local-gov,Bachelors,1,Widowed,Tech-support,Wife,White,Female,12500,108,51,Guatemala,1
96,Local-gov,Bachelors,1,Widowed,Tech-support,Wife,White,Male,12500,108,51,Guatemala,1
96,Local-gov,Bachelors,1,Widowed,Machine-op-inspct,Wife,White,Female,12500,108,51,Portugal,0
96,Local-gov,Bachelors,1,Widowed,Machine-op-inspct,Wife,White,Male,12500,108,51,Portugal,0
79,Local-gov,7th-8th,1,Married-AF-spouse,Machine-op-inspct,Not-in-family,White,Female,12500,108,51,Portugal,0
79,Local-gov,7th-8th,1,Married-AF-spouse,Machine-op-inspct,Not-in-family,White,Male,12500,108,51,Portugal,0
79,Local-gov,12th,1,Married-AF-spouse,Craft-repair,Not-in-family,White,Female,12500,108,53,France,1
79,Local-gov,12th,1,Married-AF-spouse,Craft-repair,Not-in-family,White,Male,12500,108,53,France,1
79,Local-gov,Bachelors,1,Married-AF-spouse,Tech-support,Wife,White,Female,12500,108,51,Guatemala,1
79,Local-gov,Bachelors,1,Married-AF-spouse,Tech-support,Wife,White,Male,12500,108,51,Guatemala,1
90,Local-gov,7th-8th,1,Widowed,Machine-op-inspct,Wife,White,Female,12500,108,51,United-States,1
90,Local-gov,7th-8th,1,Widowed,Machine-op-inspct,Wife,White,Male,12500,108,51,United-States,1
79,Local-gov,Bachelors,1,Married-AF-spouse,Tech-support,Not-in-family,White,Female,12500,108,51,China,1
79,Local-gov,Bachelors,1,Married-AF-spouse,Tech-support,Not-in-family,White,Male,12500,108,51,China,1
91,Local-gov,HS-grad,9,Married-AF-spouse,Sales,Own-child,Asian-Pac-Islander,Female,2500,2504,91,Laos,0
91,Local-gov,HS-grad,9,Married-AF-spouse,Sales,Own-child,Asian-Pac-Islander,Male,2500,2504,91,Laos,0
96,Private,Bachelors,9,Married-AF-spouse,Tech-support,Wife,White,Female,2500,2286,76,Portugal,1
96,Private,Bachelors,9,Married-AF-spouse,Tech-support,Wife,White,Male,2500,2286,76,Portugal,1
90,Private,Bachelors,9,Widowed,Tech-support,Wife,White,Female,2500,108,89,Portugal,1
90,Private,Bachelors,9,Widowed,Tech-support,Wife,White,Male,2500,108,89,Portugal,1
90,Private,Bachelors,9,Widowed,Tech-support,Wife,White,Female,2500,108,76,Portugal,0
90,Private,Bachelors,9,Widowed,Tech-support,Wife,White,Male,2500,108,76,Portugal,0
79,Self-emp-not-inc,Some-college,9,Married-AF-spouse,Craft-repair,Wife,White,Female,2500,2504,78,France,1
79,Self-emp-not-inc,Some-college,9,Married-AF-spouse,Craft-repair,Wife,White,Male,2500,2504,78,France,1
79,Local-gov,Some-college,9,Married-AF-spouse,Craft-repair,Not-in-family,White,Female,7500,108,78,France,0
79,Local-gov,Some-college,9,Married-AF-spouse,Craft-repair,Not-in-family,White,Male,7500,108,78,France,0
79,Self-emp-not-inc,Some-college,9,Widowed,Craft-repair,Wife,White,Female,2500,326,90,France,1
79,Self-emp-not-inc,Some-college,9,Widowed,Craft-repair,Wife,White,Male,2500,326,90,France,1
80,Self-emp-not-inc,HS-grad,10,Widowed,Sales,Own-child,Asian-Pac-Islander,Female,2500,544,78,Laos,0
80,Self-emp-not-inc,HS-grad,10,Widowed,Sales,Own-child,Asian-Pac-Islander,Male,2500,544,78,Laos,0
90,Private,Bachelors,9,Married-AF-spouse,Tech-support,Wife,White,Female,2500,2286,76,United-States,0
90,Private,Bachelors,9,Married-AF-spouse,Tech-support,Wife,White,Male,2500,2286,76,United-States,0
90,Private,Bachelors,9,Widowed,Tech-support,Wife,White,Female,2500,108,89,United-States,0
90,Private,Bachelors,9,Widowed,Tech-support,Wife,White,Male,2500,108,89,United-States,0
90,Self-emp-not-inc,Some-college,9,Widowed,Craft-repair,Wife,White,Female,2500,326,77,England,0
90,Self-emp-not-inc,Some-college,9,Widowed,Craft-repair,Wife,White,Male,2500,326,77,England,0
81,State-gov,Prof-school,9,Married-AF-spouse,Exec-managerial,Own-child,Asian-Pac-Islander,Female,2500,2504,92,Outlying-US(Guam-USVI-etc),1
81,State-gov,Prof-school,9,Married-AF-spouse,Exec-managerial,Own-child,Asian-Pac-Islander,Male,2500,2504,92,Outlying-US(Guam-USVI-etc),1
84,Federal-gov,7th-8th,12,Married-AF-spouse,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Female,2500,1197,94,South,1
84,Federal-gov,7th-8th,12,Married-AF-spouse,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Male,2500,1197,94,South,1
82,Self-emp-inc,Assoc-voc,10,Married-spouse-absent,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,2500,980,93,Philippines,0
82,Self-emp-inc,Assoc-voc,10,Married-spouse-absent,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,2500,980,93,Philippines,0
