age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,output,prediction
49,Without-pay,Some-college,10,Widowed,Protective-serv,Husband,White,Female,97499,108,30,Iran,0.9487752035806553,1
49,Without-pay,Some-college,10,Widowed,Protective-serv,Husband,White,Male,97499,108,30,Iran,0.0,0
30,Without-pay,Some-college,16,Widowed,Adm-clerical,Wife,White,Female,97499,108,60,Philippines,0.9487752035806553,1
30,Without-pay,Some-college,16,Widowed,Adm-clerical,Wife,White,Male,97499,108,60,Philippines,0.0,0
100,Without-pay,Some-college,10,Widowed,Protective-serv,Husband,White,Female,97499,2286,50,Yugoslavia,0.9487752035806553,1
100,Without-pay,Some-college,10,Widowed,Protective-serv,Husband,White,Male,97499,2286,50,Yugoslavia,0.0,0
100,Without-pay,Masters,16,Married-civ-spouse,Sales,Own-child,White,Female,17499,3158,51,Yugoslavia,0.9487752035806553,1
100,Without-pay,Masters,16,Married-civ-spouse,Sales,Own-child,White,Male,17499,3158,51,Yugoslavia,0.0,0
90,Without-pay,Doctorate,11,Widowed,Transport-moving,Wife,Amer-Indian-Eskimo,Male,52499,108,40,Ireland,0.0,0
90,Without-pay,Doctorate,11,Widowed,Transport-moving,Wife,Amer-Indian-Eskimo,Female,52499,108,40,Ireland,0.9487752035806553,1
79,Without-pay,Some-college,1,Divorced,Transport-moving,Wife,White,Female,87499,4247,71,Philippines,0.9487752035806553,1
79,Without-pay,Some-college,1,Divorced,Transport-moving,Wife,White,Male,87499,4247,71,Philippines,0.0,0
29,Without-pay,Bachelors,10,Widowed,Adm-clerical,Husband,White,Female,97499,2286,30,Yugoslavia,0.9487752035806553,1
29,Without-pay,Bachelors,10,Widowed,Adm-clerical,Husband,White,Male,97499,2286,30,Yugoslavia,0.0,0
