job,marital,education,default,housing,loan,contact,month,day_of_week,emp.var.rate,duration,campaign,pdays,previous,poutcome,age,output,decision
admin.,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4930,39,299,0,failure,0,0.486236,NEGATIVE
admin.,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4930,39,299,0,failure,1,0.515531,POSITIVE
admin.,divorced,basic.4y,no,no,no,cellular,jul,mon,-3,4845,39,282,0,failure,0,0.485743,NEGATIVE
admin.,divorced,basic.4y,no,no,no,cellular,jul,mon,-3,4845,39,282,0,failure,1,0.516783,POSITIVE
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4930,39,299,0,failure,0,0.499456,NEGATIVE
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4930,39,299,0,failure,1,0.508149,POSITIVE
blue-collar,married,basic.9y,no,no,no,cellular,feb,wed,-2,4946,39,302,2,nonexistent,0,0.496271,NEGATIVE
blue-collar,married,basic.9y,no,no,no,cellular,feb,wed,-2,4946,39,302,2,nonexistent,1,0.504673,POSITIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4875,39,284,1,failure,0,0.461396,NEGATIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4875,39,284,1,failure,1,0.505273,POSITIVE
admin.,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4774,39,283,0,failure,0,0.471358,NEGATIVE
admin.,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4774,39,283,0,failure,1,0.500663,POSITIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4860,39,253,0,failure,0,0.479794,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4860,39,253,0,failure,1,0.517115,POSITIVE
retired,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4922,40,265,3,nonexistent,0,0.491924,NEGATIVE
retired,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4922,40,265,3,nonexistent,1,0.513479,POSITIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4704,39,253,0,failure,0,0.497936,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4704,39,253,0,failure,1,0.516125,POSITIVE
admin.,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4860,33,330,0,failure,0,0.546005,POSITIVE
admin.,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4860,33,330,0,failure,1,0.449895,NEGATIVE
blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,-2,4868,36,323,2,nonexistent,0,0.499584,NEGATIVE
blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,-2,4868,36,323,2,nonexistent,1,0.502367,POSITIVE
housemaid,married,illiterate,unknown,unknown,unknown,telephone,aug,fri,-1,4891,37,317,4,nonexistent,0,0.498633,NEGATIVE
housemaid,married,illiterate,unknown,unknown,unknown,telephone,aug,fri,-1,4891,37,317,4,nonexistent,1,0.507447,POSITIVE
services,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4938,33,322,1,failure,0,0.561597,POSITIVE
services,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4938,33,322,1,failure,1,0.465556,NEGATIVE
student,married,high.school,unknown,unknown,unknown,telephone,aug,thu,-1,4961,34,316,3,nonexistent,0,0.508719,POSITIVE
student,married,high.school,unknown,unknown,unknown,telephone,aug,thu,-1,4961,34,316,3,nonexistent,1,0.413198,NEGATIVE
self-employed,divorced,basic.4y,no,no,no,cellular,jul,mon,-3,4845,33,321,0,failure,0,0.553307,POSITIVE
self-employed,divorced,basic.4y,no,no,no,cellular,jul,mon,-3,4845,33,321,0,failure,1,0.457205,NEGATIVE
services,married,basic.9y,no,no,no,cellular,aug,wed,-2,4868,33,315,2,nonexistent,0,0.500319,POSITIVE
services,married,basic.9y,no,no,no,cellular,aug,wed,-2,4868,33,315,2,nonexistent,1,0.405075,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,oct,tue,-3,4860,33,322,1,failure,0,0.509359,POSITIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,oct,tue,-3,4860,33,322,1,failure,1,0.413819,NEGATIVE
entrepreneur,married,basic.9y,no,no,no,cellular,aug,wed,-2,4875,33,323,2,nonexistent,0,0.517272,POSITIVE
entrepreneur,married,basic.9y,no,no,no,cellular,aug,wed,-2,4875,33,323,2,nonexistent,1,0.421523,NEGATIVE
self-employed,divorced,basic.6y,no,no,no,cellular,apr,tue,-3,4930,36,329,0,failure,0,0.499350,NEGATIVE
self-employed,divorced,basic.6y,no,no,no,cellular,apr,tue,-3,4930,36,329,0,failure,1,0.507538,POSITIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,apr,tue,-3,4938,36,331,1,failure,0,0.498572,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,apr,tue,-3,4938,36,331,1,failure,1,0.506426,POSITIVE
self-employed,divorced,basic.6y,no,no,no,cellular,apr,tue,-3,4930,33,330,0,failure,0,0.573723,POSITIVE
self-employed,divorced,basic.6y,no,no,no,cellular,apr,tue,-3,4930,33,330,0,failure,1,0.477869,NEGATIVE
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4930,33,337,0,failure,0,0.501463,POSITIVE
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4930,33,337,0,failure,1,0.393371,NEGATIVE
housemaid,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4961,34,336,3,nonexistent,0,0.564341,POSITIVE
housemaid,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4961,34,336,3,nonexistent,1,0.463309,NEGATIVE
entrepreneur,married,basic.9y,no,no,no,cellular,mar,wed,-2,4875,33,334,2,nonexistent,0,0.506354,POSITIVE
entrepreneur,married,basic.9y,no,no,no,cellular,mar,wed,-2,4875,33,334,2,nonexistent,1,0.364491,NEGATIVE
student,married,illiterate,unknown,unknown,unknown,telephone,feb,fri,-1,4969,37,325,4,nonexistent,0,0.496271,NEGATIVE
student,married,illiterate,unknown,unknown,unknown,telephone,feb,fri,-1,4969,37,325,4,nonexistent,1,0.503524,POSITIVE
self-employed,divorced,basic.4y,no,no,no,cellular,apr,mon,-3,4845,36,321,0,failure,0,0.499189,NEGATIVE
self-employed,divorced,basic.4y,no,no,no,cellular,apr,mon,-3,4845,36,321,0,failure,1,0.507043,POSITIVE
student,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4883,37,316,3,nonexistent,0,0.496271,NEGATIVE
student,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4883,37,316,3,nonexistent,1,0.506242,POSITIVE
management,single,professional.course,unknown,unknown,unknown,telephone,may,(null),0,4968,37,324,5,success,0,0.499645,NEGATIVE
management,single,professional.course,unknown,unknown,unknown,telephone,may,(null),0,4968,37,324,5,success,1,0.510696,POSITIVE
technician,married,illiterate,unknown,unknown,unknown,telephone,may,fri,-1,4976,34,317,4,nonexistent,0,0.576878,POSITIVE
technician,married,illiterate,unknown,unknown,unknown,telephone,may,fri,-1,4976,34,317,4,nonexistent,1,0.481176,NEGATIVE
student,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4891,34,317,4,nonexistent,0,0.509584,POSITIVE
student,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4891,34,317,4,nonexistent,1,0.414038,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4782,36,314,1,failure,0,0.496271,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4782,36,314,1,failure,1,0.501566,POSITIVE
admin.,divorced,basic.4y,no,no,no,cellular,oct,mon,-3,4767,33,321,0,failure,0,0.561583,POSITIVE
admin.,divorced,basic.4y,no,no,no,cellular,oct,mon,-3,4767,33,321,0,failure,1,0.465542,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4782,33,322,1,failure,0,0.569477,POSITIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4782,33,322,1,failure,1,0.486961,NEGATIVE
entrepreneur,married,basic.9y,no,no,no,cellular,sep,wed,-2,4797,33,315,2,nonexistent,0,0.515263,POSITIVE
entrepreneur,married,basic.9y,no,no,no,cellular,sep,wed,-2,4797,33,315,2,nonexistent,1,0.419563,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4704,33,315,1,failure,0,0.551200,POSITIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4704,33,315,1,failure,1,0.454708,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4782,33,331,1,failure,0,0.496271,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4782,33,331,1,failure,1,0.500139,POSITIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,apr,tue,-3,4782,36,314,1,failure,0,0.496271,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,apr,tue,-3,4782,36,314,1,failure,1,0.501095,POSITIVE
services,married,basic.9y,no,no,no,cellular,may,wed,-2,4790,33,315,2,nonexistent,0,0.560473,POSITIVE
services,married,basic.9y,no,no,no,cellular,may,wed,-2,4790,33,315,2,nonexistent,1,0.464421,NEGATIVE
services,married,basic.9y,no,no,no,cellular,feb,wed,-2,4712,33,315,2,nonexistent,0,0.516891,POSITIVE
services,married,basic.9y,no,no,no,cellular,feb,wed,-2,4712,33,315,2,nonexistent,1,0.374314,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4704,33,322,1,failure,0,0.496271,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4704,33,322,1,failure,1,0.502935,POSITIVE
housemaid,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4735,34,317,4,nonexistent,0,0.528548,POSITIVE
housemaid,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4735,34,317,4,nonexistent,1,0.447831,NEGATIVE
admin.,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4860,30,330,0,failure,0,0.577014,POSITIVE
admin.,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4860,30,330,0,failure,1,0.481230,NEGATIVE
services,married,basic.9y,no,no,no,cellular,feb,wed,-2,4946,30,331,2,nonexistent,0,0.502283,POSITIVE
services,married,basic.9y,no,no,no,cellular,feb,wed,-2,4946,30,331,2,nonexistent,1,0.406970,NEGATIVE
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4852,30,330,0,failure,0,0.571704,POSITIVE
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4852,30,330,0,failure,1,0.475811,NEGATIVE
housemaid,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4969,31,333,4,nonexistent,0,0.558437,POSITIVE
housemaid,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4969,31,333,4,nonexistent,1,0.462366,NEGATIVE
services,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4875,26,330,1,failure,0,0.555870,POSITIVE
services,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4875,26,330,1,failure,1,0.459781,NEGATIVE
entrepreneur,married,basic.9y,no,no,no,cellular,mar,wed,-2,4953,27,339,2,nonexistent,0,0.525689,POSITIVE
entrepreneur,married,basic.9y,no,no,no,cellular,mar,wed,-2,4953,27,339,2,nonexistent,1,0.429769,NEGATIVE
housemaid,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4969,27,333,4,nonexistent,0,0.584123,POSITIVE
housemaid,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4969,27,333,4,nonexistent,1,0.497993,NEGATIVE
self-employed,divorced,basic.4y,no,no,no,cellular,oct,mon,-3,4923,26,321,0,failure,0,0.566155,POSITIVE
self-employed,divorced,basic.4y,no,no,no,cellular,oct,mon,-3,4923,26,321,0,failure,1,0.470171,NEGATIVE
self-employed,divorced,basic.6y,no,no,no,cellular,oct,tue,-3,4860,26,313,0,failure,0,0.582998,POSITIVE
self-employed,divorced,basic.6y,no,no,no,cellular,oct,tue,-3,4860,26,313,0,failure,1,0.492303,NEGATIVE
self-employed,divorced,illiterate,no,no,no,cellular,jul,mon,-3,4923,26,321,0,failure,0,0.501128,POSITIVE
self-employed,divorced,illiterate,no,no,no,cellular,jul,mon,-3,4923,26,321,0,failure,1,0.405855,NEGATIVE
self-employed,divorced,basic.4y,no,no,no,cellular,jul,mon,-3,4845,30,321,0,failure,0,0.584196,POSITIVE
self-employed,divorced,basic.4y,no,no,no,cellular,jul,mon,-3,4845,30,321,0,failure,1,0.488598,NEGATIVE
student,married,high.school,unknown,unknown,unknown,telephone,aug,thu,-1,4961,29,316,3,nonexistent,0,0.560911,POSITIVE
student,married,high.school,unknown,unknown,unknown,telephone,aug,thu,-1,4961,29,316,3,nonexistent,1,0.464864,NEGATIVE
services,married,basic.9y,no,no,no,cellular,aug,wed,-2,4868,27,315,2,nonexistent,0,0.560905,POSITIVE
services,married,basic.9y,no,no,no,cellular,aug,wed,-2,4868,27,315,2,nonexistent,1,0.464857,NEGATIVE
entrepreneur,married,basic.9y,no,no,no,cellular,nov,wed,-2,4953,28,323,2,nonexistent,0,0.513517,POSITIVE
entrepreneur,married,basic.9y,no,no,no,cellular,nov,wed,-2,4953,28,323,2,nonexistent,1,0.417861,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,oct,tue,-3,4860,27,322,1,failure,0,0.573906,POSITIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,oct,tue,-3,4860,27,322,1,failure,1,0.478056,NEGATIVE
