status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,sex,decision
A13,0,A33,A40,3800,A63,A72,1,A101,1,A121,1,A141,A151,1,A171,1,A191,A201,A92,1
A13,0,A33,A40,3800,A63,A72,1,A101,1,A121,0,A141,A151,1,A171,1,A191,A201,A92,1
A13,2,A33,A40,8299,A63,A72,3,A101,2,A121,1,A141,A151,4,A171,1,A191,A202,A92,1
A13,2,A33,A40,8299,A63,A72,3,A101,2,A121,0,A141,A151,4,A171,1,A191,A202,A92,1
A13,0,A33,A40,12599,A63,A72,1,A102,2,A121,0,A141,A151,2,A171,2,A191,A201,A92,1
A13,0,A33,A40,12599,A63,A72,1,A102,2,A121,1,A141,A151,2,A171,2,A191,A201,A92,1
A13,0,A33,A40,4600,A63,A72,1,A101,1,A121,1,A141,A151,1,A171,1,A191,A201,A92,1
A13,0,A33,A40,4600,A63,A72,1,A101,1,A121,0,A141,A151,1,A171,1,A191,A201,A92,1
A13,0,A34,A40,14199,A63,A71,4,A102,4,A123,0,A142,A151,1,A171,2,A191,A201,A92,1
A13,0,A34,A40,14199,A63,A71,4,A102,4,A123,1,A142,A151,1,A171,2,A191,A201,A92,1
A13,0,A33,A40,4500,A63,A72,1,A101,1,A121,1,A141,A151,1,A171,1,A191,A201,A92,1
A13,0,A33,A40,4500,A63,A72,1,A101,1,A121,0,A141,A151,1,A171,1,A191,A201,A92,1
A13,0,A33,A40,1900,A63,A72,1,A101,1,A121,1,A141,A151,1,A171,1,A191,A201,A92,1
A13,0,A33,A40,1900,A63,A72,1,A101,1,A121,0,A141,A151,1,A171,1,A191,A201,A92,1
A13,8,A30,A40,12291,A63,A74,3,A103,4,A121,1,A142,A151,3,A171,1,A191,A201,A92,1
A13,8,A30,A40,12291,A63,A74,3,A103,4,A121,0,A142,A151,3,A171,1,A191,A201,A92,1
A13,1,A30,A410,13084,A63,A72,4,A101,3,A121,1,A143,A151,4,A172,1,A192,A202,A92,1
A13,1,A30,A410,13084,A63,A72,4,A101,3,A121,0,A143,A151,4,A172,1,A192,A202,A92,1
A11,13,A33,A40,12199,A63,A72,1,A101,1,A122,0,A143,A151,3,A171,1,A191,A202,A92,1
A11,13,A33,A40,12199,A63,A72,1,A101,1,A122,1,A143,A151,3,A171,1,A191,A202,A92,1
A14,40,A34,A40,765,A65,A74,4,A103,3,A123,0,A141,A152,1,A171,2,A191,A202,A92,1
A14,40,A34,A40,765,A65,A74,4,A103,3,A123,1,A141,A152,1,A171,2,A191,A202,A92,1
A13,3,A34,A41,14000,A65,A71,1,A102,3,A123,1,A142,A151,2,A173,1,A191,A201,A92,1
A13,3,A34,A41,14000,A65,A71,1,A102,3,A123,0,A142,A151,2,A173,1,A191,A201,A92,1
A13,4,A33,A40,5899,A63,A72,4,A101,4,A121,0,A141,A151,2,A171,2,A192,A201,A92,1
A13,4,A33,A40,5899,A63,A72,4,A101,4,A121,1,A141,A151,2,A171,2,A192,A201,A92,1
A11,12,A34,A40,6199,A63,A72,3,A102,1,A121,1,A141,A151,1,A171,1,A191,A201,A92,1
A11,12,A34,A40,6199,A63,A72,3,A102,1,A121,0,A141,A151,1,A171,1,A191,A201,A92,1
A13,0,A33,A41,10099,A63,A72,1,A101,1,A121,0,A141,A151,1,A172,1,A192,A201,A92,1
A13,0,A33,A41,10099,A63,A72,1,A101,1,A121,1,A141,A151,1,A172,1,A192,A201,A92,1
A13,0,A33,A40,4000,A63,A72,1,A101,1,A121,1,A141,A151,1,A171,1,A191,A201,A92,1
A13,0,A33,A40,4000,A63,A72,1,A101,1,A121,0,A141,A151,1,A171,1,A191,A201,A92,1
A13,6,A33,A40,7899,A63,A72,2,A101,1,A121,1,A141,A151,4,A171,1,A192,A202,A92,1
A13,6,A33,A40,7899,A63,A72,2,A101,1,A121,0,A141,A151,4,A171,1,A192,A202,A92,1
