age,campaign,contact,day_of_week,decision,default,duration,education,emp.var.rate,housing,job,loan,marital,month,pdays,poutcome,previous
0,26,cellular,mon,0,no,4767,basic.4y,-3,no,admin.,no,divorced,jan,219,failure,0
1,26,cellular,mon,0,no,4767,basic.4y,-3,no,admin.,no,divorced,jan,219,failure,0
0,33,cellular,mon,1,no,4923,basic.4y,-3,no,admin.,no,divorced,jan,212,failure,0
1,33,cellular,mon,1,no,4923,basic.4y,-3,no,admin.,no,divorced,jan,212,failure,0
0,33,cellular,tue,1,no,4930,basic.6y,-3,no,admin.,no,divorced,jan,204,failure,0
1,33,cellular,tue,1,no,4930,basic.6y,-3,no,admin.,no,divorced,jan,204,failure,0
0,26,cellular,tue,0,no,4875,basic.6y,-3,no,blue-collar,no,divorced,aug,213,failure,1
1,26,cellular,tue,0,no,4875,basic.6y,-3,no,blue-collar,no,divorced,aug,213,failure,1
0,30,cellular,wed,0,no,4906,basic.9y,-2,no,entrepreneur,no,married,mar,214,nonexistent,2
1,30,cellular,wed,0,no,4906,basic.9y,-2,no,entrepreneur,no,married,mar,214,nonexistent,2
0,29,telephone,fri,0,unknown,4937,illiterate,-1,unknown,housemaid,unknown,married,aug,208,nonexistent,4
1,29,telephone,fri,0,unknown,4937,illiterate,-1,unknown,housemaid,unknown,married,aug,208,nonexistent,4
0,30,cellular,mon,0,no,4767,basic.4y,-3,no,self-employed,no,divorced,jan,208,failure,0
1,30,cellular,mon,0,no,4767,basic.4y,-3,no,self-employed,no,divorced,jan,208,failure,0
0,26,cellular,tue,0,no,4704,basic.6y,-3,no,self-employed,no,divorced,jan,204,failure,0
1,26,cellular,tue,0,no,4704,basic.6y,-3,no,self-employed,no,divorced,jan,204,failure,0
0,30,cellular,tue,0,no,4774,basic.6y,-3,no,housemaid,no,divorced,jul,204,failure,0
1,30,cellular,tue,0,no,4774,basic.6y,-3,no,housemaid,no,divorced,jul,204,failure,0
0,30,cellular,wed,0,no,4790,basic.9y,-2,no,blue-collar,no,married,aug,206,nonexistent,2
1,30,cellular,wed,0,no,4790,basic.9y,-2,no,blue-collar,no,married,aug,206,nonexistent,2
0,30,cellular,wed,1,no,4719,basic.9y,-2,no,blue-collar,no,married,mar,206,nonexistent,2
1,30,cellular,wed,1,no,4719,basic.9y,-2,no,blue-collar,no,married,mar,206,nonexistent,2
0,33,cellular,mon,1,no,4923,basic.4y,-3,no,self-employed,no,divorced,jan,196,failure,0
1,33,cellular,mon,1,no,4923,basic.4y,-3,no,self-employed,no,divorced,jan,196,failure,0
0,33,cellular,tue,1,no,4930,basic.6y,-3,no,self-employed,no,divorced,jan,188,failure,0
1,33,cellular,tue,1,no,4930,basic.6y,-3,no,self-employed,no,divorced,jan,188,failure,0
0,33,cellular,mon,1,no,4923,basic.4y,-3,no,admin.,no,divorced,jul,196,failure,0
1,33,cellular,mon,1,no,4923,basic.4y,-3,no,admin.,no,divorced,jul,196,failure,0
0,33,cellular,tue,1,no,4930,basic.6y,-3,no,housemaid,no,divorced,jan,196,failure,0
1,33,cellular,tue,1,no,4930,basic.6y,-3,no,housemaid,no,divorced,jan,196,failure,0
0,33,cellular,wed,0,no,4946,basic.9y,-2,no,blue-collar,no,married,feb,198,nonexistent,2
1,33,cellular,wed,0,no,4946,basic.9y,-2,no,blue-collar,no,married,feb,198,nonexistent,2
0,33,cellular,tue,0,no,4860,basic.6y,-3,no,admin.,no,divorced,feb,188,failure,0
1,33,cellular,tue,0,no,4860,basic.6y,-3,no,admin.,no,divorced,feb,188,failure,0
0,33,cellular,mon,0,no,4767,basic.4y,-3,no,admin.,no,divorced,jan,188,failure,0
1,33,cellular,mon,0,no,4767,basic.4y,-3,no,admin.,no,divorced,jan,188,failure,0
0,27,telephone,thu,1,unknown,4961,professional.course,-1,unknown,student,unknown,married,oct,199,nonexistent,3
1,27,telephone,thu,1,unknown,4961,professional.course,-1,unknown,student,unknown,married,oct,199,nonexistent,3
0,31,telephone,fri,1,unknown,4898,illiterate,-1,unknown,technician,unknown,married,apr,198,nonexistent,4
1,31,telephone,fri,1,unknown,4898,illiterate,-1,unknown,technician,unknown,married,apr,198,nonexistent,4
0,28,telephone,(null),0,unknown,4984,university.degree,0,unknown,technician,unknown,single,may,201,success,5
1,28,telephone,(null),0,unknown,4984,university.degree,0,unknown,technician,unknown,single,may,201,success,5
0,28,telephone,(null),0,unknown,4906,basic.9y,0,unknown,technician,unknown,single,may,201,success,5
1,28,telephone,(null),0,unknown,4906,basic.9y,0,unknown,technician,unknown,single,may,201,success,5
0,31,telephone,fri,1,unknown,4953,illiterate,-1,unknown,technician,unknown,married,oct,192,nonexistent,4
1,31,telephone,fri,1,unknown,4953,illiterate,-1,unknown,technician,unknown,married,oct,192,nonexistent,4
0,28,telephone,(null),1,unknown,4992,professional.course,0,unknown,unemployed,unknown,single,nov,194,success,6
1,28,telephone,(null),1,unknown,4992,professional.course,0,unknown,unemployed,unknown,single,nov,194,success,6
0,31,telephone,(null),1,unknown,4906,professional.course,0,unknown,technician,unknown,single,may,193,success,5
1,31,telephone,(null),1,unknown,4906,professional.course,0,unknown,technician,unknown,single,may,193,success,5
0,31,telephone,fri,1,unknown,4891,illiterate,-1,unknown,management,unknown,married,oct,200,nonexistent,4
1,31,telephone,fri,1,unknown,4891,illiterate,-1,unknown,management,unknown,married,oct,200,nonexistent,4
0,28,telephone,fri,1,unknown,4898,illiterate,-1,unknown,management,unknown,married,oct,200,nonexistent,4
1,28,telephone,fri,1,unknown,4898,illiterate,-1,unknown,management,unknown,married,oct,200,nonexistent,4
