job,marital,education,default,housing,loan,contact,month,day_of_week,emp.var.rate,duration,campaign,pdays,previous,poutcome,age,decision
blue-collar,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4938,26,564,1,failure,0,1
blue-collar,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4938,26,564,1,failure,1,1
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4860,26,549,0,failure,0,1
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4860,26,549,0,failure,1,1
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4845,26,532,0,failure,0,1
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4845,26,532,0,failure,1,1
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4774,26,548,0,failure,0,1
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4774,26,548,0,failure,1,1
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4689,26,532,0,failure,0,0
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4689,26,532,0,failure,1,0
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4860,26,517,0,failure,0,0
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4860,26,517,0,failure,1,0
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4860,26,501,0,failure,0,1
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4860,26,501,0,failure,1,1
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4767,26,516,0,failure,0,0
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4767,26,516,0,failure,1,0
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4774,26,500,0,failure,0,0
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4774,26,500,0,failure,1,0
self-employed,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4611,26,524,0,failure,0,0
self-employed,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4611,26,524,0,failure,1,0
admin.,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4540,26,524,0,failure,0,0
admin.,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4540,26,524,0,failure,1,0
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4455,26,516,0,failure,0,1
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4455,26,516,0,failure,1,1
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4376,26,508,0,failure,0,0
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4376,26,508,0,failure,1,0
blue-collar,married,basic.9y,no,no,no,cellular,feb,wed,-2,4946,23,557,2,nonexistent,0,0
blue-collar,married,basic.9y,no,no,no,cellular,feb,wed,-2,4946,23,557,2,nonexistent,1,0
blue-collar,married,basic.9y,no,no,no,cellular,feb,wed,-2,4868,23,550,2,nonexistent,0,0
blue-collar,married,basic.9y,no,no,no,cellular,feb,wed,-2,4868,23,550,2,nonexistent,1,0
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4938,20,549,1,failure,0,1
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4938,20,549,1,failure,1,1
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4930,23,533,0,failure,0,1
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4930,23,533,0,failure,1,1
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4860,20,533,0,failure,0,0
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4860,20,533,0,failure,1,0
management,single,professional.course,unknown,unknown,unknown,telephone,may,(null),0,4984,24,537,5,success,0,1
management,single,professional.course,unknown,unknown,unknown,telephone,may,(null),0,4984,24,537,5,success,1,1
services,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4898,24,536,4,nonexistent,0,0
services,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4898,24,536,4,nonexistent,1,0
retired,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4922,21,539,3,nonexistent,0,1
retired,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4922,21,539,3,nonexistent,1,1
blue-collar,married,basic.9y,no,no,no,cellular,feb,wed,-2,4790,23,542,2,nonexistent,0,0
blue-collar,married,basic.9y,no,no,no,cellular,feb,wed,-2,4790,23,542,2,nonexistent,1,0
services,married,basic.9y,no,no,no,cellular,feb,wed,-2,4790,23,534,2,nonexistent,0,0
services,married,basic.9y,no,no,no,cellular,feb,wed,-2,4790,23,534,2,nonexistent,1,0
entrepreneur,married,basic.9y,no,no,no,cellular,may,wed,-2,4797,23,534,2,nonexistent,0,1
entrepreneur,married,basic.9y,no,no,no,cellular,may,wed,-2,4797,23,534,2,nonexistent,1,1
admin.,divorced,basic.4y,no,no,no,cellular,apr,mon,-3,4689,23,532,0,failure,0,0
admin.,divorced,basic.4y,no,no,no,cellular,apr,mon,-3,4689,23,532,0,failure,1,0
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4782,20,533,1,failure,0,1
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4782,20,533,1,failure,1,1
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4930,17,532,0,failure,0,0
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4930,17,532,0,failure,1,0
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4875,17,534,1,failure,0,1
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4875,17,534,1,failure,1,1
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4938,14,533,1,failure,0,0
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4938,14,533,1,failure,1,0
retired,married,high.school,unknown,unknown,unknown,telephone,oct,thu,-1,4922,22,523,3,nonexistent,0,1
retired,married,high.school,unknown,unknown,unknown,telephone,oct,thu,-1,4922,22,523,3,nonexistent,1,1
services,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4953,23,526,4,nonexistent,0,1
services,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4953,23,526,4,nonexistent,1,1
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4860,23,501,0,failure,0,0
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4860,23,501,0,failure,1,0
self-employed,married,illiterate,unknown,unknown,unknown,telephone,oct,fri,-1,4969,21,508,4,nonexistent,0,0
self-employed,married,illiterate,unknown,unknown,unknown,telephone,oct,fri,-1,4969,21,508,4,nonexistent,1,0
retired,married,high.school,unknown,unknown,unknown,telephone,oct,thu,-1,4883,21,507,3,nonexistent,0,1
retired,married,high.school,unknown,unknown,unknown,telephone,oct,thu,-1,4883,21,507,3,nonexistent,1,1
services,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4976,24,510,4,nonexistent,0,0
services,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4976,24,510,4,nonexistent,1,0
self-employed,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4891,24,508,4,nonexistent,0,0
self-employed,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4891,24,508,4,nonexistent,1,0
admin.,divorced,basic.4y,no,no,no,cellular,jul,mon,-3,4689,23,516,0,failure,0,1
admin.,divorced,basic.4y,no,no,no,cellular,jul,mon,-3,4689,23,516,0,failure,1,1
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4704,20,517,0,failure,0,0
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4704,20,517,0,failure,1,0
retired,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4805,24,519,3,nonexistent,0,0
retired,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4805,24,519,3,nonexistent,1,0
technician,single,professional.course,unknown,unknown,unknown,telephone,mar,(null),0,4750,24,521,5,success,0,0
technician,single,professional.course,unknown,unknown,unknown,telephone,mar,(null),0,4750,24,521,5,success,1,0
retired,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4766,21,523,3,nonexistent,0,1
retired,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4766,21,523,3,nonexistent,1,1
housemaid,married,basic.9y,no,no,no,cellular,aug,wed,-2,4735,21,504,2,nonexistent,0,1
housemaid,married,basic.9y,no,no,no,cellular,aug,wed,-2,4735,21,504,2,nonexistent,1,1
self-employed,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4781,22,508,4,nonexistent,0,1
self-employed,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4781,22,508,4,nonexistent,1,1
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4860,14,517,0,failure,0,1
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4860,14,517,0,failure,1,1
services,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4953,17,526,4,nonexistent,0,1
services,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4953,17,526,4,nonexistent,1,1
