status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,sex,output,prediction
A13,0,A33,A40,4699,A63,A72,3,A101,3,A123,0,A141,A151,1,A171,2,A191,A201,A92,0.46533440442986584,0
A13,0,A33,A40,4699,A63,A72,3,A101,3,A123,1,A141,A151,1,A171,2,A191,A201,A92,0.5134237775755507,1
A11,55,A33,A49,11856,A61,A74,2,A102,2,A121,1,A143,A153,2,A172,2,A191,A201,A92,0.5000039488077163,1
A11,55,A33,A49,11856,A61,A74,2,A102,2,A121,0,A143,A153,2,A172,2,A191,A201,A92,0.452071888434944,0
A14,78,A34,A43,8403,A61,A72,1,A103,4,A123,0,A141,A151,2,A171,1,A191,A202,A92,0.4991001496493431,0
A14,78,A34,A43,8403,A61,A72,1,A103,4,A123,1,A141,A151,2,A171,1,A191,A202,A92,0.5470403780524296,1
A11,0,A33,A40,15699,A63,A72,1,A101,1,A121,0,A141,A151,2,A171,2,A191,A201,A92,0.48371353433230513,0
A11,0,A33,A40,15699,A63,A72,1,A101,1,A121,1,A141,A151,2,A171,2,A191,A201,A92,0.5318477980910026,1
A13,64,A30,A44,7299,A63,A71,4,A101,1,A123,1,A143,A151,4,A174,1,A192,A202,A91,0.5000283867120437,1
A13,64,A30,A44,7299,A63,A71,4,A101,1,A123,0,A143,A151,4,A174,1,A192,A202,A91,0.4520960576139605,0
A13,1,A33,A40,11300,A63,A72,1,A101,1,A121,0,A141,A151,1,A171,1,A191,A201,A92,0.46976523876934867,0
A13,1,A33,A40,11300,A63,A72,1,A101,1,A121,1,A141,A151,1,A171,1,A191,A201,A92,0.5179383918963391,1
A11,0,A33,A40,17285,A63,A74,1,A101,2,A121,0,A141,A151,1,A171,1,A191,A201,A92,0.49345158232509917,0
A11,0,A33,A40,17285,A63,A74,1,A101,2,A121,1,A141,A151,1,A171,1,A191,A201,A92,0.5415727966612874,1
A14,80,A33,A46,4500,A63,A72,1,A101,4,A122,0,A141,A153,3,A171,2,A192,A201,A91,0.4684655462361342,0
A14,80,A33,A46,4500,A63,A72,1,A101,4,A122,1,A141,A153,3,A171,2,A192,A201,A91,0.5092315612767437,1
A13,0,A33,A40,8099,A63,A72,2,A102,4,A123,1,A141,A151,1,A171,1,A191,A201,A92,0.5140185114662332,1
A13,0,A33,A40,8099,A63,A72,2,A102,4,A123,0,A141,A151,1,A171,1,A191,A201,A92,0.4659391738288617,0
A11,35,A33,A49,18900,A63,A71,2,A103,4,A121,0,A141,A153,1,A171,1,A192,A201,A92,0.4726542536153352,0
A11,35,A33,A49,18900,A63,A71,2,A103,4,A121,1,A141,A153,1,A171,1,A192,A201,A92,0.5206948686055548,1
A13,0,A33,A40,16000,A63,A72,1,A101,1,A123,1,A141,A151,1,A171,1,A191,A202,A92,0.5145509717849641,1
A13,0,A33,A40,16000,A63,A72,1,A101,1,A123,0,A141,A151,1,A171,1,A191,A202,A92,0.4665012907434053,0
A13,0,A33,A40,2475,A63,A72,4,A101,2,A123,1,A141,A152,1,A171,1,A191,A201,A92,0.5437604934882437,1
A13,0,A33,A40,2475,A63,A72,4,A101,2,A123,0,A141,A152,1,A171,1,A191,A201,A92,0.49572893935142354,0
A13,0,A30,A40,13699,A63,A72,1,A101,1,A121,0,A141,A151,1,A171,1,A191,A201,A92,0.4789679995048536,0
A13,0,A30,A40,13699,A63,A72,1,A101,1,A121,1,A141,A151,1,A171,1,A191,A201,A92,0.5271466860343436,1
A11,80,A34,A49,4901,A65,A72,3,A103,2,A121,0,A143,A151,1,A172,2,A191,A201,A92,0.45430919602140124,0
