CE_ID,PA,status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,sex,output,decision
1,0,A13,78,A32,A47,18750,A62,A73,3,A102,2,A123,0,A143,A152,2,A173,1,A192,A202,A92,-0.168555,NEGATIVE
1,1,A13,78,A32,A47,18750,A62,A73,3,A102,2,A123,1,A143,A152,2,A173,1,A192,A202,A92,0.023764,POSITIVE
2,0,A13,72,A32,A46,18250,A62,A73,3,A102,1,A123,0,A143,A152,1,A172,1,A191,A202,A91,-0.179202,NEGATIVE
2,1,A13,72,A32,A46,18250,A62,A73,3,A102,1,A123,1,A143,A152,1,A172,1,A191,A202,A91,0.013116,POSITIVE
3,0,A13,78,A32,A43,19250,A62,A73,3,A102,3,A123,0,A143,A152,3,A173,1,A192,A202,A92,-0.158684,NEGATIVE
3,1,A13,78,A32,A43,19250,A62,A73,3,A102,3,A123,1,A143,A152,3,A173,1,A192,A202,A92,0.033635,POSITIVE
4,0,A13,73,A32,A42,18750,A62,A73,3,A102,2,A123,0,A143,A152,2,A173,1,A192,A202,A92,-0.169332,NEGATIVE
4,1,A13,73,A32,A42,18750,A62,A73,3,A102,2,A123,1,A143,A152,2,A173,1,A192,A202,A92,0.022987,POSITIVE
5,0,A13,76,A32,A45,17750,A61,A73,3,A101,1,A121,0,A143,A151,1,A171,1,A191,A202,A91,-0.189939,NEGATIVE
5,1,A13,76,A32,A45,17750,A61,A73,3,A101,1,A121,1,A143,A151,1,A171,1,A191,A202,A91,0.002380,POSITIVE
6,0,A13,71,A32,A45,17501,A61,A73,3,A101,1,A121,0,A143,A151,1,A171,1,A191,A202,A91,-0.139322,NEGATIVE
6,1,A13,71,A32,A45,17501,A61,A73,3,A101,1,A121,1,A143,A151,1,A171,1,A191,A202,A91,0.052997,POSITIVE
7,0,A13,77,A32,A42,18500,A62,A73,3,A102,2,A121,0,A143,A152,2,A172,1,A191,A202,A91,-0.157703,NEGATIVE
7,1,A13,77,A32,A42,18500,A62,A73,3,A102,2,A121,1,A143,A152,2,A172,1,A191,A202,A91,0.034616,POSITIVE
8,0,A13,71,A32,A40,17750,A61,A73,3,A101,1,A121,0,A143,A151,1,A171,1,A191,A202,A91,-0.190716,NEGATIVE
