status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,sex,output,decision
A13,76,A32,A48,17501,A61,A73,3,A103,1,A123,0,A143,A153,3,A171,1,A191,A202,A91,0.485002,NEGATIVE
A13,76,A32,A48,17501,A61,A73,3,A103,1,A123,1,A143,A153,3,A171,1,A191,A202,A91,0.533899,POSITIVE
A13,71,A32,A45,17501,A61,A73,3,A103,1,A123,0,A143,A153,3,A171,1,A191,A202,A91,0.468696,NEGATIVE
A13,71,A32,A45,17501,A61,A73,3,A103,1,A123,1,A143,A153,3,A171,1,A191,A202,A91,0.517603,POSITIVE
A13,76,A32,A45,17501,A61,A73,3,A103,1,A123,0,A143,A151,3,A171,1,A191,A202,A91,0.497312,NEGATIVE
A13,76,A32,A45,17501,A61,A73,3,A103,1,A123,1,A143,A151,3,A171,1,A191,A202,A91,0.546166,POSITIVE
A13,76,A32,A45,17501,A61,A73,3,A103,1,A123,0,A143,A153,1,A171,1,A191,A202,A91,0.489091,NEGATIVE
A13,76,A32,A45,17501,A61,A73,3,A103,1,A123,1,A143,A153,1,A171,1,A191,A202,A91,0.537985,POSITIVE
A13,76,A32,A45,17501,A61,A73,1,A103,1,A123,0,A143,A153,3,A171,1,A191,A202,A91,0.495685,NEGATIVE
A13,76,A32,A45,17501,A61,A73,1,A103,1,A123,1,A143,A153,3,A171,1,A191,A202,A91,0.544581,POSITIVE
A13,76,A32,A45,15001,A61,A73,3,A103,1,A123,0,A143,A153,3,A171,1,A191,A202,A91,0.485269,NEGATIVE
A13,76,A32,A45,15001,A61,A73,3,A103,1,A123,1,A143,A153,3,A171,1,A191,A202,A91,0.534152,POSITIVE
A13,71,A32,A45,17501,A61,A73,3,A101,1,A123,0,A143,A151,1,A171,1,A191,A202,A91,0.484292,NEGATIVE
A13,71,A32,A45,17501,A61,A73,3,A101,1,A123,1,A143,A151,1,A171,1,A191,A202,A91,0.533177,POSITIVE
A13,76,A32,A48,17501,A61,A73,3,A101,1,A121,0,A143,A153,3,A171,1,A191,A202,A91,0.469731,NEGATIVE
A13,76,A32,A48,17501,A61,A73,3,A101,1,A121,1,A143,A153,3,A171,1,A191,A202,A91,0.518670,POSITIVE
