age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,output,decision
16,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Female,52500,4029,89,Portugal,-0.051164,NEGATIVE
16,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Male,52500,4029,89,Portugal,0.076565,POSITIVE
10,Self-emp-not-inc,7th-8th,1,Married-civ-spouse,Craft-repair,Wife,White,Female,52500,4029,90,Portugal,-0.034631,NEGATIVE
10,Self-emp-not-inc,7th-8th,1,Married-civ-spouse,Craft-repair,Wife,White,Male,52500,4029,90,Portugal,0.093098,POSITIVE
13,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Female,52500,3375,89,Portugal,-0.082268,NEGATIVE
13,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Male,52500,3375,89,Portugal,0.045462,POSITIVE
10,Self-emp-not-inc,Some-college,10,Divorced,Sales,Own-child,Asian-Pac-Islander,Female,57500,4029,91,Ireland,-0.060914,NEGATIVE
10,Self-emp-not-inc,Some-college,10,Divorced,Sales,Own-child,Asian-Pac-Islander,Male,57500,4029,91,Ireland,0.066815,POSITIVE
10,Self-emp-not-inc,Some-college,2,Divorced,Sales,Own-child,Asian-Pac-Islander,Female,57500,3593,91,Ireland,-0.007313,NEGATIVE
10,Self-emp-not-inc,Some-college,2,Divorced,Sales,Own-child,Asian-Pac-Islander,Male,57500,3593,91,Ireland,0.120416,POSITIVE
22,Private,7th-8th,1,Married-civ-spouse,Tech-support,Wife,White,Female,52500,4029,89,Outlying-US(Guam-USVI-etc),-0.075432,NEGATIVE
22,Private,7th-8th,1,Married-civ-spouse,Tech-support,Wife,White,Male,52500,4029,89,Outlying-US(Guam-USVI-etc),0.052297,POSITIVE
22,Self-emp-not-inc,12th,9,Married-civ-spouse,Craft-repair,Wife,White,Female,52500,4029,90,United-States,-0.077538,NEGATIVE
22,Self-emp-not-inc,12th,9,Married-civ-spouse,Craft-repair,Wife,White,Male,52500,4029,90,United-States,0.050191,POSITIVE
22,Private,Prof-school,9,Married-civ-spouse,Tech-support,Wife,White,Female,52500,4029,89,Outlying-US(Guam-USVI-etc),-0.061714,NEGATIVE
22,Private,Prof-school,9,Married-civ-spouse,Tech-support,Wife,White,Male,52500,4029,89,Outlying-US(Guam-USVI-etc),0.066016,POSITIVE
22,Self-emp-not-inc,Some-college,1,Married-civ-spouse,Craft-repair,Wife,White,Female,52500,3375,90,Outlying-US(Guam-USVI-etc),-0.015776,NEGATIVE
22,Self-emp-not-inc,Some-college,1,Married-civ-spouse,Craft-repair,Wife,White,Male,52500,3375,90,Outlying-US(Guam-USVI-etc),0.111953,POSITIVE
22,Self-emp-not-inc,Some-college,2,Married-civ-spouse,Craft-repair,Wife,White,Female,77500,3375,90,United-States,-0.009198,NEGATIVE
22,Self-emp-not-inc,Some-college,2,Married-civ-spouse,Craft-repair,Wife,White,Male,77500,3375,90,United-States,0.118531,POSITIVE
22,Self-emp-not-inc,Some-college,2,Widowed,Craft-repair,Wife,White,Female,52500,3375,90,United-States,-0.058554,NEGATIVE
22,Self-emp-not-inc,Some-college,2,Widowed,Craft-repair,Wife,White,Male,52500,3375,90,United-States,0.069175,POSITIVE
25,Self-emp-not-inc,Some-college,10,Divorced,Sales,Own-child,Asian-Pac-Islander,Female,57500,4029,91,Cambodia,-0.019723,NEGATIVE
25,Self-emp-not-inc,Some-college,10,Divorced,Sales,Own-child,Asian-Pac-Islander,Male,57500,4029,91,Cambodia,0.108006,POSITIVE
25,Self-emp-not-inc,Assoc-acdm,2,Divorced,Sales,Own-child,Asian-Pac-Islander,Female,57500,4029,91,Cambodia,-0.033441,NEGATIVE
25,Self-emp-not-inc,Assoc-acdm,2,Divorced,Sales,Own-child,Asian-Pac-Islander,Male,57500,4029,91,Cambodia,0.094288,POSITIVE
22,Self-emp-inc,11th,5,Divorced,Exec-managerial,Own-child,Asian-Pac-Islander,Female,57500,3593,92,Cambodia,-0.071355,NEGATIVE
22,Self-emp-inc,11th,5,Divorced,Exec-managerial,Own-child,Asian-Pac-Islander,Male,57500,3593,92,Cambodia,0.056374,POSITIVE
