age,capital-gain,capital-loss,decision,education,education-num,hours-per-week,marital-status,native-country,occupation,race,relationship,sex,workclass
79,52500,2286,0,7th-8th,1,33,Married-civ-spouse,United-States,Tech-support,Other,Wife,Female,Local-gov
79,52500,2286,0,7th-8th,1,33,Married-civ-spouse,United-States,Tech-support,Other,Wife,Male,Local-gov
79,52500,2286,0,Bachelors,1,30,Married-civ-spouse,United-States,Tech-support,Other,Wife,Female,Local-gov
79,52500,2286,0,Bachelors,1,30,Married-civ-spouse,United-States,Tech-support,Other,Wife,Male,Local-gov
87,57500,2722,0,Assoc-voc,2,27,Married-civ-spouse,Italy,Prof-specialty,Other,Husband,Female,State-gov
87,57500,2722,0,Assoc-voc,2,27,Married-civ-spouse,Italy,Prof-specialty,Other,Husband,Male,State-gov
58,52500,2286,0,Some-college,1,26,Married-civ-spouse,Canada,Craft-repair,Other,Wife,Female,Local-gov
58,52500,2286,0,Some-college,1,26,Married-civ-spouse,Canada,Craft-repair,Other,Wife,Male,Local-gov
81,52500,2286,0,Some-college,9,14,Married-civ-spouse,Canada,Craft-repair,Other,Wife,Female,Local-gov
81,52500,2286,0,Some-college,9,14,Married-civ-spouse,Canada,Craft-repair,Other,Wife,Male,Local-gov
79,52500,2286,0,7th-8th,9,14,Married-civ-spouse,United-States,Tech-support,Other,Wife,Female,Private
79,52500,2286,0,7th-8th,9,14,Married-civ-spouse,United-States,Tech-support,Other,Wife,Male,Private
81,77500,3375,0,Some-college,9,1,Married-civ-spouse,Canada,Craft-repair,Other,Wife,Female,Local-gov
81,77500,3375,0,Some-college,9,1,Married-civ-spouse,Canada,Craft-repair,Other,Wife,Male,Local-gov
81,77500,2286,1,Some-college,9,1,Married-civ-spouse,Canada,Craft-repair,Other,Wife,Female,Self-emp-not-inc
81,77500,2286,1,Some-college,9,1,Married-civ-spouse,Canada,Craft-repair,Other,Wife,Male,Self-emp-not-inc
83,52500,2504,0,12th,13,8,Married-civ-spouse,Japan,Sales,Other,Own-child,Female,Local-gov
83,52500,2504,0,12th,13,8,Married-civ-spouse,Japan,Sales,Other,Own-child,Male,Local-gov
81,67500,2286,0,Some-college,13,1,Married-civ-spouse,Canada,Craft-repair,Other,Wife,Female,Local-gov
81,67500,2286,0,Some-college,13,1,Married-civ-spouse,Canada,Craft-repair,Other,Wife,Male,Local-gov
83,52500,2722,0,HS-grad,13,2,Married-civ-spouse,Japan,Sales,Other,Own-child,Female,Self-emp-not-inc
83,52500,2722,0,HS-grad,13,2,Married-civ-spouse,Japan,Sales,Other,Own-child,Male,Self-emp-not-inc
81,52500,2286,0,Some-college,13,1,Married-civ-spouse,Canada,Craft-repair,White,Wife,Female,Local-gov
81,52500,2286,0,Some-college,13,1,Married-civ-spouse,Canada,Craft-repair,White,Wife,Male,Local-gov
81,67500,3375,0,12th,9,8,Married-civ-spouse,Canada,Craft-repair,Other,Wife,Female,Local-gov
81,67500,3375,0,12th,9,8,Married-civ-spouse,Canada,Craft-repair,Other,Wife,Male,Local-gov
81,67500,2286,0,Some-college,9,8,Married-civ-spouse,Canada,Craft-repair,Other,Wife,Female,Local-gov
81,67500,2286,0,Some-college,9,8,Married-civ-spouse,Canada,Craft-repair,Other,Wife,Male,Local-gov
79,52500,3375,1,Bachelors,9,8,Married-civ-spouse,United-States,Tech-support,Other,Wife,Female,Private
79,52500,3375,1,Bachelors,9,8,Married-civ-spouse,United-States,Tech-support,Other,Wife,Male,Private
87,57500,2722,1,Assoc-voc,11,9,Married-civ-spouse,Italy,Prof-specialty,Other,Husband,Female,State-gov
87,57500,2722,1,Assoc-voc,11,9,Married-civ-spouse,Italy,Prof-specialty,Other,Husband,Male,State-gov
91,57500,2722,0,Prof-school,9,10,Married-civ-spouse,Dominican-Republic,Adm-clerical,Black,Not-in-family,Female,State-gov
91,57500,2722,0,Prof-school,9,10,Married-civ-spouse,Dominican-Republic,Adm-clerical,Black,Not-in-family,Male,State-gov
91,57500,2722,1,10th,9,10,Married-civ-spouse,Dominican-Republic,Adm-clerical,Black,Not-in-family,Female,Self-emp-inc
91,57500,2722,1,10th,9,10,Married-civ-spouse,Dominican-Republic,Adm-clerical,Black,Not-in-family,Male,Self-emp-inc
85,57500,2504,0,11th,9,9,Married-civ-spouse,Cuba,Exec-managerial,Other,Own-child,Female,Self-emp-not-inc
85,57500,2504,0,11th,9,9,Married-civ-spouse,Cuba,Exec-managerial,Other,Own-child,Male,Self-emp-not-inc
83,52500,2504,0,HS-grad,9,8,Married-civ-spouse,Japan,Sales,White,Own-child,Female,Local-gov
83,52500,2504,0,HS-grad,9,8,Married-civ-spouse,Japan,Sales,White,Own-child,Male,Local-gov
81,52500,2286,1,12th,9,8,Married-civ-spouse,Canada,Craft-repair,White,Wife,Female,Private
81,52500,2286,1,12th,9,8,Married-civ-spouse,Canada,Craft-repair,White,Wife,Male,Private
87,67500,3158,0,Assoc-voc,10,3,Married-civ-spouse,Italy,Prof-specialty,Other,Husband,Female,Self-emp-inc
87,67500,3158,0,Assoc-voc,10,3,Married-civ-spouse,Italy,Prof-specialty,Other,Husband,Male,Self-emp-inc
87,67500,2722,0,Assoc-voc,10,2,Married-civ-spouse,Italy,Prof-specialty,Asian-Pac-Islander,Husband,Female,State-gov
87,67500,2722,0,Assoc-voc,10,2,Married-civ-spouse,Italy,Prof-specialty,Asian-Pac-Islander,Husband,Male,State-gov
95,62500,3811,0,10th,11,5,Married-civ-spouse,Nicaragua,Transport-moving,Black,Other-relative,Female,State-gov
95,62500,3811,0,10th,11,5,Married-civ-spouse,Nicaragua,Transport-moving,Black,Other-relative,Male,State-gov
81,52500,2504,1,Some-college,9,5,Married-civ-spouse,Canada,Craft-repair,White,Wife,Female,Self-emp-not-inc
81,52500,2504,1,Some-college,9,5,Married-civ-spouse,Canada,Craft-repair,White,Wife,Male,Self-emp-not-inc
91,57500,3375,0,12th,10,2,Married-civ-spouse,Dominican-Republic,Adm-clerical,Asian-Pac-Islander,Not-in-family,Female,Local-gov
91,57500,3375,0,12th,10,2,Married-civ-spouse,Dominican-Republic,Adm-clerical,Asian-Pac-Islander,Not-in-family,Male,Local-gov
85,82500,2504,0,Masters,1,21,Married-civ-spouse,Cuba,Exec-managerial,Other,Own-child,Female,State-gov
85,82500,2504,0,Masters,1,21,Married-civ-spouse,Cuba,Exec-managerial,Other,Own-child,Male,State-gov
79,92500,2286,1,7th-8th,3,14,Married-civ-spouse,United-States,Tech-support,Other,Wife,Female,Local-gov
79,92500,2286,1,7th-8th,3,14,Married-civ-spouse,United-States,Tech-support,Other,Wife,Male,Local-gov
81,92500,2286,0,Some-college,1,14,Married-civ-spouse,Canada,Craft-repair,Other,Wife,Female,Local-gov
81,92500,2286,0,Some-college,1,14,Married-civ-spouse,Canada,Craft-repair,Other,Wife,Male,Local-gov
79,92500,2286,1,7th-8th,1,14,Married-civ-spouse,United-States,Tech-support,Other,Wife,Female,Private
79,92500,2286,1,7th-8th,1,14,Married-civ-spouse,United-States,Tech-support,Other,Wife,Male,Private
87,82500,3811,1,Assoc-voc,1,15,Married-civ-spouse,Italy,Prof-specialty,Other,Husband,Female,State-gov
