job,marital,education,default,housing,loan,contact,month,day_of_week,emp.var.rate,duration,campaign,pdays,previous,poutcome,age,output,decision
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4965,1,423,0,failure,0,-0.014179,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4965,1,423,0,failure,1,0.015909,POSITIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4969,5,408,1,failure,0,-0.010258,NEGATIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4969,5,408,1,failure,1,0.079815,POSITIVE
self-employed,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4984,3,411,4,nonexistent,0,-0.009365,NEGATIVE
self-employed,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4984,3,411,4,nonexistent,1,0.101869,POSITIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4865,5,407,0,failure,0,-0.010387,NEGATIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4865,5,407,0,failure,1,0.102999,POSITIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4845,1,415,0,failure,0,-0.017069,NEGATIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4845,1,415,0,failure,1,0.013068,POSITIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4965,8,391,0,failure,0,-0.058411,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4965,8,391,0,failure,1,0.029595,POSITIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4938,8,377,1,failure,0,-0.059236,NEGATIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4938,8,377,1,failure,1,0.028887,POSITIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4891,8,377,1,failure,0,-0.068728,NEGATIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4891,8,377,1,failure,1,0.019389,POSITIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4969,5,393,1,failure,0,-0.018755,NEGATIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4969,5,393,1,failure,1,0.069993,POSITIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4946,5,392,1,failure,0,-0.075730,NEGATIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4946,5,392,1,failure,1,0.010608,POSITIVE
housemaid,married,basic.9y,no,no,no,cellular,feb,wed,-2,4934,5,401,2,nonexistent,0,-0.014509,NEGATIVE
housemaid,married,basic.9y,no,no,no,cellular,feb,wed,-2,4934,5,401,2,nonexistent,1,0.076101,POSITIVE
retired,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4952,6,394,3,nonexistent,0,-0.022841,NEGATIVE
retired,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4952,6,394,3,nonexistent,1,0.066223,POSITIVE
services,married,illiterate,unknown,unknown,unknown,telephone,sep,fri,-1,4976,3,401,4,nonexistent,0,-0.041118,NEGATIVE
services,married,illiterate,unknown,unknown,unknown,telephone,sep,fri,-1,4976,3,401,4,nonexistent,1,0.048449,POSITIVE
retired,married,high.school,unknown,unknown,unknown,telephone,oct,thu,-1,4981,6,382,3,nonexistent,0,-0.004030,NEGATIVE
retired,married,high.school,unknown,unknown,unknown,telephone,oct,thu,-1,4981,6,382,3,nonexistent,1,0.083771,POSITIVE
retired,married,high.school,unknown,unknown,unknown,telephone,oct,thu,-1,4932,6,378,3,nonexistent,0,-0.053261,NEGATIVE
retired,married,high.school,unknown,unknown,unknown,telephone,oct,thu,-1,4932,6,378,3,nonexistent,1,0.034813,POSITIVE
management,married,basic.9y,no,no,no,cellular,mar,wed,-2,4899,5,393,2,nonexistent,0,-0.018871,NEGATIVE
management,married,basic.9y,no,no,no,cellular,mar,wed,-2,4899,5,393,2,nonexistent,1,0.070867,POSITIVE
admin.,divorced,basic.4y,no,no,no,cellular,jul,mon,-3,4845,5,391,0,failure,0,-0.026183,NEGATIVE
admin.,divorced,basic.4y,no,no,no,cellular,jul,mon,-3,4845,5,391,0,failure,1,0.063401,POSITIVE
self-employed,married,illiterate,unknown,unknown,unknown,telephone,aug,fri,-1,4891,2,399,4,nonexistent,0,-0.054588,NEGATIVE
self-employed,married,illiterate,unknown,unknown,unknown,telephone,aug,fri,-1,4891,2,399,4,nonexistent,1,0.044434,POSITIVE
self-employed,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4914,6,387,4,nonexistent,0,-0.049210,NEGATIVE
self-employed,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4914,6,387,4,nonexistent,1,0.038684,POSITIVE
housemaid,married,basic.9y,no,no,no,cellular,aug,wed,-2,4856,5,379,2,nonexistent,0,-0.011453,NEGATIVE
housemaid,married,basic.9y,no,no,no,cellular,aug,wed,-2,4856,5,379,2,nonexistent,1,0.076776,POSITIVE
retired,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4864,6,386,3,nonexistent,0,-0.023748,NEGATIVE
retired,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4864,6,386,3,nonexistent,1,0.065167,POSITIVE
services,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4877,6,379,4,nonexistent,0,-0.074871,NEGATIVE
services,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4877,6,379,4,nonexistent,1,0.012119,POSITIVE
student,single,professional.course,unknown,unknown,unknown,telephone,nov,(null),0,4914,3,386,5,success,0,-0.082522,NEGATIVE
student,single,professional.course,unknown,unknown,unknown,telephone,nov,(null),0,4914,3,386,5,success,1,0.003804,POSITIVE
student,single,professional.course,unknown,unknown,unknown,telephone,nov,(null),0,4875,3,380,5,success,0,-0.075033,NEGATIVE
student,single,professional.course,unknown,unknown,unknown,telephone,nov,(null),0,4875,3,380,5,success,1,0.011375,POSITIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4826,8,383,0,failure,0,-0.044579,NEGATIVE
