age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,emp.var.rate,campaign,pdays,previous,poutcome,output,decision
1,admin.,divorced,basic.4y,no,no,no,cellular,apr,fri,1750,0,1,400,0,failure,0.4575429757740032,0
0,admin.,divorced,basic.4y,no,no,no,cellular,apr,fri,1750,0,1,400,0,failure,0.5077801530062028,1
1,unemployed,divorced,basic.4y,no,yes,yes,cellular,jul,fri,300,-3,9,409,7,nonexistent,0.4911352736021717,0
0,unemployed,divorced,basic.4y,no,yes,yes,cellular,jul,fri,300,-3,9,409,7,nonexistent,0.5276747132090944,1
1,unemployed,divorced,basic.4y,no,no,no,cellular,apr,tue,419,0,41,119,0,failure,0.40436284911497544,0
0,unemployed,divorced,basic.4y,no,no,no,cellular,apr,tue,419,0,41,119,0,failure,0.5009702431898382,1
1,unemployed,single,basic.4y,yes,no,yes,telephone,sep,fri,2110,1,2,899,7,failure,0.4922300183015167,0
0,unemployed,single,basic.4y,yes,no,yes,telephone,sep,fri,2110,1,2,899,7,failure,0.5380503074938701,1
1,technician,single,basic.4y,no,yes,no,telephone,sep,mon,1659,1,1,509,6,failure,0.49969761636069365,0
0,technician,single,basic.4y,no,yes,no,telephone,sep,mon,1659,1,1,509,6,failure,0.5454653534824534,1
0,unemployed,divorced,university.degree,yes,no,yes,cellular,sep,mon,2310,-3,4,181,2,success,0.5001470353411968,1
1,unemployed,divorced,university.degree,yes,no,yes,cellular,sep,mon,2310,-3,4,181,2,success,0.4573624388240719,0
0,unemployed,married,basic.6y,no,no,yes,telephone,jul,tue,3780,-3,29,79,0,success,0.5059081453119998,1
1,unemployed,married,basic.6y,no,no,yes,telephone,jul,tue,3780,-3,29,79,0,success,0.463091805059382,0
1,unemployed,married,basic.4y,no,no,no,cellular,aug,thu,469,0,41,561,0,failure,0.4053082718247199,0
0,unemployed,married,basic.4y,no,no,no,cellular,aug,thu,469,0,41,561,0,failure,0.5000667478885262,1
1,admin.,single,illiterate,yes,yes,no,telephone,apr,mon,621,1,30,19,6,success,0.38972773968260505,0
0,admin.,single,illiterate,yes,yes,no,telephone,apr,mon,621,1,30,19,6,success,0.503098200469086,1
0,unemployed,married,university.degree,yes,no,no,telephone,oct,wed,3619,-1,42,717,3,nonexistent,0.5071657068762156,1
1,unemployed,married,university.degree,yes,no,no,telephone,oct,wed,3619,-1,42,717,3,nonexistent,0.4569317044077676,0
1,unemployed,divorced,basic.6y,yes,yes,no,cellular,nov,fri,4780,-3,1,214,7,failure,0.46909835642605435,0
0,unemployed,divorced,basic.6y,yes,yes,no,cellular,nov,fri,4780,-3,1,214,7,failure,0.5119514848524078,1
0,self-employed,married,basic.9y,yes,no,no,cellular,sep,fri,1400,-3,21,19,3,success,0.5365158431895424,1
1,self-employed,married,basic.9y,yes,no,no,cellular,sep,fri,1400,-3,21,19,3,success,0.49369099508301906,0
0,blue-collar,single,basic.4y,no,yes,yes,telephone,dec,fri,830,1,41,689,7,failure,0.5361004847254915,1
1,blue-collar,single,basic.4y,no,yes,yes,telephone,dec,fri,830,1,41,689,7,failure,0.4995963779223503,0
0,technician,single,illiterate,no,no,no,telephone,nov,fri,2586,-2,50,19,0,success,0.5336314217243765,1
1,technician,single,illiterate,no,no,no,telephone,nov,fri,2586,-2,50,19,0,success,0.49997990392149577,0
