job,marital,education,default,housing,loan,contact,month,day_of_week,emp.var.rate,duration,campaign,pdays,previous,poutcome,age,output,decision
student,single,professional.course,unknown,unknown,unknown,telephone,nov,(null),0,4918,46,997,5,success,0,-0.000593,NEGATIVE
student,single,professional.course,unknown,unknown,unknown,telephone,nov,(null),0,4918,46,997,5,success,1,0.000083,POSITIVE
student,single,professional.course,unknown,unknown,unknown,telephone,oct,(null),0,4914,49,980,5,success,0,-0.000166,NEGATIVE
student,single,professional.course,unknown,unknown,unknown,telephone,oct,(null),0,4914,49,980,5,success,1,0.000510,POSITIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4848,48,978,1,failure,0,-0.000080,NEGATIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4848,48,978,1,failure,1,0.000595,POSITIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4809,48,970,0,failure,0,-0.000499,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4809,48,970,0,failure,1,0.000177,POSITIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4768,45,977,0,failure,0,-0.000188,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4768,45,977,0,failure,1,0.000488,POSITIVE
services,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4793,46,979,4,nonexistent,0,-0.000090,NEGATIVE
services,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4793,46,979,4,nonexistent,1,0.000586,POSITIVE
student,single,professional.course,unknown,unknown,unknown,telephone,oct,(null),0,4836,43,996,5,success,0,-0.000395,NEGATIVE
student,single,professional.course,unknown,unknown,unknown,telephone,oct,(null),0,4836,43,996,5,success,1,0.000280,POSITIVE
management,married,basic.9y,no,no,no,cellular,sep,wed,-2,4782,42,990,2,nonexistent,0,-0.000656,NEGATIVE
management,married,basic.9y,no,no,no,cellular,sep,wed,-2,4782,42,990,2,nonexistent,1,0.000020,POSITIVE
self-employed,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4778,43,996,4,nonexistent,0,-0.000610,NEGATIVE
