status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,sex,output,decision
A11,60,A30,A41,1300,A65,A71,1,A102,1,A122,0,A142,A153,4,A174,1,A191,A201,A92,0.4841748786043353,0
A11,60,A30,A41,1300,A65,A71,1,A102,1,A122,1,A142,A153,4,A174,1,A191,A201,A92,0.5330851994640783,1
A11,48,A33,A41,5700,A65,A74,1,A103,1,A121,1,A141,A153,4,A171,1,A192,A202,A92,0.5441094049500155,1
A11,48,A33,A41,5700,A65,A74,1,A103,1,A121,0,A141,A153,4,A171,1,A192,A202,A92,0.4952361712098589,0
A14,27,A33,A43,8399,A63,A72,3,A103,4,A121,1,A141,A151,3,A171,1,A191,A201,A92,0.5042500543306309,1
A14,27,A33,A43,8399,A63,A72,3,A103,4,A121,0,A141,A151,3,A171,1,A191,A201,A92,0.4553959631611365,0
A11,1,A33,A410,13599,A65,A72,1,A101,4,A122,1,A142,A151,3,A171,2,A191,A201,A91,0.5028882776427708,1
A11,1,A33,A410,13599,A65,A72,1,A101,4,A122,0,A142,A151,3,A171,2,A191,A201,A91,0.4540604153814719,0
A13,0,A33,A43,6500,A63,A72,4,A103,1,A123,1,A143,A151,1,A171,2,A191,A201,A92,0.5463681322103277,1
A13,0,A33,A43,6500,A63,A72,4,A103,1,A123,0,A143,A151,1,A171,2,A191,A201,A92,0.49752105102837424,0
A13,0,A33,A40,2800,A63,A72,1,A101,1,A121,1,A141,A151,1,A171,1,A191,A201,A92,0.5005651588938808,1
A13,0,A33,A40,2800,A63,A72,1,A101,1,A121,0,A141,A151,1,A171,1,A191,A201,A92,0.45174842785045977,0
A14,79,A30,A45,17214,A61,A71,3,A103,4,A123,1,A141,A151,2,A174,2,A191,A202,A91,0.5000196574255723,1
A14,79,A30,A45,17214,A61,A71,3,A103,4,A123,0,A141,A151,2,A174,2,A191,A202,A91,0.4512250661557918,0
A14,3,A33,A44,9799,A63,A72,4,A101,4,A122,1,A142,A151,4,A171,1,A191,A201,A92,0.5038914965715572,1
A14,3,A33,A44,9799,A63,A72,4,A101,4,A122,0,A142,A151,4,A171,1,A191,A201,A92,0.45502890651968175,0
A13,31,A30,A40,3045,A63,A74,4,A101,1,A123,1,A142,A151,1,A171,1,A191,A202,A92,0.5020280844134675,1
A13,31,A30,A40,3045,A63,A74,4,A101,1,A123,0,A142,A151,1,A171,1,A191,A202,A92,0.4532104345036606,0
A13,56,A30,A49,3499,A63,A72,4,A101,4,A121,1,A143,A152,1,A171,1,A191,A202,A92,0.5006748312711979,1
A13,56,A30,A49,3499,A63,A72,4,A101,4,A121,0,A143,A152,1,A171,1,A191,A202,A92,0.4518438537045859,0
A11,80,A33,A40,700,A65,A71,3,A103,1,A122,1,A142,A153,1,A172,2,A191,A202,A92,0.5436021681516763,1
A11,80,A33,A40,700,A65,A71,3,A103,1,A122,0,A142,A153,1,A172,2,A191,A202,A92,0.49474865415892316,0
A11,0,A33,A49,9838,A63,A72,1,A101,2,A123,1,A142,A153,1,A172,1,A191,A201,A92,0.5459104843726894,1
