CE_ID,PA,status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,sex,output,decision
1,0,A13,3,A32,A48,16750,A63,A73,1,A103,3,A123,0,A143,A153,3,A173,1,A192,A202,A92,-0.204450,NEGATIVE
1,1,A13,3,A32,A48,16750,A63,A73,1,A103,3,A123,1,A143,A153,3,A173,1,A192,A202,A92,0.002825,POSITIVE
2,0,A13,4,A32,A49,17437,A63,A73,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.196053,NEGATIVE
2,1,A13,4,A32,A49,17437,A63,A73,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.011223,POSITIVE
3,0,A13,9,A32,A48,16750,A63,A73,1,A103,3,A122,0,A143,A153,3,A173,1,A192,A202,A92,-0.206832,NEGATIVE
3,1,A13,9,A32,A48,16750,A63,A73,1,A103,3,A122,1,A143,A153,3,A173,1,A192,A202,A92,0.000443,POSITIVE
4,0,A13,3,A32,A47,16750,A63,A73,1,A103,3,A122,0,A143,A153,3,A173,1,A192,A202,A92,-0.185800,NEGATIVE
4,1,A13,3,A32,A47,16750,A63,A73,1,A103,3,A122,1,A143,A153,3,A173,1,A192,A202,A92,0.021474,POSITIVE
5,0,A13,4,A32,A49,16812,A63,A72,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.200682,NEGATIVE
5,1,A13,4,A32,A49,16812,A63,A72,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.006593,POSITIVE
6,0,A13,4,A32,A49,16812,A63,A73,1,A103,3,A122,0,A142,A153,3,A174,1,A192,A202,A92,-0.202347,NEGATIVE
6,1,A13,4,A32,A49,16812,A63,A73,1,A103,3,A122,1,A142,A153,3,A174,1,A192,A202,A92,0.004928,POSITIVE
7,0,A13,14,A32,A49,15562,A63,A73,1,A103,3,A123,0,A143,A153,3,A174,1,A192,A202,A92,-0.200062,NEGATIVE
7,1,A13,14,A32,A49,15562,A63,A73,1,A103,3,A123,1,A143,A153,3,A174,1,A192,A202,A92,0.007213,POSITIVE
8,0,A13,14,A32,A49,16187,A63,A73,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.201346,NEGATIVE
8,1,A13,14,A32,A49,16187,A63,A73,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.005930,POSITIVE
9,0,A13,19,A32,A49,15562,A63,A73,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.201037,NEGATIVE
9,1,A13,19,A32,A49,15562,A63,A73,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.006238,POSITIVE
10,0,A13,14,A32,A44,15562,A63,A73,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.194859,NEGATIVE
10,1,A13,14,A32,A44,15562,A63,A73,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.012416,POSITIVE
11,0,A13,14,A32,A49,15562,A63,A72,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.205975,NEGATIVE
