status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,sex,output,decision
A13,76,A32,A48,17501,A61,A73,3,A103,1,A123,0,A143,A153,3,A171,1,A191,A202,A91,-0.060010,NEGATIVE
A13,76,A32,A48,17501,A61,A73,3,A103,1,A123,1,A143,A153,3,A171,1,A191,A202,A91,0.135804,POSITIVE
A13,71,A32,A45,17501,A61,A73,3,A103,1,A123,0,A143,A153,3,A171,1,A191,A202,A91,-0.125377,NEGATIVE
A13,71,A32,A45,17501,A61,A73,3,A103,1,A123,1,A143,A153,3,A171,1,A191,A202,A91,0.070441,POSITIVE
A13,76,A32,A45,17501,A61,A73,3,A103,1,A123,0,A143,A151,3,A171,1,A191,A202,A91,-0.010750,NEGATIVE
A13,76,A32,A45,17501,A61,A73,3,A103,1,A123,1,A143,A151,3,A171,1,A191,A202,A91,0.185193,POSITIVE
A13,76,A32,A45,17501,A61,A73,3,A103,1,A123,0,A143,A153,1,A171,1,A191,A202,A91,-0.043641,NEGATIVE
A13,76,A32,A45,17501,A61,A73,3,A103,1,A123,1,A143,A153,1,A171,1,A191,A202,A91,0.152234,POSITIVE
A13,76,A32,A45,17501,A61,A73,1,A103,1,A123,0,A143,A153,3,A171,1,A191,A202,A91,-0.017258,NEGATIVE
A13,76,A32,A45,17501,A61,A73,1,A103,1,A123,1,A143,A153,3,A171,1,A191,A202,A91,0.178801,POSITIVE
A13,76,A32,A45,15001,A61,A73,3,A103,1,A123,0,A143,A153,3,A171,1,A191,A202,A91,-0.058939,NEGATIVE
A13,76,A32,A45,15001,A61,A73,3,A103,1,A123,1,A143,A153,3,A171,1,A191,A202,A91,0.136821,POSITIVE
A13,71,A32,A45,17501,A61,A73,3,A101,1,A123,0,A143,A151,1,A171,1,A191,A202,A91,-0.062853,NEGATIVE
A13,71,A32,A45,17501,A61,A73,3,A101,1,A123,1,A143,A151,1,A171,1,A191,A202,A91,0.132904,POSITIVE
A13,76,A32,A48,17501,A61,A73,3,A101,1,A121,0,A143,A153,3,A171,1,A191,A202,A91,-0.121222,NEGATIVE
A13,76,A32,A48,17501,A61,A73,3,A101,1,A121,1,A143,A153,3,A171,1,A191,A202,A91,0.074718,POSITIVE
A13,77,A32,A46,19250,A62,A73,3,A102,3,A122,0,A143,A152,3,A173,1,A192,A202,A92,-0.003435,NEGATIVE
A13,77,A32,A46,19250,A62,A73,3,A102,3,A122,1,A143,A152,3,A173,1,A192,A202,A92,0.192203,POSITIVE
A13,76,A32,A45,17501,A61,A73,3,A101,1,A121,0,A143,A153,1,A171,1,A191,A202,A91,-0.104795,NEGATIVE
A13,76,A32,A45,17501,A61,A73,3,A101,1,A121,1,A143,A153,1,A171,1,A191,A202,A91,0.091206,POSITIVE
A13,71,A32,A45,17501,A61,A73,1,A101,1,A123,0,A143,A151,3,A171,1,A191,A202,A91,-0.036592,NEGATIVE
A13,71,A32,A45,17501,A61,A73,1,A101,1,A123,1,A143,A151,3,A171,1,A191,A202,A91,0.159348,POSITIVE
A13,76,A32,A48,17501,A61,A73,1,A101,1,A123,0,A143,A153,1,A171,1,A191,A202,A91,-0.004116,NEGATIVE
A13,76,A32,A48,17501,A61,A73,1,A101,1,A123,1,A143,A153,1,A171,1,A191,A202,A91,0.191638,POSITIVE
A13,71,A32,A45,17501,A61,A73,1,A101,1,A123,0,A143,A153,1,A171,1,A191,A202,A91,-0.069540,NEGATIVE
A13,71,A32,A45,17501,A61,A73,1,A101,1,A123,1,A143,A153,1,A171,1,A191,A202,A91,0.126580,POSITIVE
A13,76,A32,A45,17501,A61,A73,1,A101,1,A121,0,A143,A153,3,A171,1,A191,A202,A91,-0.078107,NEGATIVE
A13,76,A32,A45,17501,A61,A73,1,A101,1,A121,1,A143,A153,3,A171,1,A191,A202,A91,0.117776,POSITIVE
A13,71,A32,A45,15001,A61,A73,3,A101,1,A123,0,A143,A151,3,A171,1,A191,A202,A91,-0.078327,NEGATIVE
A13,71,A32,A45,15001,A61,A73,3,A101,1,A123,1,A143,A151,3,A171,1,A191,A202,A91,0.117609,POSITIVE
A13,76,A32,A48,15001,A61,A73,3,A101,1,A123,0,A143,A153,1,A171,1,A191,A202,A91,-0.045858,NEGATIVE
A13,76,A32,A48,15001,A61,A73,3,A101,1,A123,1,A143,A153,1,A171,1,A191,A202,A91,0.149716,POSITIVE
A13,71,A32,A45,15001,A61,A73,3,A101,1,A123,0,A143,A153,1,A171,1,A191,A202,A91,-0.111221,NEGATIVE
A13,71,A32,A45,15001,A61,A73,3,A101,1,A123,1,A143,A153,1,A171,1,A191,A202,A91,0.084474,POSITIVE
A13,76,A32,A45,15001,A61,A73,3,A101,1,A121,0,A143,A153,3,A171,1,A191,A202,A91,-0.120270,NEGATIVE
A13,76,A32,A45,15001,A61,A73,3,A101,1,A121,1,A143,A153,3,A171,1,A191,A202,A91,0.076090,POSITIVE
A13,76,A32,A48,15001,A61,A73,1,A101,1,A123,0,A143,A153,3,A171,1,A191,A202,A91,-0.019475,NEGATIVE
A13,76,A32,A48,15001,A61,A73,1,A101,1,A123,1,A143,A153,3,A171,1,A191,A202,A91,0.176285,POSITIVE
A13,71,A32,A45,15001,A61,A73,1,A101,1,A123,0,A143,A153,3,A171,1,A191,A202,A91,-0.084716,NEGATIVE
A13,71,A32,A45,15001,A61,A73,1,A101,1,A123,1,A143,A153,3,A171,1,A191,A202,A91,0.111163,POSITIVE
A13,76,A32,A45,15001,A61,A73,1,A101,1,A123,0,A143,A153,1,A171,1,A191,A202,A91,-0.002984,NEGATIVE
A13,76,A32,A45,15001,A61,A73,1,A101,1,A123,1,A143,A153,1,A171,1,A191,A202,A91,0.192712,POSITIVE
A13,71,A32,A45,17501,A61,A73,3,A103,1,A123,0,A141,A151,1,A171,1,A191,A202,A91,-0.106543,NEGATIVE
A13,71,A32,A45,17501,A61,A73,3,A103,1,A123,1,A141,A151,1,A171,1,A191,A202,A91,0.089214,POSITIVE
A13,71,A32,A48,17501,A61,A73,3,A103,1,A121,0,A141,A153,3,A171,1,A191,A202,A91,-0.043453,NEGATIVE
A13,71,A32,A48,17501,A61,A73,3,A103,1,A121,1,A141,A153,3,A171,1,A191,A202,A91,0.152246,POSITIVE
A13,79,A32,A49,19750,A63,A73,3,A103,3,A122,0,A141,A152,3,A174,1,A192,A202,A92,-0.007491,NEGATIVE
A13,79,A32,A49,19750,A63,A73,3,A103,3,A122,1,A141,A152,3,A174,1,A192,A202,A92,0.188571,POSITIVE
A13,72,A32,A45,18000,A61,A73,3,A103,1,A121,0,A141,A151,3,A172,1,A191,A202,A91,-0.005422,NEGATIVE
A13,72,A32,A45,18000,A61,A73,3,A103,1,A121,1,A141,A151,3,A172,1,A191,A202,A91,0.190697,POSITIVE
A13,71,A32,A45,17501,A61,A73,3,A103,1,A121,0,A141,A153,1,A171,1,A191,A202,A91,-0.027206,NEGATIVE
A13,71,A32,A45,17501,A61,A73,3,A103,1,A121,1,A141,A153,1,A171,1,A191,A202,A91,0.168734,POSITIVE
A13,71,A32,A45,17501,A61,A73,1,A103,1,A123,0,A141,A151,3,A171,1,A191,A202,A91,-0.079854,NEGATIVE
A13,71,A32,A45,17501,A61,A73,1,A103,1,A123,1,A141,A151,3,A171,1,A191,A202,A91,0.115845,POSITIVE
