age,capital-gain,capital-loss,decision,education,education-num,hours-per-week,marital-status,native-country,occupation,race,relationship,sex,workclass
33,62500,980,1,12th,1,3,Widowed,Scotland,Adm-clerical,Other,Not-in-family,Female,Self-emp-not-inc
33,62500,980,1,12th,1,3,Widowed,Scotland,Adm-clerical,Other,Not-in-family,Male,Self-emp-not-inc
34,62500,1851,1,1st-4th,2,5,Married-spouse-absent,Peru,Other-service,Amer-Indian-Eskimo,Other-relative,Female,Self-emp-inc
34,62500,1851,1,1st-4th,2,5,Married-spouse-absent,Peru,Other-service,Amer-Indian-Eskimo,Other-relative,Male,Self-emp-inc
34,52500,544,0,12th,1,2,Widowed,Nicaragua,Adm-clerical,Other,Not-in-family,Female,Self-emp-not-inc
34,52500,544,0,12th,1,2,Widowed,Nicaragua,Adm-clerical,Other,Not-in-family,Male,Self-emp-not-inc
39,52500,108,1,Bachelors,1,1,Widowed,Guatemala,Machine-op-inspct,Other,Not-in-family,Female,Private
39,52500,108,1,Bachelors,1,1,Widowed,Guatemala,Machine-op-inspct,Other,Not-in-family,Male,Private
34,52500,1415,0,11th,1,4,Married-spouse-absent,Thailand,Farming-fishing,Other,Other-relative,Female,Self-emp-inc
34,52500,1415,0,11th,1,4,Married-spouse-absent,Thailand,Farming-fishing,Other,Other-relative,Male,Self-emp-inc
34,52500,544,1,12th,1,2,Widowed,Nicaragua,Craft-repair,White,Not-in-family,Female,Self-emp-not-inc
34,52500,544,1,12th,1,2,Widowed,Nicaragua,Craft-repair,White,Not-in-family,Male,Self-emp-not-inc
36,52500,1415,1,11th,1,4,Married-spouse-absent,Thailand,Other-service,Asian-Pac-Islander,Other-relative,Female,Self-emp-inc
36,52500,1415,1,11th,1,4,Married-spouse-absent,Thailand,Other-service,Asian-Pac-Islander,Other-relative,Male,Self-emp-inc
29,67500,1851,1,1st-4th,2,5,Married-spouse-absent,Peru,Farming-fishing,Other,Other-relative,Female,Self-emp-inc
29,67500,1851,1,1st-4th,2,5,Married-spouse-absent,Peru,Farming-fishing,Other,Other-relative,Male,Self-emp-inc
24,72500,2286,1,10th,2,7,Married-spouse-absent,Peru,Transport-moving,Black,Other-relative,Female,Federal-gov
24,72500,2286,1,10th,2,7,Married-spouse-absent,Peru,Transport-moving,Black,Other-relative,Male,Federal-gov
30,72500,3811,1,5th-6th,3,11,Married-AF-spouse,Holand-Netherlands,Prof-specialty,Black,Unmarried,Female,State-gov
30,72500,3811,1,5th-6th,3,11,Married-AF-spouse,Holand-Netherlands,Prof-specialty,Black,Unmarried,Male,State-gov
19,72500,3811,0,5th-6th,3,11,Married-AF-spouse,Hong,Protective-serv,Black,Other-relative,Female,State-gov
19,72500,3811,0,5th-6th,3,11,Married-AF-spouse,Hong,Protective-serv,Black,Other-relative,Male,State-gov
19,72500,3811,1,5th-6th,3,11,Married-AF-spouse,Hong,Prof-specialty,Black,Other-relative,Female,State-gov
19,72500,3811,1,5th-6th,3,11,Married-AF-spouse,Hong,Prof-specialty,Black,Other-relative,Male,State-gov
25,62500,1851,1,1st-4th,2,5,Married-spouse-absent,Yugoslavia,Farming-fishing,Amer-Indian-Eskimo,Other-relative,Female,Self-emp-inc
25,62500,1851,1,1st-4th,2,5,Married-spouse-absent,Yugoslavia,Farming-fishing,Amer-Indian-Eskimo,Other-relative,Male,Self-emp-inc
24,62500,2504,0,Prof-school,2,8,Married-spouse-absent,El-Salvador,Priv-house-serv,Amer-Indian-Eskimo,Other-relative,Female,Local-gov
24,62500,2504,0,Prof-school,2,8,Married-spouse-absent,El-Salvador,Priv-house-serv,Amer-Indian-Eskimo,Other-relative,Male,Local-gov
27,62500,2504,1,10th,2,8,Married-spouse-absent,El-Salvador,Exec-managerial,Amer-Indian-Eskimo,Not-in-family,Female,Local-gov
27,62500,2504,1,10th,2,8,Married-spouse-absent,El-Salvador,Exec-managerial,Amer-Indian-Eskimo,Not-in-family,Male,Local-gov
29,62500,3375,0,Assoc-voc,3,10,Married-AF-spouse,Peru,Prof-specialty,Other,Other-relative,Female,State-gov
29,62500,3375,0,Assoc-voc,3,10,Married-AF-spouse,Peru,Prof-specialty,Other,Other-relative,Male,State-gov
