age,campaign,contact,day_of_week,decision,default,duration,education,emp.var.rate,housing,job,loan,marital,month,pdays,poutcome,previous
0,39,cellular,tue,1,no,previous,basic.6y,4930,no,admin.,no,divorced,jul,299,0,0
1,39,cellular,tue,1,no,previous,basic.6y,4930,no,admin.,no,divorced,jul,299,0,0
0,39,cellular,mon,1,no,previous,basic.4y,4845,no,admin.,no,divorced,jul,282,0,0
1,39,cellular,mon,1,no,previous,basic.4y,4845,no,admin.,no,divorced,jul,282,0,0
0,39,cellular,tue,1,no,previous,basic.6y,4930,no,self-employed,no,divorced,jan,299,0,0
1,39,cellular,tue,1,no,previous,basic.6y,4930,no,self-employed,no,divorced,jan,299,0,0
0,39,cellular,wed,1,no,poutcome,basic.9y,4946,no,blue-collar,no,married,feb,302,0,2
1,39,cellular,wed,1,no,poutcome,basic.9y,4946,no,blue-collar,no,married,feb,302,0,2
0,39,cellular,tue,0,no,poutcome,basic.6y,4875,no,entrepreneur,no,divorced,feb,284,0,1
1,39,cellular,tue,0,no,poutcome,basic.6y,4875,no,entrepreneur,no,divorced,feb,284,0,1
0,39,cellular,tue,0,no,previous,basic.6y,4774,no,admin.,no,divorced,jan,283,0,0
1,39,cellular,tue,0,no,previous,basic.6y,4774,no,admin.,no,divorced,jan,283,0,0
0,39,cellular,tue,0,no,previous,basic.6y,4860,no,blue-collar,no,divorced,jul,253,0,0
1,39,cellular,tue,0,no,previous,basic.6y,4860,no,blue-collar,no,divorced,jul,253,0,0
0,40,telephone,thu,1,unknown,age,high.school,4922,unknown,retired,unknown,married,apr,265,1,3
1,40,telephone,thu,1,unknown,age,high.school,4922,unknown,retired,unknown,married,apr,265,1,3
0,39,cellular,tue,1,no,previous,basic.6y,4704,no,blue-collar,no,divorced,jan,253,0,0
1,39,cellular,tue,1,no,previous,basic.6y,4704,no,blue-collar,no,divorced,jan,253,0,0
0,33,cellular,tue,0,no,previous,basic.6y,4860,no,admin.,no,divorced,jul,330,0,0
1,33,cellular,tue,0,no,previous,basic.6y,4860,no,admin.,no,divorced,jul,330,0,0
0,36,cellular,wed,1,no,poutcome,basic.9y,4868,no,blue-collar,no,married,aug,323,0,2
1,36,cellular,wed,1,no,poutcome,basic.9y,4868,no,blue-collar,no,married,aug,323,0,2
0,37,telephone,fri,1,unknown,age,illiterate,4891,unknown,housemaid,unknown,married,aug,317,1,4
1,37,telephone,fri,1,unknown,age,illiterate,4891,unknown,housemaid,unknown,married,aug,317,1,4
0,33,cellular,tue,1,no,poutcome,basic.6y,4938,no,services,no,divorced,jul,322,0,1
1,33,cellular,tue,1,no,poutcome,basic.6y,4938,no,services,no,divorced,jul,322,0,1
0,34,telephone,thu,0,unknown,age,high.school,4961,unknown,student,unknown,married,aug,316,1,3
1,34,telephone,thu,0,unknown,age,high.school,4961,unknown,student,unknown,married,aug,316,1,3
0,33,cellular,mon,1,no,previous,basic.4y,4845,no,self-employed,no,divorced,jul,321,0,0
1,33,cellular,mon,1,no,previous,basic.4y,4845,no,self-employed,no,divorced,jul,321,0,0
0,33,cellular,wed,0,no,poutcome,basic.9y,4868,no,services,no,married,aug,315,0,2
1,33,cellular,wed,0,no,poutcome,basic.9y,4868,no,services,no,married,aug,315,0,2
0,33,cellular,tue,0,no,poutcome,basic.6y,4860,no,blue-collar,no,divorced,oct,322,0,1
1,33,cellular,tue,0,no,poutcome,basic.6y,4860,no,blue-collar,no,divorced,oct,322,0,1
0,33,cellular,wed,0,no,age,basic.9y,4875,no,entrepreneur,no,married,aug,323,0,2
1,33,cellular,wed,0,no,age,basic.9y,4875,no,entrepreneur,no,married,aug,323,0,2
0,36,cellular,tue,1,no,previous,basic.6y,4930,no,self-employed,no,divorced,apr,329,0,0
1,36,cellular,tue,1,no,previous,basic.6y,4930,no,self-employed,no,divorced,apr,329,0,0
0,36,cellular,tue,1,no,poutcome,basic.6y,4938,no,blue-collar,no,divorced,apr,331,0,1
1,36,cellular,tue,1,no,poutcome,basic.6y,4938,no,blue-collar,no,divorced,apr,331,0,1
0,33,cellular,tue,1,no,previous,basic.6y,4930,no,self-employed,no,divorced,apr,330,0,0
1,33,cellular,tue,1,no,previous,basic.6y,4930,no,self-employed,no,divorced,apr,330,0,0
0,33,cellular,tue,0,no,previous,basic.6y,4930,no,self-employed,no,divorced,jan,337,0,0
1,33,cellular,tue,0,no,previous,basic.6y,4930,no,self-employed,no,divorced,jan,337,0,0
0,34,telephone,thu,1,unknown,age,high.school,4961,unknown,housemaid,unknown,married,apr,336,1,3
1,34,telephone,thu,1,unknown,age,high.school,4961,unknown,housemaid,unknown,married,apr,336,1,3
0,33,cellular,wed,0,no,age,basic.9y,4875,no,entrepreneur,no,married,mar,334,0,2
1,33,cellular,wed,0,no,age,basic.9y,4875,no,entrepreneur,no,married,mar,334,0,2
0,37,telephone,fri,0,unknown,age,illiterate,4969,unknown,student,unknown,married,feb,325,1,4
1,37,telephone,fri,0,unknown,age,illiterate,4969,unknown,student,unknown,married,feb,325,1,4
0,36,cellular,mon,1,no,previous,basic.4y,4845,no,self-employed,no,divorced,apr,321,0,0
1,36,cellular,mon,1,no,previous,basic.4y,4845,no,self-employed,no,divorced,apr,321,0,0
0,37,telephone,thu,1,unknown,age,high.school,4883,unknown,student,unknown,married,apr,316,1,3
1,37,telephone,thu,1,unknown,age,high.school,4883,unknown,student,unknown,married,apr,316,1,3
0,37,telephone,(null),1,unknown,failure,professional.course,4968,unknown,management,unknown,single,may,324,1,5
1,37,telephone,(null),1,unknown,failure,professional.course,4968,unknown,management,unknown,single,may,324,1,5
0,34,telephone,fri,1,unknown,failure,illiterate,4976,unknown,technician,unknown,married,may,317,1,4
1,34,telephone,fri,1,unknown,failure,illiterate,4976,unknown,technician,unknown,married,may,317,1,4
0,34,telephone,fri,0,unknown,age,illiterate,4891,unknown,student,unknown,married,apr,317,1,4
1,34,telephone,fri,0,unknown,age,illiterate,4891,unknown,student,unknown,married,apr,317,1,4
0,36,cellular,tue,0,no,poutcome,basic.6y,4782,no,blue-collar,no,divorced,aug,314,0,1
1,36,cellular,tue,0,no,poutcome,basic.6y,4782,no,blue-collar,no,divorced,aug,314,0,1
0,33,cellular,mon,1,no,previous,basic.4y,4767,no,admin.,no,divorced,oct,321,0,0
1,33,cellular,mon,1,no,previous,basic.4y,4767,no,admin.,no,divorced,oct,321,0,0
0,33,cellular,tue,1,no,poutcome,basic.6y,4782,no,blue-collar,no,divorced,jul,322,0,1
1,33,cellular,tue,1,no,poutcome,basic.6y,4782,no,blue-collar,no,divorced,jul,322,0,1
0,33,cellular,wed,0,no,age,basic.9y,4797,no,entrepreneur,no,married,sep,315,0,2
1,33,cellular,wed,0,no,age,basic.9y,4797,no,entrepreneur,no,married,sep,315,0,2
0,33,cellular,tue,1,no,poutcome,basic.6y,4704,no,blue-collar,no,divorced,aug,315,0,1
1,33,cellular,tue,1,no,poutcome,basic.6y,4704,no,blue-collar,no,divorced,aug,315,0,1
0,33,cellular,tue,0,no,poutcome,basic.6y,4782,no,blue-collar,no,divorced,feb,331,0,1
1,33,cellular,tue,0,no,poutcome,basic.6y,4782,no,blue-collar,no,divorced,feb,331,0,1
0,36,cellular,tue,0,no,poutcome,basic.6y,4782,no,blue-collar,no,divorced,apr,314,0,1
1,36,cellular,tue,0,no,poutcome,basic.6y,4782,no,blue-collar,no,divorced,apr,314,0,1
0,33,cellular,wed,1,no,poutcome,basic.9y,4790,no,services,no,married,may,315,0,2
1,33,cellular,wed,1,no,poutcome,basic.9y,4790,no,services,no,married,may,315,0,2
0,33,cellular,wed,0,no,poutcome,basic.9y,4712,no,services,no,married,feb,315,0,2
1,33,cellular,wed,0,no,poutcome,basic.9y,4712,no,services,no,married,feb,315,0,2
0,33,cellular,tue,0,no,poutcome,basic.6y,4704,no,blue-collar,no,divorced,feb,322,0,1
1,33,cellular,tue,0,no,poutcome,basic.6y,4704,no,blue-collar,no,divorced,feb,322,0,1
0,34,telephone,fri,0,unknown,age,illiterate,4735,unknown,housemaid,unknown,married,apr,317,1,4
1,34,telephone,fri,0,unknown,age,illiterate,4735,unknown,housemaid,unknown,married,apr,317,1,4
0,30,cellular,tue,1,no,previous,basic.6y,4860,no,admin.,no,divorced,jul,330,0,0
1,30,cellular,tue,1,no,previous,basic.6y,4860,no,admin.,no,divorced,jul,330,0,0
0,30,cellular,wed,0,no,poutcome,basic.9y,4946,no,services,no,married,feb,331,0,2
1,30,cellular,wed,0,no,poutcome,basic.9y,4946,no,services,no,married,feb,331,0,2
0,30,cellular,tue,1,no,previous,basic.6y,4852,no,self-employed,no,divorced,jan,330,0,0
1,30,cellular,tue,1,no,previous,basic.6y,4852,no,self-employed,no,divorced,jan,330,0,0
0,31,telephone,fri,1,unknown,age,illiterate,4969,unknown,housemaid,unknown,married,apr,333,1,4
1,31,telephone,fri,1,unknown,age,illiterate,4969,unknown,housemaid,unknown,married,apr,333,1,4
0,26,cellular,tue,1,no,poutcome,basic.6y,4875,no,services,no,divorced,jan,330,0,1
1,26,cellular,tue,1,no,poutcome,basic.6y,4875,no,services,no,divorced,jan,330,0,1
0,27,cellular,wed,0,no,age,basic.9y,4953,no,entrepreneur,no,married,mar,339,0,2
1,27,cellular,wed,0,no,age,basic.9y,4953,no,entrepreneur,no,married,mar,339,0,2
0,27,telephone,fri,1,unknown,age,illiterate,4969,unknown,housemaid,unknown,married,apr,333,1,4
1,27,telephone,fri,1,unknown,age,illiterate,4969,unknown,housemaid,unknown,married,apr,333,1,4
0,26,cellular,mon,1,no,previous,basic.4y,4923,no,self-employed,no,divorced,oct,321,0,0
1,26,cellular,mon,1,no,previous,basic.4y,4923,no,self-employed,no,divorced,oct,321,0,0
0,26,cellular,tue,1,no,previous,basic.6y,4860,no,self-employed,no,divorced,oct,313,0,0
1,26,cellular,tue,1,no,previous,basic.6y,4860,no,self-employed,no,divorced,oct,313,0,0
0,26,cellular,mon,0,no,previous,illiterate,4923,no,self-employed,no,divorced,jul,321,0,0
1,26,cellular,mon,0,no,previous,illiterate,4923,no,self-employed,no,divorced,jul,321,0,0
0,30,cellular,mon,1,no,previous,basic.4y,4845,no,self-employed,no,divorced,jul,321,0,0
1,30,cellular,mon,1,no,previous,basic.4y,4845,no,self-employed,no,divorced,jul,321,0,0
0,29,telephone,thu,1,unknown,age,high.school,4961,unknown,student,unknown,married,aug,316,1,3
1,29,telephone,thu,1,unknown,age,high.school,4961,unknown,student,unknown,married,aug,316,1,3
0,27,cellular,wed,1,no,poutcome,basic.9y,4868,no,services,no,married,aug,315,0,2
1,27,cellular,wed,1,no,poutcome,basic.9y,4868,no,services,no,married,aug,315,0,2
0,28,cellular,wed,0,no,age,basic.9y,4953,no,entrepreneur,no,married,nov,323,0,2
1,28,cellular,wed,0,no,age,basic.9y,4953,no,entrepreneur,no,married,nov,323,0,2
0,27,cellular,tue,1,no,poutcome,basic.6y,4860,no,blue-collar,no,divorced,oct,322,0,1
1,27,cellular,tue,1,no,poutcome,basic.6y,4860,no,blue-collar,no,divorced,oct,322,0,1
0,29,telephone,thu,0,unknown,age,high.school,4922,unknown,housemaid,unknown,married,aug,324,1,3
1,29,telephone,thu,0,unknown,age,high.school,4922,unknown,housemaid,unknown,married,aug,324,1,3
0,29,telephone,fri,0,unknown,age,illiterate,4891,unknown,management,unknown,married,aug,317,1,4
1,29,telephone,fri,0,unknown,age,illiterate,4891,unknown,management,unknown,married,aug,317,1,4
0,27,cellular,wed,0,no,poutcome,basic.9y,4891,no,services,no,married,may,323,0,2
1,27,cellular,wed,0,no,poutcome,basic.9y,4891,no,services,no,married,may,323,0,2
0,31,telephone,(null),1,unknown,nonexistent,professional.course,4984,unknown,unemployed,unknown,single,mar,319,1,6
1,31,telephone,(null),1,unknown,nonexistent,professional.course,4984,unknown,unemployed,unknown,single,mar,319,1,6
0,30,telephone,(null),0,unknown,failure,professional.course,4968,unknown,management,unknown,single,may,326,1,5
1,30,telephone,(null),0,unknown,failure,professional.course,4968,unknown,management,unknown,single,may,326,1,5
0,31,telephone,(null),0,unknown,nonexistent,professional.course,4914,unknown,management,unknown,single,may,319,1,6
1,31,telephone,(null),0,unknown,nonexistent,professional.course,4914,unknown,management,unknown,single,may,319,1,6
0,30,cellular,tue,0,no,previous,basic.6y,4774,no,self-employed,no,divorced,jul,313,0,0
1,30,cellular,tue,0,no,previous,basic.6y,4774,no,self-employed,no,divorced,jul,313,0,0
0,30,cellular,mon,1,no,previous,basic.4y,4767,no,admin.,no,divorced,oct,321,0,0
1,30,cellular,mon,1,no,previous,basic.4y,4767,no,admin.,no,divorced,oct,321,0,0
0,30,cellular,tue,0,no,poutcome,basic.6y,4704,no,blue-collar,no,divorced,aug,315,0,1
1,30,cellular,tue,0,no,poutcome,basic.6y,4704,no,blue-collar,no,divorced,aug,315,0,1
0,30,cellular,tue,1,no,previous,basic.6y,4704,no,blue-collar,no,divorced,jan,330,0,0
1,30,cellular,tue,1,no,previous,basic.6y,4704,no,blue-collar,no,divorced,jan,330,0,0
0,30,cellular,tue,0,no,poutcome,basic.6y,4782,no,services,no,divorced,feb,322,0,1
1,30,cellular,tue,0,no,poutcome,basic.6y,4782,no,services,no,divorced,feb,322,0,1
0,30,cellular,wed,1,no,poutcome,basic.9y,4790,no,services,no,married,may,315,0,2
1,30,cellular,wed,1,no,poutcome,basic.9y,4790,no,services,no,married,may,315,0,2
0,30,cellular,tue,1,no,previous,basic.6y,4696,no,self-employed,no,divorced,apr,313,0,0
1,30,cellular,tue,1,no,previous,basic.6y,4696,no,self-employed,no,divorced,apr,313,0,0
0,31,telephone,thu,0,unknown,age,high.school,4727,unknown,housemaid,unknown,married,may,316,1,3
1,31,telephone,thu,0,unknown,age,high.school,4727,unknown,housemaid,unknown,married,may,316,1,3
0,31,telephone,fri,0,unknown,failure,illiterate,4742,unknown,housemaid,unknown,married,feb,317,1,4
1,31,telephone,fri,0,unknown,failure,illiterate,4742,unknown,housemaid,unknown,married,feb,317,1,4
0,26,cellular,tue,1,no,previous,basic.6y,4704,no,blue-collar,no,divorced,jan,330,0,0
1,26,cellular,tue,1,no,previous,basic.6y,4704,no,blue-collar,no,divorced,jan,330,0,0
0,26,cellular,tue,1,no,previous,basic.6y,4774,no,self-employed,no,divorced,jul,313,0,0
1,26,cellular,tue,1,no,previous,basic.6y,4774,no,self-employed,no,divorced,jul,313,0,0
0,26,cellular,tue,0,no,previous,basic.6y,4704,no,admin.,no,divorced,oct,314,0,0
1,26,cellular,tue,0,no,previous,basic.6y,4704,no,admin.,no,divorced,oct,314,0,0
0,26,cellular,wed,0,no,poutcome,basic.9y,4712,no,blue-collar,no,married,aug,315,0,2
1,26,cellular,wed,0,no,poutcome,basic.9y,4712,no,blue-collar,no,married,aug,315,0,2
0,26,cellular,tue,1,no,previous,basic.6y,4704,no,self-employed,no,divorced,apr,314,0,0
1,26,cellular,tue,1,no,previous,basic.6y,4704,no,self-employed,no,divorced,apr,314,0,0
0,26,cellular,wed,1,no,poutcome,basic.9y,4735,no,services,no,married,feb,317,0,2
1,26,cellular,wed,1,no,poutcome,basic.9y,4735,no,services,no,married,feb,317,0,2
0,28,telephone,fri,0,unknown,failure,illiterate,4797,unknown,housemaid,unknown,married,apr,317,1,4
1,28,telephone,fri,0,unknown,failure,illiterate,4797,unknown,housemaid,unknown,married,apr,317,1,4
0,33,cellular,mon,1,no,previous,basic.4y,4611,no,admin.,no,divorced,jan,313,0,0
1,33,cellular,mon,1,no,previous,basic.4y,4611,no,admin.,no,divorced,jan,313,0,0
0,30,cellular,tue,1,no,previous,basic.6y,4618,no,admin.,no,divorced,jul,313,0,0
1,30,cellular,tue,1,no,previous,basic.6y,4618,no,admin.,no,divorced,jul,313,0,0
0,30,cellular,mon,1,no,previous,basic.4y,4611,no,admin.,no,divorced,jan,329,0,0
1,30,cellular,mon,1,no,previous,basic.4y,4611,no,admin.,no,divorced,jan,329,0,0
0,30,cellular,tue,1,no,poutcome,basic.6y,4563,no,entrepreneur,no,divorced,feb,315,0,1
1,30,cellular,tue,1,no,poutcome,basic.6y,4563,no,entrepreneur,no,divorced,feb,315,0,1
0,26,cellular,tue,1,no,poutcome,basic.6y,4563,no,entrepreneur,no,divorced,feb,315,0,1
1,26,cellular,tue,1,no,poutcome,basic.6y,4563,no,entrepreneur,no,divorced,feb,315,0,1
0,26,cellular,tue,0,no,previous,basic.6y,4462,no,admin.,no,divorced,jan,314,0,0
1,26,cellular,tue,0,no,previous,basic.6y,4462,no,admin.,no,divorced,jan,314,0,0
0,37,telephone,fri,1,unknown,failure,illiterate,4898,unknown,housemaid,unknown,married,nov,307,1,4
1,37,telephone,fri,1,unknown,failure,illiterate,4898,unknown,housemaid,unknown,married,nov,307,1,4
0,37,telephone,(null),1,unknown,failure,professional.course,4906,unknown,management,unknown,single,sep,310,1,5
1,37,telephone,(null),1,unknown,failure,professional.course,4906,unknown,management,unknown,single,sep,310,1,5
0,37,telephone,(null),1,unknown,nonexistent,professional.course,4984,unknown,technician,unknown,single,nov,295,1,6
1,37,telephone,(null),1,unknown,nonexistent,professional.course,4984,unknown,technician,unknown,single,nov,295,1,6
0,37,telephone,(null),1,unknown,failure,professional.course,4906,unknown,technician,unknown,single,may,309,1,5
1,37,telephone,(null),1,unknown,failure,professional.course,4906,unknown,technician,unknown,single,may,309,1,5
0,38,telephone,fri,1,unknown,age,illiterate,4891,unknown,housemaid,unknown,married,apr,309,1,4
1,38,telephone,fri,1,unknown,age,illiterate,4891,unknown,housemaid,unknown,married,apr,309,1,4
0,36,cellular,tue,1,no,poutcome,basic.6y,4719,no,entrepreneur,no,divorced,aug,300,0,1
1,36,cellular,tue,1,no,poutcome,basic.6y,4719,no,entrepreneur,no,divorced,aug,300,0,1
0,34,telephone,thu,1,unknown,age,high.school,4766,unknown,retired,unknown,married,oct,305,1,3
1,34,telephone,thu,1,unknown,age,high.school,4766,unknown,retired,unknown,married,oct,305,1,3
0,36,telephone,fri,1,unknown,failure,illiterate,4797,unknown,services,unknown,married,oct,292,1,4
1,36,telephone,fri,1,unknown,failure,illiterate,4797,unknown,services,unknown,married,oct,292,1,4
0,36,cellular,wed,0,no,age,basic.9y,4750,no,management,no,married,mar,303,0,2
1,36,cellular,wed,0,no,age,basic.9y,4750,no,management,no,married,mar,303,0,2
0,34,telephone,(null),0,unknown,failure,professional.course,4828,unknown,technician,unknown,single,mar,310,1,5
1,34,telephone,(null),0,unknown,failure,professional.course,4828,unknown,technician,unknown,single,mar,310,1,5
0,34,telephone,fri,0,unknown,failure,illiterate,4742,unknown,technician,unknown,married,feb,307,1,4
1,34,telephone,fri,0,unknown,failure,illiterate,4742,unknown,technician,unknown,married,feb,307,1,4
0,34,telephone,(null),0,unknown,failure,professional.course,4750,unknown,management,unknown,single,may,310,1,5
1,34,telephone,(null),0,unknown,failure,professional.course,4750,unknown,management,unknown,single,may,310,1,5
0,37,telephone,(null),0,unknown,nonexistent,professional.course,4828,unknown,technician,unknown,single,may,295,1,6
1,37,telephone,(null),0,unknown,nonexistent,professional.course,4828,unknown,technician,unknown,single,may,295,1,6
0,37,telephone,(null),1,unknown,nonexistent,professional.course,4984,unknown,unemployed,unknown,single,nov,277,1,6
1,37,telephone,(null),1,unknown,nonexistent,professional.course,4984,unknown,unemployed,unknown,single,nov,277,1,6
0,37,telephone,(null),0,unknown,nonexistent,professional.course,4914,unknown,management,unknown,single,dec,279,1,6
1,37,telephone,(null),0,unknown,nonexistent,professional.course,4914,unknown,management,unknown,single,dec,279,1,6
0,38,telephone,fri,1,unknown,age,illiterate,4891,unknown,housemaid,unknown,married,nov,258,1,4
1,38,telephone,fri,1,unknown,age,illiterate,4891,unknown,housemaid,unknown,married,nov,258,1,4
0,37,telephone,thu,1,unknown,age,high.school,4766,unknown,retired,unknown,married,oct,273,1,3
1,37,telephone,thu,1,unknown,age,high.school,4766,unknown,retired,unknown,married,oct,273,1,3
0,37,telephone,fri,0,unknown,age,illiterate,4781,unknown,self-employed,unknown,married,oct,258,1,4
1,37,telephone,fri,0,unknown,age,illiterate,4781,unknown,self-employed,unknown,married,oct,258,1,4
0,37,telephone,(null),1,unknown,nonexistent,professional.course,4828,unknown,technician,unknown,single,may,277,1,6
1,37,telephone,(null),1,unknown,nonexistent,professional.course,4828,unknown,technician,unknown,single,may,277,1,6
0,29,telephone,fri,0,unknown,age,illiterate,4937,unknown,student,unknown,married,nov,306,1,4
1,29,telephone,fri,0,unknown,age,illiterate,4937,unknown,student,unknown,married,nov,306,1,4
0,30,telephone,(null),0,unknown,failure,professional.course,4968,unknown,technician,unknown,single,sep,309,1,5
1,30,telephone,(null),0,unknown,failure,professional.course,4968,unknown,technician,unknown,single,sep,309,1,5
0,31,telephone,(null),1,unknown,nonexistent,professional.course,4984,unknown,management,unknown,single,dec,311,1,6
1,31,telephone,(null),1,unknown,nonexistent,professional.course,4984,unknown,management,unknown,single,dec,311,1,6
0,31,telephone,(null),1,unknown,nonexistent,professional.course,4914,unknown,unemployed,unknown,single,dec,296,1,6
1,31,telephone,(null),1,unknown,nonexistent,professional.course,4914,unknown,unemployed,unknown,single,dec,296,1,6
0,31,telephone,thu,1,unknown,age,high.school,4766,unknown,retired,unknown,married,oct,305,1,3
1,31,telephone,thu,1,unknown,age,high.school,4766,unknown,retired,unknown,married,oct,305,1,3
0,31,telephone,fri,1,unknown,failure,illiterate,4820,unknown,technician,unknown,married,nov,294,1,4
1,31,telephone,fri,1,unknown,failure,illiterate,4820,unknown,technician,unknown,married,nov,294,1,4
0,31,telephone,thu,1,unknown,age,high.school,4727,unknown,student,unknown,married,nov,293,1,3
1,31,telephone,thu,1,unknown,age,high.school,4727,unknown,student,unknown,married,nov,293,1,3
