investment_as_income_percentage,people_liable_for,age,residence_since,savings,credit_amount,skill_level,purpose,installment_plans,sex,foreign_worker,decision,status,month,other_debtors,credit_history,telephone,property,employment,housing,number_of_credits
1,1,0,3,A63,16750,A173,A48,A143,A92,A202,0,A13,3,A103,A32,A192,A123,A73,A153,3
1,1,1,3,A63,16750,A173,A48,A143,A92,A202,0,A13,3,A103,A32,A192,A123,A73,A153,3
1,1,0,3,A63,17437,A174,A49,A143,A92,A202,0,A13,4,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,17437,A174,A49,A143,A92,A202,0,A13,4,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,16750,A173,A48,A143,A92,A202,0,A13,9,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,16750,A173,A48,A143,A92,A202,0,A13,9,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,16750,A173,A47,A143,A92,A202,0,A13,3,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,16750,A173,A47,A143,A92,A202,0,A13,3,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,16812,A174,A49,A143,A92,A202,0,A13,4,A103,A32,A192,A122,A72,A153,3
1,1,1,3,A63,16812,A174,A49,A143,A92,A202,0,A13,4,A103,A32,A192,A122,A72,A153,3
1,1,0,3,A63,16812,A174,A49,A142,A92,A202,0,A13,4,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,16812,A174,A49,A142,A92,A202,0,A13,4,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,15562,A174,A49,A143,A92,A202,0,A13,14,A103,A32,A192,A123,A73,A153,3
1,1,1,3,A63,15562,A174,A49,A143,A92,A202,0,A13,14,A103,A32,A192,A123,A73,A153,3
1,1,0,3,A63,16187,A174,A49,A143,A92,A202,0,A13,14,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,16187,A174,A49,A143,A92,A202,0,A13,14,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,15562,A174,A49,A143,A92,A202,0,A13,19,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,15562,A174,A49,A143,A92,A202,0,A13,19,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,15562,A174,A44,A143,A92,A202,0,A13,14,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,15562,A174,A44,A143,A92,A202,0,A13,14,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,15562,A174,A49,A143,A92,A202,0,A13,14,A103,A32,A192,A122,A72,A153,3
1,1,1,3,A63,15562,A174,A49,A143,A92,A202,0,A13,14,A103,A32,A192,A122,A72,A153,3
1,1,0,3,A63,15562,A174,A49,A142,A92,A202,0,A13,14,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,15562,A174,A49,A142,A92,A202,0,A13,14,A103,A32,A192,A122,A73,A153,3
3,1,0,3,A63,15562,A174,A49,A143,A92,A202,0,A13,4,A103,A32,A192,A123,A73,A153,3
3,1,1,3,A63,15562,A174,A49,A143,A92,A202,0,A13,4,A103,A32,A192,A123,A73,A153,3
3,1,0,3,A63,16187,A174,A48,A143,A92,A202,0,A13,4,A103,A32,A192,A122,A73,A153,3
3,1,1,3,A63,16187,A174,A48,A143,A92,A202,0,A13,4,A103,A32,A192,A122,A73,A153,3
3,1,0,3,A63,15562,A174,A48,A143,A92,A202,0,A13,8,A103,A32,A192,A122,A73,A153,3
3,1,1,3,A63,15562,A174,A48,A143,A92,A202,0,A13,8,A103,A32,A192,A122,A73,A153,3
3,1,0,3,A63,15562,A174,A48,A143,A92,A202,0,A13,4,A103,A32,A192,A122,A72,A153,3
3,1,1,3,A63,15562,A174,A48,A143,A92,A202,0,A13,4,A103,A32,A192,A122,A72,A153,3
3,1,0,3,A63,15562,A174,A48,A142,A92,A202,0,A13,4,A103,A32,A192,A122,A73,A153,3
3,1,1,3,A63,15562,A174,A48,A142,A92,A202,0,A13,4,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,16125,A173,A48,A143,A92,A202,0,A13,9,A103,A32,A192,A123,A73,A153,3
1,1,1,3,A63,16125,A173,A48,A143,A92,A202,0,A13,9,A103,A32,A192,A123,A73,A153,3
1,1,0,3,A63,16187,A174,A48,A143,A92,A202,0,A13,4,A103,A32,A192,A123,A73,A153,3
1,1,1,3,A63,16187,A174,A48,A143,A92,A202,0,A13,4,A103,A32,A192,A123,A73,A153,3
1,1,0,3,A63,16187,A174,A49,A143,A92,A202,0,A13,4,A103,A32,A192,A123,A72,A153,3
1,1,1,3,A63,16187,A174,A49,A143,A92,A202,0,A13,4,A103,A32,A192,A123,A72,A153,3
1,1,0,3,A63,16187,A174,A49,A142,A92,A202,0,A13,4,A103,A32,A192,A123,A73,A153,3
1,1,1,3,A63,16187,A174,A49,A142,A92,A202,0,A13,4,A103,A32,A192,A123,A73,A153,3
1,1,0,3,A63,15500,A173,A47,A143,A92,A202,0,A13,7,A103,A32,A192,A123,A73,A153,3
1,1,1,3,A63,15500,A173,A47,A143,A92,A202,0,A13,7,A103,A32,A192,A123,A73,A153,3
1,1,0,3,A63,15562,A174,A49,A143,A92,A202,0,A13,9,A103,A32,A192,A123,A72,A153,3
1,1,1,3,A63,15562,A174,A49,A143,A92,A202,0,A13,9,A103,A32,A192,A123,A72,A153,3
1,1,0,3,A63,15562,A174,A48,A143,A92,A202,0,A13,4,A103,A32,A192,A123,A72,A153,3
1,1,1,3,A63,15562,A174,A48,A143,A92,A202,0,A13,4,A103,A32,A192,A123,A72,A153,3
1,1,0,3,A63,15562,A174,A49,A142,A92,A202,0,A13,9,A103,A32,A192,A123,A73,A153,3
