age,capital-gain,capital-loss,decision,education,education-num,hours-per-week,marital-status,native-country,occupation,output,race,relationship,sex,workclass
97,27500,762,1,10th,3,97,Married-AF-spouse,Haiti,Transport-moving,0.6695144917156418,Other,Unmarried,Female,State-gov
97,27500,762,0,10th,3,97,Married-AF-spouse,Haiti,Transport-moving,0.4999562500001117,Other,Unmarried,Male,State-gov
98,27500,980,1,Doctorate,3,98,Married-AF-spouse,Columbia,Protective-serv,0.6272303058139739,Black,Unmarried,Female,State-gov
98,27500,980,0,Doctorate,3,98,Married-AF-spouse,Columbia,Protective-serv,0.45714341722920054,Black,Unmarried,Male,State-gov
98,27500,980,0,Doctorate,3,98,Separated,Columbia,Protective-serv,0.48168944206001935,Black,Unmarried,Female,State-gov
98,27500,980,1,Doctorate,3,98,Separated,Columbia,Protective-serv,0.5753225743262469,Black,Unmarried,Male,State-gov
98,27500,980,0,Doctorate,7,98,Married-AF-spouse,Vietnam,Protective-serv,0.4874456392885122,Black,Unmarried,Female,State-gov
98,27500,980,1,Doctorate,7,98,Married-AF-spouse,Vietnam,Protective-serv,0.5700612366389364,Black,Unmarried,Male,State-gov
97,27500,1851,0,10th,3,97,Married-AF-spouse,Japan,Transport-moving,0.4752557302612574,Other,Unmarried,Female,State-gov
97,27500,1851,1,10th,3,97,Married-AF-spouse,Japan,Transport-moving,0.5694275608990993,Other,Unmarried,Male,State-gov
98,27500,2069,0,Doctorate,3,98,Married-AF-spouse,Greece,Protective-serv,0.4348202733079228,Black,Unmarried,Female,State-gov
98,27500,2069,1,Doctorate,3,98,Married-AF-spouse,Greece,Protective-serv,0.5295776764421876,Black,Unmarried,Male,State-gov
95,27500,544,0,12th,5,95,Married-spouse-absent,Outlying-US(Guam-USVI-etc),Adm-clerical,0.49666254956724937,Amer-Indian-Eskimo,Unmarried,Female,Local-gov
95,27500,544,1,12th,5,95,Married-spouse-absent,Outlying-US(Guam-USVI-etc),Adm-clerical,0.5889382759215175,Amer-Indian-Eskimo,Unmarried,Male,Local-gov
96,27500,762,0,Masters,5,96,Married-spouse-absent,India,Farming-fishing,0.4724858226429843,Other,Unmarried,Female,Local-gov
96,27500,762,1,Masters,5,96,Married-spouse-absent,India,Farming-fishing,0.5668810274688127,Other,Unmarried,Male,Local-gov
97,27500,762,0,10th,6,97,Married-AF-spouse,Japan,Transport-moving,0.4484377080570068,Other,Unmarried,Female,State-gov
97,27500,762,1,10th,6,97,Married-AF-spouse,Japan,Transport-moving,0.5445557479145375,Other,Unmarried,Male,State-gov
98,27500,980,0,Doctorate,7,98,Married-AF-spouse,Greece,Protective-serv,0.42844483874676903,Black,Unmarried,Female,State-gov
98,27500,980,1,Doctorate,7,98,Married-AF-spouse,Greece,Protective-serv,0.5220499390621562,Black,Unmarried,Male,State-gov
97,27500,762,1,10th,3,85,Married-AF-spouse,Jamaica,Transport-moving,0.7077352472042019,Other,Unmarried,Female,State-gov
97,27500,762,0,10th,3,85,Married-AF-spouse,Jamaica,Transport-moving,0.4962905680573918,Other,Unmarried,Male,State-gov
98,27500,980,1,Doctorate,3,86,Married-AF-spouse,Vietnam,Protective-serv,0.6574938957934158,Black,Unmarried,Female,State-gov
98,27500,980,0,Doctorate,3,86,Married-AF-spouse,Vietnam,Protective-serv,0.45289064638738624,Black,Unmarried,Male,State-gov
98,27500,980,0,Doctorate,7,86,Married-AF-spouse,Greece,Protective-serv,0.4823678144452456,Black,Unmarried,Female,State-gov
98,27500,980,1,Doctorate,7,86,Married-AF-spouse,Greece,Protective-serv,0.5648555525044953,Black,Unmarried,Male,State-gov
97,27500,762,0,10th,3,97,Never-married,Jamaica,Transport-moving,0.47796652887261587,Other,Unmarried,Female,State-gov
97,27500,762,1,10th,3,97,Never-married,Jamaica,Transport-moving,0.5719146070642841,Other,Unmarried,Male,State-gov
98,27500,980,0,Doctorate,3,98,Separated,Vietnam,Protective-serv,0.4333880897442407,Black,Unmarried,Female,State-gov
98,27500,980,1,Doctorate,3,98,Separated,Vietnam,Protective-serv,0.5278897708682312,Black,Unmarried,Male,State-gov
96,27500,762,0,Masters,3,96,Never-married,India,Farming-fishing,0.47270939909003834,Other,Unmarried,Female,Local-gov
96,27500,762,1,Masters,3,96,Never-married,India,Farming-fishing,0.5670867674916075,Other,Unmarried,Male,Local-gov
97,27500,762,0,10th,3,97,Never-married,Japan,Transport-moving,0.4296353665333602,Other,Unmarried,Female,State-gov
97,27500,762,1,10th,3,97,Never-married,Japan,Transport-moving,0.5234585148770392,Other,Unmarried,Male,State-gov
