age,capital-gain,capital-loss,decision,education,education-num,hours-per-week,marital-status,occupation,race,relationship,sex,workclass
97,3,97,1,HS-grad,5,28,11th,Prof-specialty,(null),Not-in-family,Female,State-gov
97,3,97,0,HS-grad,5,28,11th,Prof-specialty,(null),Not-in-family,Male,State-gov
98,3,98,1,Prof-school,5,29,Prof-school,Prof-specialty,(null),Other-relative,Female,State-gov
98,3,98,0,Prof-school,5,29,Prof-school,Prof-specialty,(null),Other-relative,Male,State-gov
98,3,98,0,Prof-school,2,29,Prof-school,Prof-specialty,(null),Other-relative,Female,State-gov
98,3,98,1,Prof-school,2,29,Prof-school,Prof-specialty,(null),Other-relative,Male,State-gov
98,3,98,0,9th,5,19,Prof-school,Prof-specialty,(null),Other-relative,Female,State-gov
98,3,98,1,9th,5,19,Prof-school,Prof-specialty,(null),Other-relative,Male,State-gov
97,8,97,0,HS-grad,5,7,11th,Prof-specialty,(null),Not-in-family,Female,State-gov
97,8,97,1,HS-grad,5,7,11th,Prof-specialty,(null),Not-in-family,Male,State-gov
98,8,98,0,Prof-school,5,8,Prof-school,Prof-specialty,(null),Other-relative,Female,State-gov
98,8,98,1,Prof-school,5,8,Prof-school,Prof-specialty,(null),Other-relative,Male,State-gov
95,2,95,0,Assoc-acdm,5,5,Bachelors,Prof-specialty,(null),Husband,Female,Local-gov
95,2,95,1,Assoc-acdm,5,5,Bachelors,Prof-specialty,(null),Husband,Male,Local-gov
96,2,96,0,Assoc-voc,5,6,Some-college,Prof-specialty,(null),Not-in-family,Female,Local-gov
96,2,96,1,Assoc-voc,5,6,Some-college,Prof-specialty,(null),Not-in-family,Male,Local-gov
97,3,97,0,9th,5,7,11th,Prof-specialty,(null),Not-in-family,Female,State-gov
97,3,97,1,9th,5,7,11th,Prof-specialty,(null),Not-in-family,Male,State-gov
98,3,98,0,9th,5,8,Prof-school,Prof-specialty,(null),Other-relative,Female,State-gov
98,3,98,1,9th,5,8,Prof-school,Prof-specialty,(null),Other-relative,Male,State-gov
97,3,85,1,HS-grad,5,18,11th,Prof-specialty,(null),Not-in-family,Female,State-gov
97,3,85,0,HS-grad,5,18,11th,Prof-specialty,(null),Not-in-family,Male,State-gov
98,3,86,1,Prof-school,5,19,Prof-school,Prof-specialty,(null),Other-relative,Female,State-gov
98,3,86,0,Prof-school,5,19,Prof-school,Prof-specialty,(null),Other-relative,Male,State-gov
98,3,86,0,9th,5,8,Prof-school,Prof-specialty,(null),Other-relative,Female,State-gov
98,3,86,1,9th,5,8,Prof-school,Prof-specialty,(null),Other-relative,Male,State-gov
