age,capital-gain,capital-loss,decision,education,education-num,hours-per-week,marital-status,occupation,race,relationship,sex,workclass
97,3.0,19.0,1,11,5,28,1,9,0,1,0,5
97,3.0,19.0,1,11,5,28,1,9,0,1,1,5
98,3.0,19.0,1,15,5,29,8,9,0,2,0,5
98,3.0,19.0,1,15,5,29,8,9,0,2,1,5
98,3.0,19.0,1,15,2,29,8,9,0,2,0,5
98,3.0,19.0,1,15,2,29,8,9,0,2,1,5
98,3.0,19.0,1,6,5,19,8,9,0,2,0,5
98,3.0,19.0,1,6,5,19,8,9,0,2,1,5
97,8.0,19.0,1,11,5,7,1,9,0,1,0,5
97,8.0,19.0,1,11,5,7,1,9,0,1,1,5
98,8.0,19.0,1,15,5,8,8,9,0,2,0,5
98,8.0,19.0,1,15,5,8,8,9,0,2,1,5
95,2.0,19.0,1,7,5,5,2,9,0,0,0,1
95,2.0,19.0,1,7,5,5,2,9,0,0,1,1
96,2.0,19.0,1,8,5,6,10,9,0,1,0,1
96,2.0,19.0,1,8,5,6,10,9,0,1,1,1
97,3.0,19.0,1,6,5,7,1,9,0,1,0,5
97,3.0,19.0,1,6,5,7,1,9,0,1,1,5
98,3.0,19.0,1,6,5,8,8,9,0,2,0,5
98,3.0,19.0,1,6,5,8,8,9,0,2,1,5
97,3.0,17.0,1,11,5,18,1,9,0,1,0,5
97,3.0,17.0,1,11,5,18,1,9,0,1,1,5
98,3.0,17.0,1,15,5,19,8,9,0,2,0,5
98,3.0,17.0,1,15,5,19,8,9,0,2,1,5
98,3.0,17.0,1,6,5,8,8,9,0,2,0,5
98,3.0,17.0,1,6,5,8,8,9,0,2,1,5
97,3.0,19.0,1,11,2,18,1,9,0,1,0,5
97,3.0,19.0,1,11,2,18,1,9,0,1,1,5
98,3.0,19.0,1,15,2,19,8,9,0,2,0,5
98,3.0,19.0,1,15,2,19,8,9,0,2,1,5
96,2.0,19.0,1,11,2,6,10,9,0,1,0,1
96,2.0,19.0,1,11,2,6,10,9,0,1,1,1
97,3.0,19.0,1,11,2,7,1,9,0,1,0,5
97,3.0,19.0,1,11,2,7,1,9,0,1,1,5
98,3.0,17.0,1,15,2,19,8,9,0,2,0,5
98,3.0,17.0,1,15,2,19,8,9,0,2,1,5
97,3.0,17.0,1,11,2,7,1,9,0,1,0,5
97,3.0,17.0,1,11,2,7,1,9,0,1,1,5
98,3.0,17.0,1,15,2,8,8,9,0,2,0,5
98,3.0,17.0,1,15,2,8,8,9,0,2,1,5
87,3.0,19.0,1,15,5,19,8,9,0,2,0,5
87,3.0,19.0,1,15,5,19,8,9,0,2,1,5
84,2.0,19.0,1,11,5,5,0,9,0,0,0,0
84,2.0,19.0,1,11,5,5,0,9,0,0,1,0
84,2.0,19.0,1,11,5,5,2,9,0,0,0,1
84,2.0,19.0,1,11,5,5,2,9,0,0,1,1
87,3.0,17.0,1,15,5,8,8,9,0,2,0,5
87,3.0,17.0,1,15,5,8,8,9,0,2,1,5
87,3.0,19.0,1,15,2,19,8,9,0,2,0,5
87,3.0,19.0,1,15,2,19,8,9,0,2,1,5
86,3.0,19.0,1,11,2,7,1,9,0,1,0,5
86,3.0,19.0,1,11,2,7,1,9,0,1,1,5
87,3.0,19.0,1,15,2,8,8,9,0,2,0,5
87,3.0,19.0,1,15,2,8,8,9,0,2,1,5
87,3.0,17.0,1,15,2,8,8,9,0,2,0,5
87,3.0,17.0,1,15,2,8,8,9,0,2,1,5
97,3.0,14.0,1,11,5,7,1,9,0,1,0,5
97,3.0,14.0,1,11,5,7,1,9,0,1,1,5
98,3.0,14.0,1,15,5,8,8,9,0,2,0,5
98,3.0,14.0,1,15,5,8,8,9,0,2,1,5
98,3.0,14.0,1,15,2,8,8,9,0,2,0,5
98,3.0,14.0,1,15,2,8,8,9,0,2,1,5
99,14.0,19.0,1,3,5,28,1,9,3,1,0,5
99,14.0,19.0,1,3,5,28,1,9,3,1,1,5
99,14.0,19.0,1,0,5,29,8,9,3,2,0,5
99,14.0,19.0,1,0,5,29,8,9,3,2,1,5
90,11.0,18.0,1,16,4,21,5,9,3,5,0,2
