age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,output,prediction
70,Self-emp-inc,Doctorate,2,Widowed,Transport-moving,Own-child,Amer-Indian-Eskimo,Male,Black,capital-loss_9,2,Germany,0.5029754883463152,1
70,Self-emp-inc,Doctorate,2,Widowed,Transport-moving,Own-child,Amer-Indian-Eskimo,Female,Black,capital-loss_9,2,Germany,0.44521934448556605,0
40,Local-gov,Some-college,9,Widowed,Adm-clerical,Other-relative,Black,Male,Amer-Indian-Eskimo,capital-loss_17,52,Philippines,0.5180383683269766,1
40,Local-gov,Some-college,9,Widowed,Adm-clerical,Other-relative,Black,Female,Amer-Indian-Eskimo,capital-loss_17,52,Philippines,0.4991355546981178,0
98,Without-pay,Some-college,2,Divorced,Protective-serv,Wife,Black,Female,Asian-Pac-Islander,capital-loss_10,71,Vietnam,0.49055116623476597,0
98,Without-pay,Some-college,2,Divorced,Protective-serv,Wife,Black,Male,Asian-Pac-Islander,capital-loss_10,71,Vietnam,0.6269344924781068,1
100,Federal-gov,Assoc-voc,16,Divorced,Transport-moving,Not-in-family,White,Female,Asian-Pac-Islander,Black,11,Yugoslavia,0.3751229402382382,0
100,Federal-gov,Assoc-voc,16,Divorced,Transport-moving,Not-in-family,White,Male,Asian-Pac-Islander,Black,11,Yugoslavia,0.5457120232764108,1
100,Federal-gov,Some-college,1,Widowed,Protective-serv,Other-relative,Amer-Indian-Eskimo,Female,Black,capital-loss_10,80,Nicaragua,0.4987006812732835,0
100,Federal-gov,Some-college,1,Widowed,Protective-serv,Other-relative,Amer-Indian-Eskimo,Male,Black,capital-loss_10,80,Nicaragua,0.5184885567735452,1
91,Without-pay,11th,6,Widowed,Protective-serv,Other-relative,Asian-Pac-Islander,Male,Other,Asian-Pac-Islander,41,China,0.5143455223597071,1
91,Without-pay,11th,6,Widowed,Protective-serv,Other-relative,Asian-Pac-Islander,Female,Other,Asian-Pac-Islander,41,China,0.499151826718413,0
90,Local-gov,Bachelors,15,Divorced,Armed-Forces,Other-relative,Asian-Pac-Islander,Male,Asian-Pac-Islander,Amer-Indian-Eskimo,61,Peru,0.5135215922328981,1
90,Local-gov,Bachelors,15,Divorced,Armed-Forces,Other-relative,Asian-Pac-Islander,Female,Asian-Pac-Islander,Amer-Indian-Eskimo,61,Peru,0.4234834044158306,0
41,Self-emp-not-inc,Bachelors,8,Widowed,Protective-serv,Husband,Amer-Indian-Eskimo,Male,Asian-Pac-Islander,Amer-Indian-Eskimo,50,Philippines,0.500540256289993,1
41,Self-emp-not-inc,Bachelors,8,Widowed,Protective-serv,Husband,Amer-Indian-Eskimo,Female,Asian-Pac-Islander,Amer-Indian-Eskimo,50,Philippines,0.49508533809261207,0
80,Without-pay,Some-college,11,Widowed,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,Asian-Pac-Islander,capital-loss_10,45,Philippines,0.493250601209466,0
80,Without-pay,Some-college,11,Widowed,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,Asian-Pac-Islander,capital-loss_10,45,Philippines,0.5084470221530536,1
80,Local-gov,Some-college,16,Divorced,Armed-Forces,Husband,White,Female,Amer-Indian-Eskimo,Black,33,Nicaragua,0.35104259472928384,0
80,Local-gov,Some-college,16,Divorced,Armed-Forces,Husband,White,Male,Amer-Indian-Eskimo,Black,33,Nicaragua,0.5197899615201192,1
