age,capital-gain,capital-loss,decision,education,education-num,hours-per-week,marital-status,occupation,output,race,relationship,sex,workclass
97,3,97,1,HS-grad,5,28,11th,Prof-specialty,0.70599,(null),Not-in-family,Female,State-gov
97,3,97,0,HS-grad,5,28,11th,Prof-specialty,-0.000175,(null),Not-in-family,Male,State-gov
98,3,98,1,Prof-school,5,29,Prof-school,Prof-specialty,0.520353,(null),Other-relative,Female,State-gov
98,3,98,0,Prof-school,5,29,Prof-school,Prof-specialty,-0.171848,(null),Other-relative,Male,State-gov
98,3,98,0,Prof-school,2,29,Prof-school,Prof-specialty,-0.073275,(null),Other-relative,Female,State-gov
98,3,98,1,Prof-school,2,29,Prof-school,Prof-specialty,0.303601,(null),Other-relative,Male,State-gov
98,3,98,0,9th,5,19,Prof-school,Prof-specialty,-0.050228,(null),Other-relative,Female,State-gov
98,3,98,1,9th,5,19,Prof-school,Prof-specialty,0.282101,(null),Other-relative,Male,State-gov
97,8,97,0,HS-grad,5,7,11th,Prof-specialty,-0.099058,(null),Not-in-family,Female,State-gov
97,8,97,1,HS-grad,5,7,11th,Prof-specialty,0.279516,(null),Not-in-family,Male,State-gov
98,8,98,0,Prof-school,5,8,Prof-school,Prof-specialty,-0.262211,(null),Other-relative,Female,State-gov
98,8,98,1,Prof-school,5,8,Prof-school,Prof-specialty,0.118449,(null),Other-relative,Male,State-gov
95,2,95,0,Assoc-acdm,5,5,Bachelors,Prof-specialty,-0.01335,(null),Husband,Female,Local-gov
95,2,95,1,Assoc-acdm,5,5,Bachelors,Prof-specialty,0.359578,(null),Husband,Male,Local-gov
96,2,96,0,Assoc-voc,5,6,Some-college,Prof-specialty,-0.110168,(null),Not-in-family,Female,Local-gov
96,2,96,1,Assoc-voc,5,6,Some-college,Prof-specialty,0.269137,(null),Not-in-family,Male,Local-gov
97,3,97,0,9th,5,7,11th,Prof-specialty,-0.206985,(null),Not-in-family,Female,State-gov
97,3,97,1,9th,5,7,11th,Prof-specialty,0.178697,(null),Not-in-family,Male,State-gov
98,3,98,0,9th,5,8,Prof-school,Prof-specialty,-0.288199,(null),Other-relative,Female,State-gov
98,3,98,1,9th,5,8,Prof-school,Prof-specialty,0.088257,(null),Other-relative,Male,State-gov
97,3,85,1,HS-grad,5,18,11th,Prof-specialty,0.88441,(null),Not-in-family,Female,State-gov
97,3,85,0,HS-grad,5,18,11th,Prof-specialty,-0.014838,(null),Not-in-family,Male,State-gov
98,3,86,1,Prof-school,5,19,Prof-school,Prof-specialty,0.652146,(null),Other-relative,Female,State-gov
98,3,86,0,Prof-school,5,19,Prof-school,Prof-specialty,-0.188998,(null),Other-relative,Male,State-gov
98,3,86,0,9th,5,8,Prof-school,Prof-specialty,-0.070558,(null),Other-relative,Female,State-gov
98,3,86,1,9th,5,8,Prof-school,Prof-specialty,0.260892,(null),Other-relative,Male,State-gov
97,3,97,0,HS-grad,2,18,11th,Prof-specialty,-0.088191,(null),Not-in-family,Female,State-gov
97,3,97,1,HS-grad,2,18,11th,Prof-specialty,0.289667,(null),Not-in-family,Male,State-gov
98,3,98,0,Prof-school,2,19,Prof-school,Prof-specialty,-0.268041,(null),Other-relative,Female,State-gov
98,3,98,1,Prof-school,2,19,Prof-school,Prof-specialty,0.111675,(null),Other-relative,Male,State-gov
96,2,96,0,HS-grad,2,6,Some-college,Prof-specialty,-0.109271,(null),Not-in-family,Female,Local-gov
96,2,96,1,HS-grad,2,6,Some-college,Prof-specialty,0.269975,(null),Not-in-family,Male,Local-gov
97,3,97,0,HS-grad,2,7,11th,Prof-specialty,-0.283339,(null),Not-in-family,Female,State-gov
97,3,97,1,HS-grad,2,7,11th,Prof-specialty,0.093903,(null),Not-in-family,Male,State-gov
98,3,86,0,Prof-school,2,19,Prof-school,Prof-specialty,-0.093925,(null),Other-relative,Female,State-gov
98,3,86,1,Prof-school,2,19,Prof-school,Prof-specialty,0.28431,(null),Other-relative,Male,State-gov
97,3,85,0,HS-grad,2,7,11th,Prof-specialty,-0.111424,(null),Not-in-family,Female,State-gov
97,3,85,1,HS-grad,2,7,11th,Prof-specialty,0.267964,(null),Not-in-family,Male,State-gov
98,3,86,0,Prof-school,2,8,Prof-school,Prof-specialty,-0.286298,(null),Other-relative,Female,State-gov
98,3,86,1,Prof-school,2,8,Prof-school,Prof-specialty,0.090466,(null),Other-relative,Male,State-gov
87,3,98,1,Prof-school,5,19,Prof-school,Prof-specialty,2.931622,(null),Other-relative,Female,State-gov
87,3,98,0,Prof-school,5,19,Prof-school,Prof-specialty,-0.139411,(null),Other-relative,Male,State-gov
84,2,94,0,HS-grad,5,5,(null),Prof-specialty,-0.067839,(null),Husband,Female,Federal-gov
84,2,94,1,HS-grad,5,5,(null),Prof-specialty,0.280737,(null),Husband,Male,Federal-gov
84,2,95,0,HS-grad,5,5,Bachelors,Prof-specialty,-0.225402,(null),Husband,Female,Local-gov
84,2,95,1,HS-grad,5,5,Bachelors,Prof-specialty,0.11967,(null),Husband,Male,Local-gov
87,3,86,1,Prof-school,5,8,Prof-school,Prof-specialty,2.931622,(null),Other-relative,Female,State-gov
87,3,86,0,Prof-school,5,8,Prof-school,Prof-specialty,-0.15974,(null),Other-relative,Male,State-gov
87,3,98,0,Prof-school,2,19,Prof-school,Prof-specialty,-0.048169,(null),Other-relative,Female,State-gov
87,3,98,1,Prof-school,2,19,Prof-school,Prof-specialty,0.295522,(null),Other-relative,Male,State-gov
86,3,97,0,HS-grad,2,7,11th,Prof-specialty,-0.100947,(null),Not-in-family,Female,State-gov
86,3,97,1,HS-grad,2,7,11th,Prof-specialty,0.277751,(null),Not-in-family,Male,State-gov
87,3,98,0,Prof-school,2,8,Prof-school,Prof-specialty,-0.276647,(null),Other-relative,Female,State-gov
87,3,98,1,Prof-school,2,8,Prof-school,Prof-specialty,0.101677,(null),Other-relative,Male,State-gov
87,3,86,0,Prof-school,2,8,Prof-school,Prof-specialty,-0.068498,(null),Other-relative,Female,State-gov
87,3,86,1,Prof-school,2,8,Prof-school,Prof-specialty,0.274312,(null),Other-relative,Male,State-gov
97,3,72,1,HS-grad,5,7,11th,Prof-specialty,1.876763,(null),Not-in-family,Female,State-gov
97,3,72,0,HS-grad,5,7,11th,Prof-specialty,-0.020944,(null),Not-in-family,Male,State-gov
98,3,73,1,Prof-school,5,8,Prof-school,Prof-specialty,1.225298,(null),Other-relative,Female,State-gov
98,3,73,0,Prof-school,5,8,Prof-school,Prof-specialty,-0.189437,(null),Other-relative,Male,State-gov
98,3,73,0,Prof-school,2,8,Prof-school,Prof-specialty,-0.098195,(null),Other-relative,Female,State-gov
98,3,73,1,Prof-school,2,8,Prof-school,Prof-specialty,0.274514,(null),Other-relative,Male,State-gov
99,13,97,0,1st-4th,5,28,11th,Prof-specialty,-0.026529,Black,Not-in-family,Female,State-gov
99,13,97,1,1st-4th,5,28,11th,Prof-specialty,0.176522,Black,Not-in-family,Male,State-gov
99,13,98,0,10th,5,29,Prof-school,Prof-specialty,-0.034548,Black,Other-relative,Female,State-gov
99,13,98,1,10th,5,29,Prof-school,Prof-specialty,0.021895,Black,Other-relative,Male,State-gov
90,10,89,0,Some-college,4,21,Married-civ-spouse,Prof-specialty,-0.288467,Black,Wife,Female,Private
90,10,89,1,Some-college,4,21,Married-civ-spouse,Prof-specialty,0.087945,Black,Wife,Male,Private
90,10,90,0,11th,4,22,Divorced,Prof-specialty,-0.285505,Black,Wife,Female,Self-emp-not-inc
90,10,90,1,11th,4,22,Divorced,Prof-specialty,0.081363,Black,Wife,Male,Self-emp-not-inc
91,11,91,0,11th,4,24,Separated,Prof-specialty,-0.264435,Black,Own-child,Female,Self-emp-not-inc
91,11,91,1,11th,4,24,Separated,Prof-specialty,0.074776,Black,Own-child,Male,Self-emp-not-inc
92,12,92,0,HS-grad,4,26,Widowed,Prof-specialty,-0.243363,Black,Own-child,Female,Self-emp-inc
92,12,92,1,HS-grad,4,26,Widowed,Prof-specialty,0.068192,Black,Own-child,Male,Self-emp-inc
93,13,93,0,Prof-school,4,28,Married-spouse-absent,Prof-specialty,-0.12146,Black,Husband,Female,Self-emp-inc
93,13,93,1,Prof-school,4,28,Married-spouse-absent,Prof-specialty,0.061607,Black,Husband,Male,Self-emp-inc
97,11,79,1,11th,4,33,Widowed,Prof-specialty,2.951843,Black,Own-child,Female,Self-emp-inc
97,11,79,0,11th,4,33,Widowed,Prof-specialty,-0.055109,Black,Own-child,Male,Self-emp-inc
97,11,80,1,11th,4,34,Married-spouse-absent,Prof-specialty,2.946813,Black,Husband,Female,Self-emp-inc
97,11,80,0,11th,4,34,Married-spouse-absent,Prof-specialty,-0.196876,Black,Husband,Male,Self-emp-inc
98,12,82,1,HS-grad,5,35,(null),Prof-specialty,2.941784,Black,Husband,Female,Federal-gov
98,12,82,0,HS-grad,5,35,(null),Prof-specialty,-0.318959,Black,Husband,Male,Federal-gov
98,12,83,1,HS-grad,5,36,Bachelors,Prof-specialty,2.937683,Black,Husband,Female,Local-gov
98,12,83,0,HS-grad,5,36,Bachelors,Prof-specialty,-0.329267,Black,Husband,Male,Local-gov
98,12,84,1,HS-grad,5,37,Some-college,Prof-specialty,2.939324,Black,Not-in-family,Female,Local-gov
98,12,84,0,HS-grad,5,37,Some-college,Prof-specialty,-0.288817,Black,Not-in-family,Male,Local-gov
99,13,85,1,HS-grad,5,38,11th,Prof-specialty,2.940965,Black,Not-in-family,Female,State-gov
99,13,85,0,HS-grad,5,38,11th,Prof-specialty,-0.243808,Black,Not-in-family,Male,State-gov
99,13,86,1,Prof-school,5,39,Prof-school,Prof-specialty,2.942606,Black,Other-relative,Female,State-gov
99,13,86,0,Prof-school,5,39,Prof-school,Prof-specialty,-0.198798,Black,Other-relative,Male,State-gov
96,17,84,1,HS-grad,5,27,Some-college,Prof-specialty,2.987529,Black,Not-in-family,Female,Local-gov
96,17,84,0,HS-grad,5,27,Some-college,Prof-specialty,-0.114316,Black,Not-in-family,Male,Local-gov
97,18,85,1,HS-grad,5,28,11th,Prof-specialty,2.955941,Black,Not-in-family,Female,State-gov
97,18,85,0,HS-grad,5,28,11th,Prof-specialty,-0.28682,Black,Not-in-family,Male,State-gov
98,18,86,1,Prof-school,5,29,Prof-school,Prof-specialty,2.931622,Black,Other-relative,Female,State-gov
98,18,86,0,Prof-school,5,29,Prof-school,Prof-specialty,-0.362072,Black,Other-relative,Male,State-gov
93,11,80,1,Prof-school,4,24,Married-spouse-absent,Prof-specialty,1.989322,Black,Husband,Female,Self-emp-inc
93,11,80,0,Prof-school,4,24,Married-spouse-absent,Prof-specialty,-0.093092,Black,Husband,Male,Self-emp-inc
95,12,82,1,Assoc-acdm,5,25,(null),Prof-specialty,2.053665,Black,Husband,Female,Federal-gov
95,12,82,0,Assoc-acdm,5,25,(null),Prof-specialty,-0.187157,Black,Husband,Male,Federal-gov
95,12,83,1,Assoc-acdm,5,26,Bachelors,Prof-specialty,2.143762,Black,Husband,Female,Local-gov
95,12,83,0,Assoc-acdm,5,26,Bachelors,Prof-specialty,-0.262012,Black,Husband,Male,Local-gov
96,12,84,1,Assoc-voc,5,27,Some-college,Prof-specialty,2.276356,Black,Not-in-family,Female,Local-gov
96,12,84,0,Assoc-voc,5,27,Some-college,Prof-specialty,-0.336047,Black,Not-in-family,Male,Local-gov
97,13,85,1,9th,5,28,11th,Prof-specialty,2.406389,Black,Not-in-family,Female,State-gov
97,13,85,0,9th,5,28,11th,Prof-specialty,-0.410082,Black,Not-in-family,Male,State-gov
98,13,86,1,9th,5,29,Prof-school,Prof-specialty,2.513402,Black,Other-relative,Female,State-gov
98,13,86,0,9th,5,29,Prof-school,Prof-specialty,-0.484118,Black,Other-relative,Male,State-gov
96,17,96,0,HS-grad,2,37,Some-college,Prof-specialty,-0.028122,Black,Not-in-family,Female,Local-gov
96,17,96,1,HS-grad,2,37,Some-college,Prof-specialty,0.300015,Black,Not-in-family,Male,Local-gov
97,18,97,0,HS-grad,2,38,11th,Prof-specialty,-0.200128,Black,Not-in-family,Female,State-gov
97,18,97,1,HS-grad,2,38,11th,Prof-specialty,0.122024,Black,Not-in-family,Male,State-gov
95,12,94,0,Assoc-acdm,1,35,(null),Prof-specialty,-0.03077,Black,Husband,Female,Federal-gov
95,12,94,1,Assoc-acdm,1,35,(null),Prof-specialty,0.343306,Black,Husband,Male,Federal-gov
95,12,95,0,Assoc-acdm,1,36,Bachelors,Prof-specialty,-0.144246,Black,Husband,Female,Local-gov
95,12,95,1,Assoc-acdm,1,36,Bachelors,Prof-specialty,0.235938,Black,Husband,Male,Local-gov
96,12,96,0,Assoc-voc,2,37,Some-college,Prof-specialty,-0.239968,Black,Not-in-family,Female,Local-gov
96,12,96,1,Assoc-voc,2,37,Some-college,Prof-specialty,0.128572,Black,Not-in-family,Male,Local-gov
97,13,97,0,9th,2,38,11th,Prof-specialty,-0.3204,Black,Not-in-family,Female,State-gov
97,13,97,1,9th,2,38,11th,Prof-specialty,0.01937,Black,Not-in-family,Male,State-gov
97,17,97,0,9th,2,28,11th,Prof-specialty,-0.010823,Black,Not-in-family,Female,State-gov
97,17,97,1,9th,2,28,11th,Prof-specialty,0.361939,Black,Not-in-family,Male,State-gov
98,18,98,0,9th,2,29,Prof-school,Prof-specialty,-0.054482,Black,Other-relative,Female,State-gov
98,18,98,1,9th,2,29,Prof-school,Prof-specialty,0.321156,Black,Other-relative,Male,State-gov
95,12,83,1,HS-grad,1,36,Bachelors,Prof-specialty,0.022754,Black,Husband,Female,Local-gov
95,12,83,0,HS-grad,1,36,Bachelors,Prof-specialty,-0.015,Black,Husband,Male,Local-gov
96,17,84,0,HS-grad,2,27,Some-college,Prof-specialty,-0.040299,Black,Not-in-family,Female,Local-gov
96,17,84,1,HS-grad,2,27,Some-college,Prof-specialty,0.283578,Black,Not-in-family,Male,Local-gov
97,18,85,0,HS-grad,2,28,11th,Prof-specialty,-0.210792,Black,Not-in-family,Female,State-gov
97,18,85,1,HS-grad,2,28,11th,Prof-specialty,0.10416,Black,Not-in-family,Male,State-gov
95,12,82,0,Assoc-acdm,1,25,(null),Prof-specialty,-0.045312,Black,Husband,Female,Federal-gov
95,12,82,1,Assoc-acdm,1,25,(null),Prof-specialty,0.329722,Black,Husband,Male,Federal-gov
95,12,83,0,Assoc-acdm,1,26,Bachelors,Prof-specialty,-0.153936,Black,Husband,Female,Local-gov
95,12,83,1,Assoc-acdm,1,26,Bachelors,Prof-specialty,0.220928,Black,Husband,Male,Local-gov
96,12,84,0,Assoc-voc,2,27,Some-college,Prof-specialty,-0.248391,Black,Not-in-family,Female,Local-gov
96,12,84,1,Assoc-voc,2,27,Some-college,Prof-specialty,0.112134,Black,Not-in-family,Male,Local-gov
97,13,85,0,9th,2,28,11th,Prof-specialty,-0.331064,Black,Not-in-family,Female,State-gov
97,13,85,1,9th,2,28,11th,Prof-specialty,0.000247,Black,Not-in-family,Male,State-gov
82,11,93,1,Prof-school,4,24,Married-spouse-absent,Prof-specialty,2.948179,Black,Husband,Female,Self-emp-inc
82,11,93,0,Prof-school,4,24,Married-spouse-absent,Prof-specialty,-0.055936,Black,Husband,Male,Self-emp-inc
84,12,94,1,Assoc-acdm,5,25,(null),Prof-specialty,2.948579,Black,Husband,Female,Federal-gov
84,12,94,0,Assoc-acdm,5,25,(null),Prof-specialty,-0.147515,Black,Husband,Male,Federal-gov
84,12,95,1,Assoc-acdm,5,26,Bachelors,Prof-specialty,2.948979,Black,Husband,Female,Local-gov
84,12,95,0,Assoc-acdm,5,26,Bachelors,Prof-specialty,-0.219374,Black,Husband,Male,Local-gov
85,12,96,1,Assoc-voc,5,27,Some-college,Prof-specialty,2.949379,Black,Not-in-family,Female,Local-gov
85,12,96,0,Assoc-voc,5,27,Some-college,Prof-specialty,-0.291168,Black,Not-in-family,Male,Local-gov
86,13,97,1,9th,5,28,11th,Prof-specialty,2.949779,Black,Not-in-family,Female,State-gov
86,13,97,0,9th,5,28,11th,Prof-specialty,-0.299245,Black,Not-in-family,Male,State-gov
87,13,98,1,9th,5,29,Prof-school,Prof-specialty,2.950179,Black,Other-relative,Female,State-gov
87,13,98,0,9th,5,29,Prof-school,Prof-specialty,-0.286918,Black,Other-relative,Male,State-gov
85,12,96,1,HS-grad,2,37,Some-college,Prof-specialty,1.834166,Black,Not-in-family,Female,Local-gov
85,12,96,0,HS-grad,2,37,Some-college,Prof-specialty,-0.176835,Black,Not-in-family,Male,Local-gov
86,13,97,1,HS-grad,2,38,11th,Prof-specialty,1.775504,Black,Not-in-family,Female,State-gov
86,13,97,0,HS-grad,2,38,11th,Prof-specialty,-0.326699,Black,Not-in-family,Male,State-gov
87,13,98,1,Prof-school,2,39,Prof-school,Prof-specialty,1.740885,Black,Other-relative,Female,State-gov
87,13,98,0,Prof-school,2,39,Prof-school,Prof-specialty,-0.472665,Black,Other-relative,Male,State-gov
87,18,98,1,Prof-school,2,29,Prof-school,Prof-specialty,0.21318,Black,Other-relative,Female,State-gov
87,18,98,0,Prof-school,2,29,Prof-school,Prof-specialty,-0.071893,Black,Other-relative,Male,State-gov
84,12,94,0,Assoc-acdm,1,25,(null),Prof-specialty,-0.008214,Black,Husband,Female,Federal-gov
84,12,94,1,Assoc-acdm,1,25,(null),Prof-specialty,0.335227,Black,Husband,Male,Federal-gov
84,12,95,0,Assoc-acdm,1,26,Bachelors,Prof-specialty,-0.111809,Black,Husband,Female,Local-gov
84,12,95,1,Assoc-acdm,1,26,Bachelors,Prof-specialty,0.22786,Black,Husband,Male,Local-gov
85,12,96,0,Assoc-voc,2,27,Some-college,Prof-specialty,-0.203511,Black,Not-in-family,Female,Local-gov
85,12,96,1,Assoc-voc,2,27,Some-college,Prof-specialty,0.120493,Black,Not-in-family,Male,Local-gov
86,13,97,0,9th,2,28,11th,Prof-specialty,-0.283942,Black,Not-in-family,Female,State-gov
86,13,97,1,9th,2,28,11th,Prof-specialty,0.010723,Black,Not-in-family,Male,State-gov
84,12,83,1,HS-grad,1,26,Bachelors,Prof-specialty,2.399579,Black,Husband,Female,Local-gov
84,12,83,0,HS-grad,1,26,Bachelors,Prof-specialty,-0.002839,Black,Husband,Male,Local-gov
85,12,84,1,HS-grad,2,27,Some-college,Prof-specialty,2.122581,Black,Not-in-family,Female,Local-gov
85,12,84,0,HS-grad,2,27,Some-college,Prof-specialty,-0.189013,Black,Not-in-family,Male,Local-gov
86,13,85,1,HS-grad,2,28,11th,Prof-specialty,1.96764,Black,Not-in-family,Female,State-gov
86,13,85,0,HS-grad,2,28,11th,Prof-specialty,-0.337363,Black,Not-in-family,Male,State-gov
87,13,86,1,Prof-school,2,29,Prof-school,Prof-specialty,1.859526,Black,Other-relative,Female,State-gov
87,13,86,0,Prof-school,2,29,Prof-school,Prof-specialty,-0.48557,Black,Other-relative,Male,State-gov
91,15,91,0,5th-6th,4,32,Separated,Prof-specialty,-0.137455,Other,Own-child,Female,Self-emp-not-inc
91,15,91,1,5th-6th,4,32,Separated,Prof-specialty,0.189531,Other,Own-child,Male,Self-emp-not-inc
92,16,92,0,5th-6th,4,33,Widowed,Prof-specialty,-0.277141,Other,Own-child,Female,Self-emp-inc
92,16,92,1,5th-6th,4,33,Widowed,Prof-specialty,0.025087,Other,Own-child,Male,Self-emp-inc
90,15,89,0,Doctorate,4,21,Married-civ-spouse,Prof-specialty,-0.051891,Other,Wife,Female,Private
90,15,89,1,Doctorate,4,21,Married-civ-spouse,Prof-specialty,0.323576,Other,Wife,Male,Private
90,15,90,0,Doctorate,4,21,Divorced,Prof-specialty,-0.225936,Other,Wife,Female,Self-emp-not-inc
90,15,90,1,Doctorate,4,21,Divorced,Prof-specialty,0.160591,Other,Wife,Male,Self-emp-not-inc
97,17,85,1,Preschool,5,36,11th,Prof-specialty,0.712877,Other,Not-in-family,Female,State-gov
97,17,85,0,Preschool,5,36,11th,Prof-specialty,-0.80973,Other,Not-in-family,Male,State-gov
98,18,86,1,Preschool,5,38,Prof-school,Prof-specialty,2.00429,Other,Other-relative,Female,State-gov
98,18,86,0,Preschool,5,38,Prof-school,Prof-specialty,-0.730411,Other,Other-relative,Male,State-gov
90,15,90,0,Masters,0,31,Divorced,Prof-specialty,-0.074835,Other,Wife,Female,Self-emp-not-inc
90,15,90,1,Masters,0,31,Divorced,Prof-specialty,0.302143,Other,Wife,Male,Self-emp-not-inc
91,15,91,0,Masters,0,32,Separated,Prof-specialty,-0.189771,Other,Own-child,Female,Self-emp-not-inc
91,15,91,1,Masters,0,32,Separated,Prof-specialty,0.194777,Other,Own-child,Male,Self-emp-not-inc
92,16,92,0,1st-4th,0,33,Widowed,Prof-specialty,-0.288926,Other,Own-child,Female,Self-emp-inc
92,16,92,1,1st-4th,0,33,Widowed,Prof-specialty,0.087411,Other,Own-child,Male,Self-emp-inc
90,10,90,0,Doctorate,0,31,Divorced,Prof-specialty,-0.107156,Other,Wife,Female,Self-emp-not-inc
90,10,90,1,Doctorate,0,31,Divorced,Prof-specialty,0.271951,Other,Wife,Male,Self-emp-not-inc
91,10,91,0,5th-6th,0,32,Separated,Prof-specialty,-0.28329,Other,Own-child,Female,Self-emp-not-inc
91,10,91,1,5th-6th,0,32,Separated,Prof-specialty,0.093959,Other,Own-child,Male,Self-emp-not-inc
90,15,89,0,12th,0,21,Married-civ-spouse,Prof-specialty,-0.165356,Other,Wife,Female,Private
90,15,89,1,12th,0,21,Married-civ-spouse,Prof-specialty,0.217584,Other,Wife,Male,Private
90,15,90,0,Masters,0,21,Divorced,Prof-specialty,-0.269295,Other,Wife,Female,Self-emp-not-inc
90,15,90,1,Masters,0,21,Divorced,Prof-specialty,0.110218,Other,Wife,Male,Self-emp-not-inc
90,10,89,0,Doctorate,0,21,Married-civ-spouse,Prof-specialty,-0.122072,Other,Wife,Female,Private
90,10,89,1,Doctorate,0,21,Married-civ-spouse,Prof-specialty,0.258017,Other,Wife,Male,Private
90,10,90,0,Doctorate,0,21,Divorced,Prof-specialty,-0.295284,Other,Wife,Female,Self-emp-not-inc
90,10,90,1,Doctorate,0,21,Divorced,Prof-specialty,0.080026,Other,Wife,Male,Self-emp-not-inc
92,16,79,0,1st-4th,0,33,Widowed,Prof-specialty,-0.109461,Other,Own-child,Female,Self-emp-inc
92,16,79,1,1st-4th,0,33,Widowed,Prof-specialty,0.268606,Other,Own-child,Male,Self-emp-inc
93,16,80,0,10th,1,34,Married-spouse-absent,Prof-specialty,-0.214287,Other,Husband,Female,Self-emp-inc
93,16,80,1,10th,1,34,Married-spouse-absent,Prof-specialty,0.159813,Other,Husband,Male,Self-emp-inc
95,17,82,0,Doctorate,1,35,(null),Prof-specialty,-0.29696,Other,Husband,Female,Federal-gov
95,17,82,1,Doctorate,1,35,(null),Prof-specialty,0.05102,Other,Husband,Male,Federal-gov
91,10,78,0,5th-6th,0,32,Separated,Prof-specialty,-0.102199,Other,Own-child,Female,Self-emp-not-inc
91,10,78,1,5th-6th,0,32,Separated,Prof-specialty,0.27658,Other,Own-child,Male,Self-emp-not-inc
92,11,79,0,5th-6th,0,33,Widowed,Prof-specialty,-0.280533,Other,Own-child,Female,Self-emp-inc
92,11,79,1,5th-6th,0,33,Widowed,Prof-specialty,0.097162,Other,Own-child,Male,Self-emp-inc
90,15,77,0,Masters,0,21,Divorced,Prof-specialty,-0.083267,Other,Wife,Female,Self-emp-not-inc
90,15,77,1,Masters,0,21,Divorced,Prof-specialty,0.294266,Other,Wife,Male,Self-emp-not-inc
91,15,78,0,Masters,0,22,Separated,Prof-specialty,-0.199731,Other,Own-child,Female,Self-emp-not-inc
91,15,78,1,Masters,0,22,Separated,Prof-specialty,0.185473,Other,Own-child,Male,Self-emp-not-inc
92,16,79,0,1st-4th,0,23,Widowed,Prof-specialty,-0.298163,Other,Own-child,Female,Self-emp-inc
92,16,79,1,1st-4th,0,23,Widowed,Prof-specialty,0.076681,Other,Own-child,Male,Self-emp-inc
90,10,77,0,Doctorate,0,21,Divorced,Prof-specialty,-0.115587,Other,Wife,Female,Self-emp-not-inc
90,10,77,1,Doctorate,0,21,Divorced,Prof-specialty,0.264074,Other,Wife,Male,Self-emp-not-inc
91,10,78,0,5th-6th,0,22,Separated,Prof-specialty,-0.291299,Other,Own-child,Female,Self-emp-not-inc
91,10,78,1,5th-6th,0,22,Separated,Prof-specialty,0.084655,Other,Own-child,Male,Self-emp-not-inc
80,11,80,1,Masters,4,24,Separated,Prof-specialty,0.240433,Other,Own-child,Female,Self-emp-not-inc
80,11,80,0,Masters,4,24,Separated,Prof-specialty,-0.655933,Other,Own-child,Male,Self-emp-not-inc
81,12,83,1,1st-4th,4,26,Widowed,Prof-specialty,0.844506,Other,Own-child,Female,Self-emp-inc
81,12,83,0,1st-4th,4,26,Widowed,Prof-specialty,-0.663999,Other,Own-child,Male,Self-emp-inc
82,13,85,1,10th,4,28,Married-spouse-absent,Prof-specialty,1.626764,Other,Husband,Female,Self-emp-inc
82,13,85,0,10th,4,28,Married-spouse-absent,Prof-specialty,-0.672066,Other,Husband,Male,Self-emp-inc
84,14,88,1,Doctorate,5,30,(null),Prof-specialty,2.239776,Other,Husband,Female,Federal-gov
84,14,88,0,Doctorate,5,30,(null),Prof-specialty,-0.669602,Other,Husband,Male,Federal-gov
84,15,90,1,Doctorate,5,32,Bachelors,Prof-specialty,2.839686,Other,Husband,Female,Local-gov
