age,capital-gain,capital-loss,decision,education,education-num,hours-per-week,marital-status,occupation,output,race,relationship,sex,workclass
20,Amer-Indian-Eskimo,capital-loss_19,1,Assoc-acdm,2,90,Divorced,Farming-fishing,0.502770067722436,Amer-Indian-Eskimo,Unmarried,Male,Federal-gov
20,Amer-Indian-Eskimo,capital-loss_19,0,Assoc-acdm,2,90,Divorced,Farming-fishing,0.3750004725754068,Amer-Indian-Eskimo,Unmarried,Female,Federal-gov
59,Amer-Indian-Eskimo,capital-loss_9,1,Some-college,16,80,Widowed,Protective-serv,0.5080598465181012,White,Wife,Male,State-gov
59,Amer-Indian-Eskimo,capital-loss_9,0,Some-college,16,80,Widowed,Protective-serv,0.4970909387298778,White,Wife,Female,State-gov
30,Amer-Indian-Eskimo,Amer-Indian-Eskimo,1,Some-college,11,91,Divorced,Adm-clerical,0.5769249649407846,Amer-Indian-Eskimo,Husband,Male,Without-pay
30,Amer-Indian-Eskimo,Amer-Indian-Eskimo,0,Some-college,11,91,Divorced,Adm-clerical,0.4435921822607829,Amer-Indian-Eskimo,Husband,Female,Without-pay
100,capital-gain_19,Asian-Pac-Islander,1,10th,9,23,Never-married,Farming-fishing,0.5102325396083084,White,Not-in-family,Male,Without-pay
100,capital-gain_19,Asian-Pac-Islander,0,10th,9,23,Never-married,Farming-fishing,0.4897109194053878,White,Not-in-family,Female,Without-pay
30,capital-gain_19,capital-loss_9,1,Masters,16,33,Married-spouse-absent,Sales,0.5662295640291417,White,Unmarried,Female,Local-gov
30,capital-gain_19,capital-loss_9,0,Masters,16,33,Married-spouse-absent,Sales,0.4955581105095401,White,Unmarried,Male,Local-gov
62,capital-gain_18,capital-loss_9,1,5th-6th,10,52,Divorced,Armed-Forces,0.5201186634054918,Amer-Indian-Eskimo,Husband,Male,Without-pay
62,capital-gain_18,capital-loss_9,0,5th-6th,10,52,Divorced,Armed-Forces,0.4996035993929717,Amer-Indian-Eskimo,Husband,Female,Without-pay
78,Amer-Indian-Eskimo,capital-loss_6,0,Prof-school,4,72,Married-civ-spouse,Protective-serv,0.4911968269113167,White,Wife,Female,Self-emp-inc
78,Amer-Indian-Eskimo,capital-loss_6,1,Prof-school,4,72,Married-civ-spouse,Protective-serv,0.5617488615720142,White,Wife,Male,Self-emp-inc
80,capital-gain_9,capital-loss_19,0,10th,13,42,Divorced,Priv-house-serv,0.4857984544405957,White,Husband,Female,Without-pay
80,capital-gain_9,capital-loss_19,1,10th,13,42,Divorced,Priv-house-serv,0.5063198717180197,White,Husband,Male,Without-pay
89,Amer-Indian-Eskimo,capital-loss_19,0,Assoc-acdm,2,24,Married-spouse-absent,Priv-house-serv,0.4943798465329979,White,Not-in-family,Female,Federal-gov
89,Amer-Indian-Eskimo,capital-loss_19,1,Assoc-acdm,2,24,Married-spouse-absent,Priv-house-serv,0.5011516491074516,White,Not-in-family,Male,Federal-gov
69,Amer-Indian-Eskimo,Asian-Pac-Islander,0,Prof-school,16,89,Widowed,Protective-serv,0.4898272189578663,White,Not-in-family,Female,Federal-gov
69,Amer-Indian-Eskimo,Asian-Pac-Islander,1,Prof-school,16,89,Widowed,Protective-serv,0.5007959299517069,White,Not-in-family,Male,Federal-gov
25,Amer-Indian-Eskimo,Amer-Indian-Eskimo,1,10th,15,14,Married-AF-spouse,Other-service,0.5059505871628628,Black,Husband,Male,Without-pay
25,Amer-Indian-Eskimo,Amer-Indian-Eskimo,0,10th,15,14,Married-AF-spouse,Other-service,0.3745012535830925,Black,Husband,Female,Without-pay
60,capital-gain_10,capital-loss_18,0,Some-college,4,26,Married-AF-spouse,Prof-specialty,0.4846187798670502,Other,Husband,Male,Federal-gov
60,capital-gain_10,capital-loss_18,1,Some-college,4,26,Married-AF-spouse,Prof-specialty,0.5554489775506638,Other,Husband,Female,Federal-gov
90,Amer-Indian-Eskimo,capital-loss_15,0,Some-college,12,92,Widowed,Handlers-cleaners,0.498097041496779,Amer-Indian-Eskimo,Husband,Female,Without-pay
90,Amer-Indian-Eskimo,capital-loss_15,1,Some-college,12,92,Widowed,Handlers-cleaners,0.5090675842233346,Amer-Indian-Eskimo,Husband,Male,Without-pay
100,Black,Amer-Indian-Eskimo,0,10th,2,93,Separated,Protective-serv,0.4896594429091426,Amer-Indian-Eskimo,Not-in-family,Female,Without-pay
100,Black,Amer-Indian-Eskimo,1,10th,2,93,Separated,Protective-serv,0.5006290372867669,Amer-Indian-Eskimo,Not-in-family,Male,Without-pay
59,capital-gain_9,capital-loss_19,1,HS-grad,16,11,Separated,Transport-moving,0.5156965814413692,White,Husband,Male,Without-pay
59,capital-gain_9,capital-loss_19,0,HS-grad,16,11,Separated,Transport-moving,0.495176673548458,White,Husband,Female,Without-pay
