status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,sex,credit
1,6,2,4,1169,2,1,4,0,4,0,1.0,2,1,2,2,1,1,0,1,1
1,48,1,4,5951,1,0,2,0,2,0,0.0,2,1,1,2,1,0,0,0,0
2,12,2,7,2096,1,1,2,0,3,0,1.0,2,1,1,1,2,0,0,1,1
1,42,1,3,7882,1,1,2,2,4,1,1.0,2,2,1,2,2,0,0,1,1
1,24,0,0,4870,1,0,3,0,4,3,1.0,2,2,2,2,2,0,0,1,0
2,36,1,7,9055,2,0,2,0,4,3,1.0,2,2,1,1,2,1,0,1,1
2,24,1,3,2835,0,1,3,0,4,1,1.0,2,1,1,2,1,0,0,1,1
1,36,1,1,6948,1,0,2,0,2,2,1.0,2,0,1,3,1,1,0,1,1
2,12,1,4,3059,0,1,2,0,4,0,1.0,2,1,1,1,1,0,0,1,1
1,30,2,0,5234,1,2,4,0,2,2,1.0,2,1,2,3,1,0,0,1,0
1,12,1,0,1295,1,0,3,0,1,2,0.0,2,0,1,2,1,0,0,0,0
1,48,1,9,4308,1,0,3,0,4,1,0.0,2,0,1,2,1,0,0,0,0
1,12,1,4,1567,1,0,1,0,1,2,0.0,2,1,1,2,1,1,0,0,1
1,24,2,0,1199,1,1,4,0,4,2,1.0,2,1,2,1,1,0,0,1,0
1,15,1,0,1403,1,0,2,0,4,2,1.0,2,0,1,2,1,0,0,0,1
1,24,1,4,1282,1,0,4,0,2,2,1.0,2,1,1,1,1,0,0,0,0
2,24,2,4,2424,2,1,4,0,4,1,1.0,2,1,2,2,1,0,0,1,1
1,30,1,9,8072,2,0,2,0,3,2,0.0,0,1,3,2,1,0,0,1,1
1,24,1,1,12579,1,1,4,0,2,3,1.0,2,2,1,3,1,1,0,0,0
2,24,1,4,3430,0,1,3,0,2,2,1.0,2,1,1,2,2,1,0,1,1
2,9,2,0,2134,1,0,4,0,4,2,1.0,2,1,3,2,1,1,0,1,1
1,6,1,4,2647,0,0,2,0,3,0,1.0,2,0,1,2,2,0,0,1,1
1,10,2,0,2241,1,0,1,0,3,0,1.0,2,0,2,1,2,0,1,1,1
1,12,2,1,1804,1,0,3,0,4,1,1.0,2,1,1,2,1,0,0,1,1
2,10,2,3,2069,2,0,2,0,1,2,1.0,2,1,2,2,1,0,1,1,1
1,6,1,3,1374,1,0,1,0,2,0,1.0,0,1,1,1,1,1,0,1,1
2,6,1,4,426,1,1,4,0,4,2,1.0,2,1,1,1,1,0,0,1,1
0,12,1,4,409,0,0,3,0,3,0,1.0,2,0,2,2,1,0,0,0,1
1,7,1,4,2415,1,0,3,2,2,0,1.0,2,1,1,2,1,0,0,1,1
1,60,0,9,6836,1,1,3,0,4,3,1.0,2,1,2,2,1,1,0,1,0
1,18,1,9,1913,0,0,3,0,3,0,1.0,0,1,1,2,1,1,0,1,1
1,24,1,3,4020,1,0,2,0,2,2,1.0,1,1,1,2,1,0,0,1,1
1,18,1,0,5866,1,0,2,0,2,2,1.0,2,1,2,2,1,1,0,1,1
2,12,2,9,1264,2,1,4,0,4,3,1.0,2,0,1,1,1,0,0,1,1
0,12,1,3,1474,1,0,4,0,1,1,1.0,0,1,1,3,1,1,0,0,1
1,45,2,4,4746,1,0,4,0,2,1,0.0,2,1,2,1,1,0,0,1,0
2,48,2,7,6110,1,0,1,0,3,3,1.0,0,2,1,2,1,1,0,1,1
0,18,1,4,2100,1,0,4,1,2,0,1.0,1,1,1,2,1,0,0,1,0
0,10,1,5,1225,1,0,2,0,2,2,1.0,2,1,1,2,1,1,0,1,1
1,9,1,4,458,1,0,4,0,3,0,0.0,2,1,1,2,1,0,0,1,1
2,30,1,4,2333,0,1,4,0,2,2,1.0,0,1,1,3,1,0,0,1,1
1,12,1,4,1158,0,0,3,0,1,2,1.0,2,1,1,2,1,1,0,1,1
1,18,0,6,6204,1,0,2,0,4,0,1.0,2,1,1,1,2,1,0,1,1
1,30,2,1,6187,1,1,1,0,4,2,0.0,2,0,2,2,1,0,0,1,1
1,48,2,1,6143,1,1,4,0,4,3,1.0,1,2,2,1,1,0,0,0,0
2,11,2,0,1393,1,0,4,0,4,2,1.0,2,1,2,3,1,0,0,0,1
2,36,1,4,2299,0,1,4,0,4,2,1.0,2,1,1,2,1,0,0,1,1
1,6,1,1,1352,0,2,1,0,2,1,0.0,2,0,1,0,1,1,0,0,1
2,11,2,0,7228,1,0,1,0,4,1,1.0,2,1,2,1,1,0,0,1,1
2,12,1,4,2073,1,0,4,1,2,0,1.0,2,1,1,2,1,0,0,0,1
1,24,0,3,2333,2,0,4,0,2,1,1.0,0,1,1,1,1,0,0,1,1
1,27,0,1,5965,1,1,1,0,2,2,1.0,2,1,2,3,1,1,0,1,1
2,12,1,4,1262,1,0,3,0,2,2,0.0,2,1,1,2,1,0,0,1,1
2,18,1,1,3378,2,0,2,0,1,1,1.0,2,1,1,2,1,1,0,1,1
1,36,0,0,2225,1,1,4,0,4,3,1.0,0,2,2,2,1,1,0,1,0
2,6,1,0,783,2,0,1,2,2,0,1.0,1,1,1,1,2,0,0,1,1
1,12,1,4,6468,2,2,2,0,1,3,1.0,2,1,1,3,1,1,0,1,0
2,36,2,4,9566,1,0,2,0,2,2,1.0,1,1,2,2,1,0,0,0,1
0,18,1,0,1961,1,1,3,0,2,2,0.0,2,1,1,3,1,0,0,0,1
1,36,2,3,6229,1,0,4,1,4,3,0.0,2,0,2,1,1,1,0,0,0
1,9,1,9,1391,1,0,2,0,1,0,1.0,0,1,1,2,1,1,0,1,1
1,15,2,4,1537,2,1,4,2,4,0,1.0,2,1,2,2,1,1,0,1,1
1,36,1,9,1953,1,1,4,0,4,3,1.0,2,2,1,3,1,1,0,1,0
1,48,1,9,14421,1,0,2,0,2,2,0.0,2,1,1,2,1,1,0,1,0
2,24,1,4,3181,1,0,4,0,4,1,1.0,2,1,1,2,1,1,0,0,1
2,27,1,6,5190,2,1,4,0,4,1,1.0,2,1,4,2,2,1,0,1,1
2,12,1,4,2171,1,0,2,0,2,2,1.0,0,1,1,2,1,0,0,0,1
1,12,1,0,1007,0,0,4,0,1,0,0.0,2,1,1,2,1,0,0,1,1
2,36,1,7,1819,1,0,4,0,4,3,1.0,1,2,1,2,1,1,0,1,0
2,36,1,4,2394,2,0,4,0,4,2,0.0,2,1,1,2,1,0,0,0,1
2,36,1,1,8133,1,0,1,0,2,1,1.0,0,1,1,2,1,0,0,0,1
2,7,2,4,730,2,1,4,0,2,1,1.0,2,0,2,1,1,1,0,1,1
1,8,2,2,1164,1,1,3,0,4,3,1.0,0,2,2,3,2,1,0,1,1
1,42,2,9,5954,1,1,2,0,1,0,1.0,0,1,2,1,1,0,0,0,1
1,36,1,7,1977,2,1,4,0,4,3,1.0,2,1,1,3,1,1,0,1,0
1,12,2,1,1526,1,1,4,0,4,3,1.0,2,2,2,3,1,0,0,1,1
1,42,1,4,3965,1,0,4,0,3,2,1.0,2,1,1,2,1,0,0,1,0
1,11,0,4,4771,1,1,2,0,4,1,1.0,2,1,1,2,1,0,0,1,1
2,54,1,1,9436,2,0,2,0,2,1,1.0,2,1,1,1,2,0,0,1,1
1,30,1,3,3832,1,0,2,0,1,1,0.0,2,1,1,2,1,0,0,1,1
2,24,1,4,5943,2,0,1,0,1,2,1.0,2,1,2,2,1,1,0,0,0
2,15,1,4,1213,0,1,4,0,3,1,1.0,1,1,1,2,1,1,0,1,1
2,18,1,9,1568,1,0,3,0,4,1,0.0,2,0,1,1,1,0,0,0,1
1,24,1,2,1755,1,1,4,2,4,0,1.0,2,1,1,1,1,1,0,0,1
1,10,1,4,2315,1,1,3,0,4,0,1.0,2,1,1,1,1,0,0,1,1
2,12,2,9,1412,1,0,4,2,2,0,1.0,2,1,2,3,1,1,0,0,1
1,18,2,3,1295,1,0,4,0,1,1,1.0,2,1,2,2,1,0,0,0,1
1,36,1,7,12612,1,0,1,0,4,3,1.0,2,2,1,2,2,1,0,1,0
1,18,1,0,2249,1,1,4,0,3,2,1.0,2,1,1,3,2,1,0,1,1
1,12,1,6,1108,1,1,4,0,3,0,1.0,2,1,2,2,1,0,0,1,0
2,12,2,4,618,1,1,4,0,4,0,1.0,2,1,1,2,1,0,0,1,1
1,12,2,1,1409,1,1,4,0,3,0,1.0,2,1,1,2,1,0,0,1,1
