status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,sex,credit
0.0,0.0,0.0,0.0,8828.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2.0,6.0,2.0,9.0,17017.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0
1.0,24.0,2.0,0.0,3965.0,1.0,1.0,4.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0
1.0,36.0,2.0,1.0,11054.0,1.0,2.0,4.0,0.0,3.0,3.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0
0.0,6.0,1.0,4.0,1750.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,12.0,1.0,4.0,674.0,1.0,0.0,4.0,0.0,4.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0
2.0,36.0,2.0,0.0,7855.0,1.0,0.0,4.0,0.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0
2.0,24.0,1.0,9.0,1442.0,1.0,0.0,4.0,0.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
2.0,12.0,2.0,4.0,1884.0,1.0,0.0,4.0,0.0,4.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0
2.0,0.0,2.0,9.0,17500.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0
1.0,8.0,2.0,7.0,12204.0,2.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0
1.0,24.0,1.0,0.0,5511.0,1.0,1.0,4.0,0.0,3.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0
2.0,48.0,1.0,9.0,4844.0,1.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0
1.0,48.0,1.0,4.0,7763.0,0.0,1.0,2.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0
1.0,24.0,1.0,0.0,2359.0,1.0,0.0,4.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0
2.0,21.0,2.0,3.0,2221.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,19300.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,36.0,2.0,0.0,8400.0,2.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0
0.0,3.0,2.0,4.0,13099.0,2.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0
0.0,2.0,2.0,3.0,10250.0,1.0,2.0,4.0,2.0,4.0,2.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0
2.0,18.0,2.0,9.0,3104.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0
0.0,12.0,1.0,0.0,2386.0,1.0,0.0,4.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0
0.0,3.0,1.0,0.0,8299.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0
2.0,12.0,2.0,4.0,618.0,1.0,0.0,4.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0
0.0,1.0,0.0,0.0,1468.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0
1.0,12.0,1.0,0.0,1424.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0
1.0,6.0,0.0,9.0,6800.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0,3500.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,30.0,1.0,1.0,6148.0,1.0,1.0,4.0,0.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
1.0,12.0,1.0,8.0,1410.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0
0.0,5.0,0.0,2.0,12953.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0
1.0,10.0,1.0,9.0,1532.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
2.0,1.0,2.0,9.0,13299.0,2.0,1.0,1.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0
2.0,2.0,2.0,9.0,16900.0,0.0,2.0,1.0,2.0,4.0,0.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0
1.0,4.0,2.0,1.0,10999.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0
2.0,0.0,0.0,9.0,4452.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0
1.0,12.0,1.0,0.0,1201.0,1.0,0.0,4.0,0.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0
1.0,36.0,1.0,7.0,9572.0,1.0,0.0,4.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0
2.0,12.0,1.0,4.0,1318.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0
2.0,8.0,2.0,4.0,1501.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
2.0,24.0,2.0,4.0,1957.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0
1.0,12.0,1.0,0.0,6761.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0
1.0,48.0,1.0,0.0,589.0,1.0,0.0,4.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1.0,30.0,1.0,4.0,5954.0,1.0,1.0,3.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0
2.0,12.0,1.0,3.0,3186.0,2.0,1.0,2.0,0.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0
1.0,24.0,1.0,4.0,2333.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0
1.0,18.0,2.0,3.0,3343.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0
1.0,15.0,1.0,4.0,1271.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0
1.0,24.0,2.0,1.0,6313.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0
1.0,24.0,1.0,4.0,1289.0,1.0,0.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0
2.0,18.0,1.0,3.0,4153.0,1.0,1.0,1.0,0.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0
0.0,1.0,0.0,0.0,19500.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7100.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,48.0,1.0,4.0,3060.0,1.0,0.0,4.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0
1.0,12.0,1.0,4.0,1262.0,1.0,1.0,3.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0
1.0,72.0,2.0,0.0,9754.0,1.0,1.0,4.0,0.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0
1.0,6.0,1.0,9.0,806.0,1.0,0.0,4.0,2.0,4.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,2.0,9.0,13800.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,4.0,3.0,1.0,0.0,1.0,0.0,1.0
0.0,4.0,1.0,8.0,10300.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1.0,12.0,2.0,9.0,674.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0
1.0,12.0,1.0,3.0,3074.0,1.0,1.0,4.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0
1.0,0.0,2.0,0.0,8999.0,0.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0
0.0,2.0,0.0,0.0,14600.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
