status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,sex,credit
0,36,1,4,3913,1,0,2,0,2,0,0,2,1,1,2,1,1,0,1,1
1,26,1,1,7966,1,0,2,0,3,2,1,2,1,2,2,1,0,0,1,1
1,64,2,9,1797,2,0,1,2,1,0,1,2,1,1,3,1,1,1,1,1
2,78,2,9,6070,2,1,4,2,4,1,1,2,2,1,0,1,1,0,1,1
1,64,1,9,741,2,2,1,2,1,0,0,2,1,1,3,1,1,1,1,1
1,12,1,4,1331,1,0,2,0,1,2,0,1,1,1,2,1,1,0,1,0
1,72,1,4,5595,1,0,2,0,2,2,0,2,1,1,2,1,0,0,1,0
1,12,1,0,1007,0,0,4,0,1,0,0,2,1,1,2,1,0,0,1,1
1,64,0,9,1024,2,0,1,2,1,0,1,2,1,1,3,1,1,1,1,1
2,67,2,0,3275,2,1,1,2,1,0,1,2,0,4,3,2,1,1,1,1
1,0,2,0,3676,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
1,64,1,9,2212,2,1,1,2,1,0,1,2,1,1,3,1,1,1,1,1
1,76,1,1,4153,1,0,4,0,1,1,1,1,0,1,1,2,1,0,1,1
1,64,1,9,8487,2,1,1,2,1,0,0,2,1,1,3,1,1,1,1,1
1,26,1,1,7966,1,0,2,0,3,2,1,2,1,2,2,1,0,0,1,1
1,64,1,9,5293,2,2,1,2,1,0,1,2,1,1,3,1,1,1,1,1
1,68,1,2,8358,0,0,4,0,1,1,1,2,1,1,0,1,0,0,1,1
1,31,1,0,2812,0,1,1,1,1,0,1,1,1,4,3,2,1,0,1,1
1,72,1,4,5595,1,0,2,0,2,2,0,2,1,1,2,1,0,0,1,0
1,68,0,2,7057,0,1,4,0,1,1,1,2,1,1,0,1,0,0,1,1
1,31,1,0,3990,0,0,1,1,1,0,1,1,1,4,3,2,1,0,1,1
1,72,1,4,5595,1,0,2,0,2,2,0,2,1,1,2,1,0,0,1,0
1,26,1,1,7966,1,0,2,0,3,2,1,2,1,2,2,1,0,0,1,1
2,36,2,0,3535,1,1,4,0,4,2,1,2,1,2,2,1,1,0,1,1
2,68,0,2,960,0,1,4,0,1,1,1,2,1,1,0,1,0,0,1,1
1,48,1,1,4605,1,1,3,0,4,3,0,2,2,2,2,2,0,0,1,0
1,76,2,1,2825,1,1,4,0,1,1,1,1,0,1,1,2,1,0,1,1
1,6,1,4,590,1,0,3,0,3,0,1,2,1,1,1,1,0,1,1,1
1,78,2,9,10623,2,1,4,2,4,1,1,2,2,1,0,1,1,0,1,1
1,67,1,0,2577,2,0,1,2,1,0,1,2,0,4,3,2,1,1,1,1
1,31,1,0,1037,0,1,1,1,1,0,1,1,1,4,3,2,1,0,1,1
1,78,2,9,882,2,0,4,2,4,1,0,2,2,1,0,1,1,0,1,1
2,21,1,1,5248,2,0,1,0,3,2,1,2,1,1,2,1,1,0,1,1
1,12,1,4,1534,1,0,1,0,1,0,0,2,0,1,2,1,1,0,1,0
1,40,2,7,5998,1,0,4,0,3,3,1,0,1,1,2,1,1,0,1,0
1,67,1,0,3915,2,0,1,2,1,0,1,2,0,4,3,2,1,1,1,1
1,64,2,9,1928,2,0,1,2,1,0,1,2,1,1,3,1,1,1,1,1
1,72,1,4,5595,1,0,2,0,2,2,0,2,1,1,2,1,0,0,1,0
1,31,1,0,3979,0,1,1,1,1,0,1,1,1,4,3,2,1,0,1,1
1,64,2,9,1049,2,0,1,2,1,0,0,2,1,1,3,1,1,1,1,1
1,64,1,9,3441,2,0,1,2,1,0,0,2,1,1,3,1,1,1,1,1
1,72,1,4,5595,1,0,2,0,2,2,0,2,1,1,2,1,0,0,1,0
2,78,2,9,522,2,1,4,2,4,1,1,2,2,1,0,1,1,0,1,1
1,78,1,9,3021,2,0,4,2,4,1,0,2,2,1,0,1,1,0,1,1
2,24,1,1,7814,1,1,3,0,3,2,1,2,1,1,3,1,1,0,1,1
2,68,1,2,1493,0,0,4,0,1,1,1,2,1,1,0,1,0,0,1,1
1,72,1,4,5595,1,0,2,0,2,2,0,2,1,1,2,1,0,0,1,0
1,76,2,1,1288,1,1,4,0,1,1,1,1,0,1,1,2,1,0,1,1
1,40,2,7,5998,1,0,4,0,3,3,1,0,1,1,2,1,1,0,1,0
0,67,1,0,2687,2,1,1,2,1,0,1,2,0,4,3,2,1,1,1,1
1,26,1,1,7966,1,0,2,0,3,2,1,2,1,2,2,1,0,0,1,1
1,78,1,9,1198,2,1,4,2,4,1,1,2,2,1,0,1,1,0,1,1
2,67,2,0,5804,2,0,1,2,1,0,1,2,0,4,3,2,1,1,1,1
1,40,2,7,5998,1,0,4,0,3,3,1,0,1,1,2,1,1,0,1,0
1,40,2,7,5998,1,0,4,0,3,3,1,0,1,1,2,1,1,0,1,0
1,64,1,9,1924,2,0,1,2,1,0,1,2,1,1,3,1,1,1,1,1
1,31,1,0,6078,0,1,1,1,1,0,1,1,1,4,3,2,1,0,1,1
1,78,1,9,1437,2,1,4,2,4,1,1,2,2,1,0,1,1,0,1,1
1,68,1,2,3213,0,0,4,0,1,1,0,2,1,1,0,1,0,0,1,1
2,68,1,2,601,0,0,4,0,1,1,0,2,1,1,0,1,0,0,1,1
1,24,2,2,11938,1,0,2,1,3,2,1,2,1,2,3,2,1,0,1,0
1,26,1,1,7966,1,0,2,0,3,2,1,2,1,2,2,1,0,0,1,1
1,37,1,0,11328,2,0,4,1,4,2,1,0,0,4,0,1,1,0,0,1
1,76,1,1,1053,1,0,4,0,1,1,1,1,0,1,1,2,1,0,1,1
1,6,1,0,14896,1,1,1,0,4,3,1,0,1,1,3,1,1,0,1,0
2,76,1,1,1309,1,0,4,0,1,1,1,1,0,1,1,2,1,0,1,1
1,26,1,1,7966,1,0,2,0,3,2,1,2,1,2,2,1,0,0,1,1
1,40,2,7,5998,1,0,4,0,3,3,1,0,1,1,2,1,1,0,1,0
2,5,1,9,3448,1,1,1,0,4,0,1,2,1,1,1,1,1,0,1,1
1,64,1,9,1158,2,0,1,2,1,0,1,2,1,1,3,1,1,1,1,1
1,26,1,1,7966,1,0,2,0,3,2,1,2,1,2,2,1,0,0,1,1
1,31,1,0,2483,0,0,1,1,1,0,0,1,1,4,3,2,1,0,1,1
2,30,2,4,4530,1,1,4,0,4,2,1,2,0,1,3,1,1,0,0,1
1,26,1,1,7966,1,0,2,0,3,2,1,2,1,2,2,1,0,0,1,1
2,68,2,2,618,0,1,4,0,1,1,1,2,1,1,0,1,0,0,1,1
1,64,1,9,652,2,1,1,2,1,0,0,2,1,1,3,1,1,1,1,1
1,76,1,1,5493,1,1,4,0,1,1,1,1,0,1,1,2,1,0,1,1
1,78,2,9,3612,2,1,4,2,4,1,1,2,2,1,0,1,1,0,1,1
1,18,1,9,1941,0,0,4,0,2,1,1,2,1,1,1,1,1,0,1,1
1,72,1,4,5595,1,0,2,0,2,2,0,2,1,1,2,1,0,0,1,0
1,2,1,7,11816,2,1,1,2,4,0,1,2,2,4,3,2,1,1,1,1
1,26,1,1,7966,1,0,2,0,3,2,1,2,1,2,2,1,0,0,1,1
