status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,sex,credit
1.0,24.0,1.0,4.0,3939.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,24.0,2.0,3.0,3021.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0
1.0,24.0,1.0,3.0,2155.0,2.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0
2.0,24.0,1.0,4.0,2748.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0
2.0,12.0,2.0,5.0,951.0,1.0,0.0,3.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0
2.0,12.0,2.0,4.0,1534.0,2.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0
1.0,12.0,2.0,3.0,1231.0,1.0,0.0,3.0,0.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,4.0,8653.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,4.0,0.0,2.0,1.0,1.0,1.0,1.0
2.0,24.0,2.0,0.0,6761.0,1.0,0.0,4.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0
2.0,6.0,1.0,0.0,1237.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0
0.0,0.0,2.0,9.0,14200.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0
1.0,10.0,1.0,4.0,1264.0,1.0,1.0,2.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0
2.0,18.0,1.0,4.0,1768.0,1.0,0.0,4.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0
1.0,36.0,2.0,4.0,930.0,1.0,1.0,4.0,0.0,3.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0
