status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,sex,credit
0.0,0.0,0.0,0.0,1468.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,6642.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,4.0,1.0,2.0,1.0,0.0,1.0,1.0
1.0,2.0,2.0,2.0,6642.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0
1.0,7.0,2.0,9.0,5399.0,0.0,2.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,1.0
0.0,18.0,0.0,0.0,14600.0,0.0,2.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,6.0,0.0,1.0,7100.0,0.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,0.0,2.0,9.0,996.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
2.0,0.0,0.0,3.0,1345.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,2.0,1.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0
1.0,80.0,2.0,9.0,13000.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0
2.0,0.0,2.0,9.0,6300.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,3.0,2.0,7.0,13953.0,1.0,2.0,3.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0
2.0,9.0,2.0,7.0,14512.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
0.0,3.0,2.0,2.0,6213.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
