age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,output,prediction
70,Local-gov,Bachelors,2,Divorced,Handlers-cleaners,Not-in-family,White,Male,2499,4247,80,Vietnam,0.5288268369968642,1
70,Local-gov,Bachelors,2,Divorced,Handlers-cleaners,Not-in-family,White,Female,2499,4247,80,Vietnam,0.4949614323129212,0
99,Federal-gov,10th,11,Divorced,Transport-moving,Unmarried,Amer-Indian-Eskimo,Male,2499,4247,41,Greece,0.7290727132056,1
99,Federal-gov,10th,11,Divorced,Transport-moving,Unmarried,Amer-Indian-Eskimo,Female,2499,4247,41,Greece,0.48078101520101635,0
60,Federal-gov,Bachelors,11,Married-spouse-absent,Transport-moving,Not-in-family,Black,Male,2499,544,53,France,0.5466996881322346,1
60,Federal-gov,Bachelors,11,Married-spouse-absent,Transport-moving,Not-in-family,Black,Female,2499,544,53,France,0.457022645857577,0
99,Federal-gov,Doctorate,1,Widowed,Sales,Husband,Amer-Indian-Eskimo,Female,92499,108,91,Ireland,0.5412832273188374,1
99,Federal-gov,Doctorate,1,Widowed,Sales,Husband,Amer-Indian-Eskimo,Male,92499,108,91,Ireland,0.15168274378750166,0
90,Without-pay,Assoc-acdm,2,Divorced,Protective-serv,Wife,White,Male,2499,4029,25,Iran,0.5467713568891647,1
90,Without-pay,Assoc-acdm,2,Divorced,Protective-serv,Wife,White,Female,2499,4029,25,Iran,0.44649689182958613,0
99,Self-emp-not-inc,12th,10,Widowed,Transport-moving,Other-relative,White,Female,52499,1415,39,Hungary,0.14313412383817217,0
99,Self-emp-not-inc,12th,10,Widowed,Transport-moving,Other-relative,White,Male,52499,1415,39,Hungary,0.5285976999829883,1
40,State-gov,Some-college,11,Separated,Transport-moving,Wife,Asian-Pac-Islander,Female,52499,108,67,England,0.47755451575734803,0
40,State-gov,Some-college,11,Separated,Transport-moving,Wife,Asian-Pac-Islander,Male,52499,108,67,England,0.5790165421224365,1
100,Self-emp-inc,HS-grad,1,Widowed,Prof-specialty,Own-child,Other,Male,7499,2504,69,Hong,0.4997984767069266,0
