CE_ID,PA,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Output,Decision
1,0,33,Self-emp-not-inc,12th,1,Widowed,Adm-clerical,Not-in-family,Other,Female,62500,980,3,Scotland,2.160712,POSITIVE
1,1,33,Self-emp-not-inc,12th,1,Widowed,Adm-clerical,Not-in-family,Other,Male,62500,980,3,Scotland,-0.223823,NEGATIVE
2,0,34,Self-emp-inc,1st-4th,2,Married-spouse-absent,Other-service,Other-relative,Amer-Indian-Eskimo,Female,62500,1851,5,Peru,2.018877,POSITIVE
2,1,34,Self-emp-inc,1st-4th,2,Married-spouse-absent,Other-service,Other-relative,Amer-Indian-Eskimo,Male,62500,1851,5,Peru,-0.259707,NEGATIVE
3,0,34,Self-emp-not-inc,12th,1,Widowed,Adm-clerical,Not-in-family,Other,Female,52500,544,2,Nicaragua,0.337826,POSITIVE
3,1,34,Self-emp-not-inc,12th,1,Widowed,Adm-clerical,Not-in-family,Other,Male,52500,544,2,Nicaragua,-1.454715,NEGATIVE
4,0,39,Private,Bachelors,1,Widowed,Machine-op-inspct,Not-in-family,Other,Female,52500,108,1,Guatemala,1.630890,POSITIVE
4,1,39,Private,Bachelors,1,Widowed,Machine-op-inspct,Not-in-family,Other,Male,52500,108,1,Guatemala,-0.627308,NEGATIVE
5,0,34,Self-emp-inc,11th,1,Married-spouse-absent,Farming-fishing,Other-relative,Other,Female,52500,1415,4,Thailand,0.717394,POSITIVE
5,1,34,Self-emp-inc,11th,1,Married-spouse-absent,Farming-fishing,Other-relative,Other,Male,52500,1415,4,Thailand,-1.082158,NEGATIVE
6,0,34,Self-emp-not-inc,12th,1,Widowed,Craft-repair,Not-in-family,White,Female,52500,544,2,Nicaragua,2.534238,POSITIVE
6,1,34,Self-emp-not-inc,12th,1,Widowed,Craft-repair,Not-in-family,White,Male,52500,544,2,Nicaragua,-0.169852,NEGATIVE
7,0,36,Self-emp-inc,11th,1,Married-spouse-absent,Other-service,Other-relative,Asian-Pac-Islander,Female,52500,1415,4,Thailand,2.303369,POSITIVE
7,1,36,Self-emp-inc,11th,1,Married-spouse-absent,Other-service,Other-relative,Asian-Pac-Islander,Male,52500,1415,4,Thailand,-0.081167,NEGATIVE
8,0,29,Self-emp-inc,1st-4th,2,Married-spouse-absent,Farming-fishing,Other-relative,Other,Female,67500,1851,5,Peru,2.504579,POSITIVE
8,1,29,Self-emp-inc,1st-4th,2,Married-spouse-absent,Farming-fishing,Other-relative,Other,Male,67500,1851,5,Peru,-0.516588,NEGATIVE
9,0,24,Federal-gov,10th,2,Married-spouse-absent,Transport-moving,Other-relative,Black,Female,72500,2286,7,Peru,1.578897,POSITIVE
9,1,24,Federal-gov,10th,2,Married-spouse-absent,Transport-moving,Other-relative,Black,Male,72500,2286,7,Peru,-1.450005,NEGATIVE
10,0,30,State-gov,5th-6th,3,Married-AF-spouse,Prof-specialty,Unmarried,Black,Female,72500,3811,11,Holand-Netherlands,2.510679,POSITIVE
10,1,30,State-gov,5th-6th,3,Married-AF-spouse,Prof-specialty,Unmarried,Black,Male,72500,3811,11,Holand-Netherlands,-0.395013,NEGATIVE
11,0,19,State-gov,5th-6th,3,Married-AF-spouse,Protective-serv,Other-relative,Black,Female,72500,3811,11,Hong,0.924285,POSITIVE
11,1,19,State-gov,5th-6th,3,Married-AF-spouse,Protective-serv,Other-relative,Black,Male,72500,3811,11,Hong,-1.985441,NEGATIVE
12,0,19,State-gov,5th-6th,3,Married-AF-spouse,Prof-specialty,Other-relative,Black,Female,72500,3811,11,Hong,2.344940,POSITIVE
12,1,19,State-gov,5th-6th,3,Married-AF-spouse,Prof-specialty,Other-relative,Black,Male,72500,3811,11,Hong,-0.602010,NEGATIVE
13,0,25,Self-emp-inc,1st-4th,2,Married-spouse-absent,Farming-fishing,Other-relative,Amer-Indian-Eskimo,Female,62500,1851,5,Yugoslavia,2.162520,POSITIVE
13,1,25,Self-emp-inc,1st-4th,2,Married-spouse-absent,Farming-fishing,Other-relative,Amer-Indian-Eskimo,Male,62500,1851,5,Yugoslavia,-0.367259,NEGATIVE
14,0,24,Local-gov,Prof-school,2,Married-spouse-absent,Priv-house-serv,Other-relative,Amer-Indian-Eskimo,Female,62500,2504,8,El-Salvador,1.037251,POSITIVE
14,1,24,Local-gov,Prof-school,2,Married-spouse-absent,Priv-house-serv,Other-relative,Amer-Indian-Eskimo,Male,62500,2504,8,El-Salvador,-1.717191,NEGATIVE
15,0,27,Local-gov,10th,2,Married-spouse-absent,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,62500,2504,8,El-Salvador,2.893510,POSITIVE
15,1,27,Local-gov,10th,2,Married-spouse-absent,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,62500,2504,8,El-Salvador,-0.005172,NEGATIVE
16,0,29,State-gov,Assoc-voc,3,Married-AF-spouse,Prof-specialty,Other-relative,Other,Female,62500,3375,10,Peru,0.823493,POSITIVE
16,1,29,State-gov,Assoc-voc,3,Married-AF-spouse,Prof-specialty,Other-relative,Other,Male,62500,3375,10,Peru,-1.445566,NEGATIVE
17,0,25,State-gov,5th-6th,3,Never-married,Prof-specialty,Unmarried,Other,Female,62500,3375,10,Peru,2.664706,POSITIVE
17,1,25,State-gov,5th-6th,3,Never-married,Prof-specialty,Unmarried,Other,Male,62500,3375,10,Peru,-0.132875,NEGATIVE
18,0,22,Private,7th-8th,1,Widowed,Machine-op-inspct,Not-in-family,Other,Female,52500,108,14,Guatemala,1.600746,POSITIVE
18,1,22,Private,7th-8th,1,Widowed,Machine-op-inspct,Not-in-family,Other,Male,52500,108,14,Guatemala,-0.664459,NEGATIVE
19,0,22,Private,7th-8th,1,Widowed,Machine-op-inspct,Not-in-family,White,Female,52500,108,1,Guatemala,2.388417,POSITIVE
19,1,22,Private,7th-8th,1,Widowed,Machine-op-inspct,Not-in-family,White,Male,52500,108,1,Guatemala,-0.983925,NEGATIVE
20,0,22,Private,7th-8th,1,Widowed,Machine-op-inspct,Wife,Other,Female,52500,108,1,Guatemala,2.910162,POSITIVE
20,1,22,Private,7th-8th,1,Widowed,Machine-op-inspct,Wife,Other,Male,52500,108,1,Guatemala,-0.298616,NEGATIVE
21,0,23,Self-emp-not-inc,Some-college,1,Widowed,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,52500,980,3,Scotland,0.464737,POSITIVE
21,1,23,Self-emp-not-inc,Some-college,1,Widowed,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,52500,980,3,Scotland,-2.560462,NEGATIVE
22,0,22,Self-emp-not-inc,12th,1,Widowed,Craft-repair,Not-in-family,Other,Female,52500,544,15,Nicaragua,1.871770,POSITIVE
