age,campaign,contact,day_of_week,decision,default,duration,education,emp.var.rate,housing,job,loan,marital,month,pdays,poutcome,previous
0,45,cellular,mon,0,no,4923,basic.4y,-3,no,admin.,no,divorced,jul,274,failure,0
1,45,cellular,mon,0,no,4923,basic.4y,-3,no,admin.,no,divorced,jul,274,failure,0
0,45,cellular,tue,1,no,4930,basic.6y,-3,no,housemaid,no,divorced,jul,266,failure,0
1,45,cellular,tue,1,no,4930,basic.6y,-3,no,housemaid,no,divorced,jul,266,failure,0
0,45,cellular,wed,1,no,4946,basic.9y,-2,no,blue-collar,no,married,aug,268,nonexistent,2
1,45,cellular,wed,1,no,4946,basic.9y,-2,no,blue-collar,no,married,aug,268,nonexistent,2
0,45,cellular,mon,0,no,4923,basic.4y,-3,no,admin.,no,divorced,jan,274,failure,0
1,45,cellular,mon,0,no,4923,basic.4y,-3,no,admin.,no,divorced,jan,274,failure,0
0,45,cellular,tue,1,no,4930,basic.6y,-3,no,housemaid,no,divorced,jan,266,failure,0
1,45,cellular,tue,1,no,4930,basic.6y,-3,no,housemaid,no,divorced,jan,266,failure,0
0,45,cellular,wed,0,no,4946,basic.9y,-2,no,blue-collar,no,married,feb,268,nonexistent,2
1,45,cellular,wed,0,no,4946,basic.9y,-2,no,blue-collar,no,married,feb,268,nonexistent,2
0,45,cellular,tue,1,no,4875,basic.6y,-3,no,entrepreneur,no,divorced,aug,252,failure,1
1,45,cellular,tue,1,no,4875,basic.6y,-3,no,entrepreneur,no,divorced,aug,252,failure,1
0,45,cellular,tue,1,no,4860,basic.6y,-3,no,self-employed,no,divorced,jan,251,failure,0
1,45,cellular,tue,1,no,4860,basic.6y,-3,no,self-employed,no,divorced,jan,251,failure,0
0,45,cellular,tue,0,no,4875,basic.6y,-3,no,blue-collar,no,divorced,feb,252,failure,1
1,45,cellular,tue,0,no,4875,basic.6y,-3,no,blue-collar,no,divorced,feb,252,failure,1
0,39,cellular,tue,0,no,4938,basic.6y,-3,no,housemaid,no,divorced,jul,267,failure,1
1,39,cellular,tue,0,no,4938,basic.6y,-3,no,housemaid,no,divorced,jul,267,failure,1
0,39,cellular,tue,1,no,4938,basic.6y,-3,no,services,no,divorced,feb,267,failure,1
1,39,cellular,tue,1,no,4938,basic.6y,-3,no,services,no,divorced,feb,267,failure,1
0,39,cellular,tue,1,no,4852,basic.6y,-3,no,admin.,no,divorced,jan,274,failure,0
1,39,cellular,tue,1,no,4852,basic.6y,-3,no,admin.,no,divorced,jan,274,failure,0
0,39,cellular,wed,1,no,4953,basic.9y,-2,no,management,no,married,mar,268,nonexistent,2
1,39,cellular,wed,1,no,4953,basic.9y,-2,no,management,no,married,mar,268,nonexistent,2
0,40,telephone,fri,0,unknown,4969,illiterate,-1,unknown,blue-collar,unknown,married,apr,270,nonexistent,4
1,40,telephone,fri,0,unknown,4969,illiterate,-1,unknown,blue-collar,unknown,married,apr,270,nonexistent,4
0,41,telephone,fri,0,unknown,4891,illiterate,-1,unknown,blue-collar,unknown,married,feb,270,nonexistent,4
1,41,telephone,fri,0,unknown,4891,illiterate,-1,unknown,blue-collar,unknown,married,feb,270,nonexistent,4
0,39,cellular,mon,1,no,4767,basic.4y,-3,no,admin.,no,divorced,jul,266,failure,0
1,39,cellular,mon,1,no,4767,basic.4y,-3,no,admin.,no,divorced,jul,266,failure,0
0,39,cellular,tue,0,no,4704,basic.6y,-3,no,admin.,no,divorced,jan,266,failure,0
1,39,cellular,tue,0,no,4704,basic.6y,-3,no,admin.,no,divorced,jan,266,failure,0
0,43,telephone,fri,0,unknown,4969,illiterate,-1,unknown,student,unknown,married,oct,254,nonexistent,4
1,43,telephone,fri,0,unknown,4969,illiterate,-1,unknown,student,unknown,married,oct,254,nonexistent,4
0,41,telephone,fri,1,unknown,4969,illiterate,-1,unknown,housemaid,unknown,married,oct,262,nonexistent,4
1,41,telephone,fri,1,unknown,4969,illiterate,-1,unknown,housemaid,unknown,married,oct,262,nonexistent,4
0,42,telephone,fri,1,unknown,4953,illiterate,-1,unknown,services,unknown,married,apr,260,nonexistent,4
1,42,telephone,fri,1,unknown,4953,illiterate,-1,unknown,services,unknown,married,apr,260,nonexistent,4
0,39,cellular,tue,0,no,4704,basic.6y,-3,no,self-employed,no,divorced,jul,251,failure,0
1,39,cellular,tue,0,no,4704,basic.6y,-3,no,self-employed,no,divorced,jul,251,failure,0
0,40,cellular,wed,0,no,4790,basic.9y,-2,no,blue-collar,no,married,aug,260,nonexistent,2
1,40,cellular,wed,0,no,4790,basic.9y,-2,no,blue-collar,no,married,aug,260,nonexistent,2
0,39,cellular,tue,0,no,4704,basic.6y,-3,no,admin.,no,divorced,aug,259,failure,1
1,39,cellular,tue,0,no,4704,basic.6y,-3,no,admin.,no,divorced,aug,259,failure,1
0,41,telephone,fri,1,unknown,4781,illiterate,-1,unknown,housemaid,unknown,married,oct,254,nonexistent,4
1,41,telephone,fri,1,unknown,4781,illiterate,-1,unknown,housemaid,unknown,married,oct,254,nonexistent,4
0,39,cellular,tue,0,no,4782,basic.6y,-3,no,services,no,divorced,feb,259,failure,1
1,39,cellular,tue,0,no,4782,basic.6y,-3,no,services,no,divorced,feb,259,failure,1
0,41,telephone,fri,1,unknown,4813,illiterate,-1,unknown,student,unknown,married,apr,254,nonexistent,4
