job,marital,education,default,housing,loan,contact,month,day_of_week,emp.var.rate,duration,campaign,pdays,previous,poutcome,age,output,decision
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4767,26,219,0,failure,0,0.020295,POSITIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4767,26,219,0,failure,1,-0.113009,NEGATIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4923,33,212,0,failure,0,-0.110385,NEGATIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4923,33,212,0,failure,1,0.142687,POSITIVE
admin.,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4930,33,204,0,failure,0,-0.049099,NEGATIVE
admin.,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4930,33,204,0,failure,1,0.199153,POSITIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4875,26,213,1,failure,0,0.059815,POSITIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4875,26,213,1,failure,1,-0.072334,NEGATIVE
entrepreneur,married,basic.9y,no,no,no,cellular,mar,wed,-2,4906,30,214,2,nonexistent,0,0.037522,POSITIVE
entrepreneur,married,basic.9y,no,no,no,cellular,mar,wed,-2,4906,30,214,2,nonexistent,1,-0.094626,NEGATIVE
housemaid,married,illiterate,unknown,unknown,unknown,telephone,aug,fri,-1,4937,29,208,4,nonexistent,0,0.060160,POSITIVE
housemaid,married,illiterate,unknown,unknown,unknown,telephone,aug,fri,-1,4937,29,208,4,nonexistent,1,-0.071989,NEGATIVE
self-employed,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4767,30,208,0,failure,0,0.018315,POSITIVE
self-employed,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4767,30,208,0,failure,1,-0.113834,NEGATIVE
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4704,26,204,0,failure,0,0.020845,POSITIVE
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4704,26,204,0,failure,1,-0.111304,NEGATIVE
housemaid,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4774,30,204,0,failure,0,0.010479,POSITIVE
housemaid,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4774,30,204,0,failure,1,-0.121670,NEGATIVE
blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,-2,4790,30,206,2,nonexistent,0,0.006060,POSITIVE
blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,-2,4790,30,206,2,nonexistent,1,-0.089437,NEGATIVE
blue-collar,married,basic.9y,no,no,no,cellular,mar,wed,-2,4719,30,206,2,nonexistent,0,-0.019329,NEGATIVE
