CE_ID,PA,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Output,Decision
1,0,56,Local-gov,Bachelors,1,Married-AF-spouse,Tech-support,Wife,White,Female,17500,108,26,Guatemala,-0.077263,NEGATIVE
1,1,56,Local-gov,Bachelors,1,Married-AF-spouse,Tech-support,Wife,White,Male,17500,108,26,Guatemala,0.243940,POSITIVE
2,0,90,Private,Bachelors,1,Married-AF-spouse,Tech-support,Wife,White,Female,17500,108,8,Guatemala,-0.012320,NEGATIVE
2,1,90,Private,Bachelors,1,Married-AF-spouse,Tech-support,Wife,White,Male,17500,108,8,Guatemala,0.601670,POSITIVE
3,0,90,Private,Bachelors,1,Married-AF-spouse,Tech-support,Wife,White,Female,17500,108,1,Guatemala,-0.357510,NEGATIVE
3,1,90,Private,Bachelors,1,Married-AF-spouse,Tech-support,Wife,White,Male,17500,108,1,Guatemala,0.256480,POSITIVE
4,0,90,Self-emp-not-inc,Some-college,1,Married-AF-spouse,Craft-repair,Wife,White,Female,17500,108,1,Nicaragua,-0.167739,NEGATIVE
4,1,90,Self-emp-not-inc,Some-college,1,Married-AF-spouse,Craft-repair,Wife,White,Male,17500,108,1,Nicaragua,0.446252,POSITIVE
5,0,90,Private,Bachelors,1,Married-AF-spouse,Tech-support,Wife,White,Female,17500,108,1,Portugal,-0.155193,NEGATIVE
5,1,90,Private,Bachelors,1,Married-AF-spouse,Tech-support,Wife,White,Male,17500,108,1,Portugal,0.458798,POSITIVE
6,0,56,Local-gov,Bachelors,1,Married-AF-spouse,Tech-support,Wife,White,Female,17500,108,14,Guatemala,-0.149311,NEGATIVE
6,1,56,Local-gov,Bachelors,1,Married-AF-spouse,Tech-support,Wife,White,Male,17500,108,14,Guatemala,0.171892,POSITIVE
7,0,57,Local-gov,Some-college,1,Married-AF-spouse,Craft-repair,Wife,White,Female,17500,108,15,Nicaragua,-0.003089,NEGATIVE
7,1,57,Local-gov,Some-college,1,Married-AF-spouse,Craft-repair,Wife,White,Male,17500,108,15,Nicaragua,0.318114,POSITIVE
8,0,90,Private,Bachelors,1,Married-AF-spouse,Tech-support,Wife,White,Female,17500,1197,1,United-States,-0.026169,NEGATIVE
8,1,90,Private,Bachelors,1,Married-AF-spouse,Tech-support,Wife,White,Male,17500,1197,1,United-States,0.593259,POSITIVE
9,0,90,Private,Bachelors,1,Married-AF-spouse,Tech-support,Wife,White,Female,17500,108,1,China,-0.334522,NEGATIVE
9,1,90,Private,Bachelors,1,Married-AF-spouse,Tech-support,Wife,White,Male,17500,108,1,China,0.284906,POSITIVE
10,0,90,Self-emp-not-inc,Some-college,1,Married-AF-spouse,Craft-repair,Wife,White,Female,17500,108,1,Cuba,-0.122710,NEGATIVE
10,1,90,Self-emp-not-inc,Some-college,1,Married-AF-spouse,Craft-repair,Wife,White,Male,17500,108,1,Cuba,0.496718,POSITIVE
11,0,90,Self-emp-not-inc,Some-college,1,Married-AF-spouse,Craft-repair,Wife,White,Female,17500,108,1,Cambodia,-0.414495,NEGATIVE
11,1,90,Self-emp-not-inc,Some-college,1,Married-AF-spouse,Craft-repair,Wife,White,Male,17500,108,1,Cambodia,0.204933,POSITIVE
12,0,91,Self-emp-not-inc,HS-grad,1,Married-AF-spouse,Sales,Own-child,Asian-Pac-Islander,Female,17500,326,2,England,-0.200008,NEGATIVE
12,1,91,Self-emp-not-inc,HS-grad,1,Married-AF-spouse,Sales,Own-child,Asian-Pac-Islander,Male,17500,326,2,England,0.419420,POSITIVE
13,0,79,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Female,17500,3375,1,United-States,-0.618364,NEGATIVE
13,1,79,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Male,17500,3375,1,United-States,0.496260,POSITIVE
14,0,90,Private,Bachelors,13,Married-AF-spouse,Tech-support,Wife,White,Female,2500,3375,89,Portugal,-0.154245,NEGATIVE
