age,credit_amount,credit_history,decision,employment,foreign_worker,housing,installment_plans,investment_as_income_percentage,month,number_of_credits,other_debtors,people_liable_for,property,purpose,residence_since,savings,sex,skill_level,status,telephone
0,18750,A32,0,A73,A202,A152,A143,3,78,2,A102,1,A123,A47,2,A62,A92,A173,A13,A192
1,18750,A32,0,A73,A202,A152,A143,3,78,2,A102,1,A123,A47,2,A62,A92,A173,A13,A192
0,18250,A32,0,A73,A202,A152,A143,3,72,1,A102,1,A123,A46,1,A62,A91,A172,A13,A191
1,18250,A32,0,A73,A202,A152,A143,3,72,1,A102,1,A123,A46,1,A62,A91,A172,A13,A191
0,19250,A32,0,A73,A202,A152,A143,3,78,3,A102,1,A123,A43,3,A62,A92,A173,A13,A192
1,19250,A32,0,A73,A202,A152,A143,3,78,3,A102,1,A123,A43,3,A62,A92,A173,A13,A192
0,18750,A32,0,A73,A202,A152,A143,3,73,2,A102,1,A123,A42,2,A62,A92,A173,A13,A192
1,18750,A32,0,A73,A202,A152,A143,3,73,2,A102,1,A123,A42,2,A62,A92,A173,A13,A192
0,17750,A32,0,A73,A202,A151,A143,3,76,1,A101,1,A121,A45,1,A61,A91,A171,A13,A191
1,17750,A32,0,A73,A202,A151,A143,3,76,1,A101,1,A121,A45,1,A61,A91,A171,A13,A191
0,17501,A32,0,A73,A202,A151,A143,3,71,1,A101,1,A121,A45,1,A61,A91,A171,A13,A191
1,17501,A32,0,A73,A202,A151,A143,3,71,1,A101,1,A121,A45,1,A61,A91,A171,A13,A191
0,18500,A32,0,A73,A202,A152,A143,3,77,2,A102,1,A121,A42,2,A62,A91,A172,A13,A191
1,18500,A32,0,A73,A202,A152,A143,3,77,2,A102,1,A121,A42,2,A62,A91,A172,A13,A191
0,17750,A32,0,A73,A202,A151,A143,3,71,1,A101,1,A121,A40,1,A61,A91,A171,A13,A191
1,17750,A32,0,A73,A202,A151,A143,3,71,1,A101,1,A121,A40,1,A61,A91,A171,A13,A191
0,19500,A32,0,A72,A202,A153,A143,3,79,3,A103,1,A123,A48,3,A63,A92,A173,A13,A192
1,19500,A32,0,A72,A202,A153,A143,3,79,3,A103,1,A123,A48,3,A63,A92,A173,A13,A192
0,19000,A32,0,A72,A202,A152,A143,3,73,2,A102,1,A123,A47,2,A62,A92,A173,A13,A192
1,19000,A32,0,A72,A202,A152,A143,3,73,2,A102,1,A123,A47,2,A62,A92,A173,A13,A192
0,19750,A32,0,A72,A202,A153,A143,3,79,3,A103,1,A123,A44,3,A63,A92,A174,A13,A192
1,19750,A32,0,A72,A202,A153,A143,3,79,3,A103,1,A123,A44,3,A63,A92,A174,A13,A192
0,19500,A32,0,A72,A202,A153,A143,3,74,3,A103,1,A123,A43,3,A63,A92,A173,A13,A192
1,19500,A32,0,A72,A202,A153,A143,3,74,3,A103,1,A123,A43,3,A63,A92,A173,A13,A192
