age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,output,prediction
20,State-gov,12th,11,Divorced,Sales,Not-in-family,Amer-Indian-Eskimo,Male,Amer-Indian-Eskimo,capital-loss_10,35,Iran,0.5343875162316223,1
20,State-gov,12th,11,Divorced,Sales,Not-in-family,Amer-Indian-Eskimo,Female,Amer-Indian-Eskimo,capital-loss_10,35,Iran,0.4974574665830184,0
100,Local-gov,Preschool,13,Divorced,Protective-serv,Wife,White,Male,Amer-Indian-Eskimo,capital-loss_18,18,Peru,0.7694780977676896,1
100,Local-gov,Preschool,13,Divorced,Protective-serv,Wife,White,Female,Amer-Indian-Eskimo,capital-loss_18,18,Peru,0.4996206165088118,0
56,State-gov,10th,10,Widowed,Transport-moving,Wife,Black,Male,capital-gain_10,capital-loss_9,65,Vietnam,0.5379205933788985,1
56,State-gov,10th,10,Widowed,Transport-moving,Wife,Black,Female,capital-gain_10,capital-loss_9,65,Vietnam,0.14778973018399888,0
99,Federal-gov,HS-grad,5,Widowed,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Male,capital-gain_11,capital-loss_19,92,Dominican-Republic,0.8094327649521093,1
99,Federal-gov,HS-grad,5,Widowed,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Female,capital-gain_11,capital-loss_19,92,Dominican-Republic,0.3875344720985459,0
20,Federal-gov,Prof-school,10,Widowed,Prof-specialty,Other-relative,Amer-Indian-Eskimo,Male,Asian-Pac-Islander,capital-loss_11,11,Jamaica,0.5733125861477053,1
20,Federal-gov,Prof-school,10,Widowed,Prof-specialty,Other-relative,Amer-Indian-Eskimo,Female,Asian-Pac-Islander,capital-loss_11,11,Jamaica,0.4143711544469422,0
98,Self-emp-not-inc,11th,5,Divorced,Sales,Unmarried,White,Female,capital-gain_17,capital-loss_7,54,South,0.8596478148896819,1
98,Self-emp-not-inc,11th,5,Divorced,Sales,Unmarried,White,Male,capital-gain_17,capital-loss_7,54,South,0.47401013058005953,0
57,Federal-gov,Preschool,1,Divorced,Handlers-cleaners,Husband,White,Male,capital-gain_8,capital-loss_6,21,Canada,0.5872492826650487,1
57,Federal-gov,Preschool,1,Divorced,Handlers-cleaners,Husband,White,Female,capital-gain_8,capital-loss_6,21,Canada,0.4921041734977466,0
60,State-gov,Preschool,2,Divorced,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,Asian-Pac-Islander,capital-loss_17,43,Scotland,0.5158923361776747,1
60,State-gov,Preschool,2,Divorced,Protective-serv,Not-in-family,Asian-Pac-Islander,Female,Asian-Pac-Islander,capital-loss_17,43,Scotland,0.36038632232475015,0
50,Without-pay,Some-college,1,Married-civ-spouse,Protective-serv,Wife,Amer-Indian-Eskimo,Female,capital-gain_5,capital-loss_12,75,Ireland,0.48475559309599486,0
50,Without-pay,Some-college,1,Married-civ-spouse,Protective-serv,Wife,Amer-Indian-Eskimo,Male,capital-gain_5,capital-loss_12,75,Ireland,0.8544001982045504,1
88,Without-pay,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,capital-gain_8,White,21,Cambodia,0.8165711337523374,1
88,Without-pay,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Male,capital-gain_8,White,21,Cambodia,0.39563915800450256,0
100,Local-gov,Some-college,12,Separated,Prof-specialty,Wife,Amer-Indian-Eskimo,Male,capital-gain_11,Asian-Pac-Islander,16,Philippines,0.8673978273750125,1
100,Local-gov,Some-college,12,Separated,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,capital-gain_11,Asian-Pac-Islander,16,Philippines,0.4935324223276393,0
29,Without-pay,Preschool,12,Widowed,Adm-clerical,Wife,White,Male,capital-gain_10,capital-loss_10,80,France,0.6006178258323732,1
29,Without-pay,Preschool,12,Widowed,Adm-clerical,Wife,White,Female,capital-gain_10,capital-loss_10,80,France,0.4998649358782241,0
97,Private,10th,12,Widowed,Protective-serv,Own-child,White,Female,Amer-Indian-Eskimo,White,92,Peru,0.5011382083305319,1
97,Private,10th,12,Widowed,Protective-serv,Own-child,White,Male,Amer-Indian-Eskimo,White,92,Peru,0.4973647838454647,0
40,Without-pay,Some-college,10,Divorced,Adm-clerical,Wife,Other,Female,capital-gain_8,capital-loss_9,81,Yugoslavia,0.20722503902248088,0
40,Without-pay,Some-college,10,Divorced,Adm-clerical,Wife,Other,Male,capital-gain_8,capital-loss_9,81,Yugoslavia,0.6336436351811237,1
29,Private,7th-8th,9,Separated,Transport-moving,Own-child,Other,Male,capital-gain_10,capital-loss_9,92,Yugoslavia,0.6137635567387816,1
29,Private,7th-8th,9,Separated,Transport-moving,Own-child,Other,Female,capital-gain_10,capital-loss_9,92,Yugoslavia,0.19141401099931313,0
