age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,output,prediction
47,Federal-gov,5th-6th,13,Separated,Protective-serv,Own-child,Amer-Indian-Eskimo,Male,Amer-Indian-Eskimo,capital-loss_13,1,Yugoslavia,0.5005213728147551,1
47,Federal-gov,5th-6th,13,Separated,Protective-serv,Own-child,Amer-Indian-Eskimo,Female,Amer-Indian-Eskimo,capital-loss_13,1,Yugoslavia,0.4387747384840119,0
71,Private,Some-college,16,Never-married,Machine-op-inspct,Unmarried,White,Male,Amer-Indian-Eskimo,Other,2,England,0.5001119300704379,1
71,Private,Some-college,16,Never-married,Machine-op-inspct,Unmarried,White,Female,Amer-Indian-Eskimo,Other,2,England,0.43880863698994943,0
49,Federal-gov,Some-college,1,Widowed,Tech-support,Unmarried,Amer-Indian-Eskimo,Male,Black,capital-loss_10,57,Laos,0.5003858319649188,1
49,Federal-gov,Some-college,1,Widowed,Tech-support,Unmarried,Amer-Indian-Eskimo,Female,Black,capital-loss_10,57,Laos,0.43878596697975303,0
15,Self-emp-inc,Doctorate,1,Widowed,Handlers-cleaners,Wife,White,Female,capital-gain_6,capital-loss_13,95,Cambodia,0.4979881194035349,0
15,Self-emp-inc,Doctorate,1,Widowed,Handlers-cleaners,Wife,White,Male,capital-gain_6,capital-loss_13,95,Cambodia,0.529884710090208,1
67,State-gov,10th,3,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Male,Asian-Pac-Islander,capital-loss_6,38,Puerto-Rico,0.5002478211915214,1
67,State-gov,10th,3,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Female,Asian-Pac-Islander,capital-loss_6,38,Puerto-Rico,0.43879740836766695,0
37,Self-emp-not-inc,Bachelors,16,Separated,Adm-clerical,Husband,White,Female,Asian-Pac-Islander,Other,97,Mexico,0.43881105885787275,0
37,Self-emp-not-inc,Bachelors,16,Separated,Adm-clerical,Husband,White,Male,Asian-Pac-Islander,Other,97,Mexico,0.5000827498726442,1
16,State-gov,5th-6th,2,Widowed,Farming-fishing,Husband,Asian-Pac-Islander,Female,White,capital-loss_13,96,England,0.4842607875283345,0
16,State-gov,5th-6th,2,Widowed,Farming-fishing,Husband,Asian-Pac-Islander,Male,White,capital-loss_13,96,England,0.5161819586280633,1
100,State-gov,10th,3,Widowed,Transport-moving,Wife,Asian-Pac-Islander,Female,Asian-Pac-Islander,capital-loss_11,74,Poland,0.4387806609572865,0
100,State-gov,10th,3,Widowed,Transport-moving,Wife,Asian-Pac-Islander,Male,Asian-Pac-Islander,capital-loss_11,74,Poland,0.5004501825844696,1
13,Without-pay,Doctorate,1,Married-civ-spouse,Handlers-cleaners,Wife,White,Male,Asian-Pac-Islander,capital-loss_13,11,South,0.5985277967266902,1
13,Without-pay,Doctorate,1,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,Asian-Pac-Islander,capital-loss_13,11,South,0.4740031199556805,0
80,Private,Assoc-acdm,11,Separated,Adm-clerical,Husband,White,Male,Asian-Pac-Islander,Amer-Indian-Eskimo,55,Peru,0.6384671738904798,1
80,Private,Assoc-acdm,11,Separated,Adm-clerical,Husband,White,Female,Asian-Pac-Islander,Amer-Indian-Eskimo,55,Peru,0.4975233206057504,0
38,Self-emp-not-inc,Some-college,11,Widowed,Craft-repair,Wife,White,Male,Black,capital-loss_6,85,Mexico,0.500427462056444,1
38,Self-emp-not-inc,Some-college,11,Widowed,Craft-repair,Wife,White,Female,Black,capital-loss_6,85,Mexico,0.43878251769661286,0
40,Self-emp-not-inc,5th-6th,10,Widowed,Handlers-cleaners,Husband,White,Male,Asian-Pac-Islander,capital-loss_17,74,Laos,0.5975624352200751,1
40,Self-emp-not-inc,5th-6th,10,Widowed,Handlers-cleaners,Husband,White,Female,Asian-Pac-Islander,capital-loss_17,74,Laos,0.45870159945342637,0
100,State-gov,Doctorate,12,Separated,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,Amer-Indian-Eskimo,capital-loss_8,19,Ireland,0.5002446509702464,1
100,State-gov,Doctorate,12,Separated,Machine-op-inspct,Husband,Asian-Pac-Islander,Female,Amer-Indian-Eskimo,capital-loss_8,19,Ireland,0.43879765055297654,0
77,Private,Some-college,4,Widowed,Tech-support,Wife,Amer-Indian-Eskimo,Male,Black,Asian-Pac-Islander,84,Holand-Netherlands,0.5004924645917609,1
77,Private,Some-college,4,Widowed,Tech-support,Wife,Amer-Indian-Eskimo,Female,Black,Asian-Pac-Islander,84,Holand-Netherlands,0.4387771529722498,0
10,Local-gov,Doctorate,6,Divorced,Sales,Husband,White,Male,capital-gain_5,capital-loss_14,84,Hong,0.5282735228755231,1
10,Local-gov,Doctorate,6,Divorced,Sales,Husband,White,Female,capital-gain_5,capital-loss_14,84,Hong,0.4963715452644174,0
20,Self-emp-not-inc,Some-college,15,Widowed,Protective-serv,Wife,Other,Female,Black,capital-loss_5,70,Hungary,0.438779068419388,0
20,Self-emp-not-inc,Some-college,15,Widowed,Protective-serv,Wife,Other,Male,Black,capital-loss_5,70,Hungary,0.5004692299776622,1
11,State-gov,5th-6th,4,Separated,Craft-repair,Own-child,Asian-Pac-Islander,Female,Other,Amer-Indian-Eskimo,61,Dominican-Republic,0.43878264245781484,0
11,State-gov,5th-6th,4,Separated,Craft-repair,Own-child,Asian-Pac-Islander,Male,Other,Amer-Indian-Eskimo,61,Dominican-Republic,0.5004255807862122,1
100,State-gov,12th,14,Separated,Machine-op-inspct,Wife,Black,Male,Amer-Indian-Eskimo,capital-loss_6,15,Taiwan,0.5004435776500467,1
100,State-gov,12th,14,Separated,Machine-op-inspct,Wife,Black,Female,Amer-Indian-Eskimo,capital-loss_6,15,Taiwan,0.4387811820183474,0
27,Without-pay,Some-college,7,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Male,Asian-Pac-Islander,Amer-Indian-Eskimo,63,Yugoslavia,0.5008499651410534,1
27,Without-pay,Some-college,7,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Female,Asian-Pac-Islander,Amer-Indian-Eskimo,63,Yugoslavia,0.41603961144709894,0
13,Federal-gov,Prof-school,10,Separated,Transport-moving,Husband,Amer-Indian-Eskimo,Male,Asian-Pac-Islander,capital-loss_12,30,Honduras,0.5003447681119009,1
13,Federal-gov,Prof-school,10,Separated,Transport-moving,Husband,Amer-Indian-Eskimo,Female,Asian-Pac-Islander,capital-loss_12,30,Honduras,0.43878936489637466,0
19,Local-gov,7th-8th,16,Widowed,Other-service,Wife,Other,Female,Black,Black,14,Dominican-Republic,0.43878488082187084,0
19,Local-gov,7th-8th,16,Widowed,Other-service,Wife,Other,Male,Black,Black,14,Dominican-Republic,0.5003989412534047,1
54,Federal-gov,Some-college,15,Separated,Protective-serv,Husband,Amer-Indian-Eskimo,Male,Amer-Indian-Eskimo,capital-loss_10,13,Vietnam,0.5003272294530976,1
54,Federal-gov,Some-college,15,Separated,Protective-serv,Husband,Amer-Indian-Eskimo,Female,Amer-Indian-Eskimo,capital-loss_10,13,Vietnam,0.43879082534178354,0
64,Self-emp-inc,Assoc-voc,2,Divorced,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,Asian-Pac-Islander,capital-loss_12,81,South,0.49643514012949835,0
64,Self-emp-inc,Assoc-voc,2,Divorced,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,Asian-Pac-Islander,capital-loss_12,81,South,0.6203275044526875,1
20,Local-gov,11th,13,Separated,Farming-fishing,Wife,Black,Male,Amer-Indian-Eskimo,capital-loss_18,41,Holand-Netherlands,0.5000696815545816,1
20,Local-gov,11th,13,Separated,Farming-fishing,Wife,Black,Female,Amer-Indian-Eskimo,capital-loss_18,41,Holand-Netherlands,0.43881213035188404,0
27,Private,Some-college,11,Never-married,Sales,Wife,Black,Male,Amer-Indian-Eskimo,capital-loss_16,16,Dominican-Republic,0.5005730835074009,1
27,Private,Some-college,11,Never-married,Sales,Wife,Black,Female,Amer-Indian-Eskimo,capital-loss_16,16,Dominican-Republic,0.43877046726875785,0
15,Private,Prof-school,16,Never-married,Tech-support,Husband,Black,Male,Amer-Indian-Eskimo,capital-loss_13,15,Italy,0.5002730935540433,1
15,Private,Prof-school,16,Never-married,Tech-support,Husband,Black,Female,Amer-Indian-Eskimo,capital-loss_13,15,Italy,0.4387953020905981,0
43,State-gov,11th,11,Widowed,Transport-moving,Other-relative,Other,Female,Asian-Pac-Islander,capital-loss_15,69,Honduras,0.4387766465899779,0
43,State-gov,11th,11,Widowed,Transport-moving,Other-relative,Other,Male,Asian-Pac-Islander,capital-loss_15,69,Honduras,0.5004984734791117,1
37,Federal-gov,12th,9,Separated,Handlers-cleaners,Unmarried,Other,Female,Asian-Pac-Islander,capital-loss_9,31,Philippines,0.43879485441526833,0
37,Federal-gov,12th,9,Separated,Handlers-cleaners,Unmarried,Other,Male,Asian-Pac-Islander,capital-loss_9,31,Philippines,0.5002784430692845,1
70,Self-emp-not-inc,11th,6,Married-spouse-absent,Protective-serv,Husband,White,Male,Amer-Indian-Eskimo,capital-loss_5,84,Ireland,0.5982861946073167,1
70,Self-emp-not-inc,11th,6,Married-spouse-absent,Protective-serv,Husband,White,Female,Amer-Indian-Eskimo,capital-loss_5,84,Ireland,0.4588548632985434,0
86,Federal-gov,Preschool,10,Separated,Armed-Forces,Other-relative,Amer-Indian-Eskimo,Male,Amer-Indian-Eskimo,capital-loss_8,21,Peru,0.5001237466906077,1
86,Federal-gov,Preschool,10,Separated,Armed-Forces,Other-relative,Amer-Indian-Eskimo,Female,Amer-Indian-Eskimo,capital-loss_8,21,Peru,0.43880765356562484,0
58,Self-emp-inc,HS-grad,1,Widowed,Priv-house-serv,Not-in-family,White,Female,Other,capital-loss_5,17,Thailand,0.4594215551304385,0
58,Self-emp-inc,HS-grad,1,Widowed,Priv-house-serv,Not-in-family,White,Male,Other,capital-loss_5,17,Thailand,0.600958077406109,1
61,State-gov,5th-6th,1,Married-spouse-absent,Craft-repair,Own-child,Black,Male,Amer-Indian-Eskimo,capital-loss_15,57,Philippines,0.5899481397528655,1
61,State-gov,5th-6th,1,Married-spouse-absent,Craft-repair,Own-child,Black,Female,Amer-Indian-Eskimo,capital-loss_15,57,Philippines,0.464696809997525,0
30,Without-pay,Some-college,7,Divorced,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,Amer-Indian-Eskimo,capital-loss_14,33,Jamaica,0.499317262746037,0
30,Without-pay,Some-college,7,Divorced,Prof-specialty,Wife,Amer-Indian-Eskimo,Male,Amer-Indian-Eskimo,capital-loss_14,33,Jamaica,0.6230389464817516,1
74,State-gov,Bachelors,16,Separated,Armed-Forces,Wife,Other,Female,Amer-Indian-Eskimo,capital-loss_9,47,Poland,0.43880399141509147,0
74,State-gov,Bachelors,16,Separated,Armed-Forces,Wife,Other,Male,Amer-Indian-Eskimo,capital-loss_9,47,Poland,0.5001680664654854,1
90,Self-emp-not-inc,10th,12,Divorced,Transport-moving,Husband,Amer-Indian-Eskimo,Male,Amer-Indian-Eskimo,capital-loss_10,26,Philippines,0.5148207962692101,1
90,Self-emp-not-inc,10th,12,Divorced,Transport-moving,Husband,Amer-Indian-Eskimo,Female,Amer-Indian-Eskimo,capital-loss_10,26,Philippines,0.3903365239822802,0
89,Private,10th,2,Widowed,Priv-house-serv,Other-relative,White,Female,Black,Other,59,Hong,0.43879050976806266,0
89,Private,10th,2,Widowed,Priv-house-serv,Other-relative,White,Male,Black,Other,59,Hong,0.5003310702257309,1
64,Self-emp-not-inc,7th-8th,10,Widowed,Adm-clerical,Other-relative,White,Male,Black,Black,41,Germany,0.5002318881285829,1
64,Self-emp-not-inc,7th-8th,10,Widowed,Adm-clerical,Other-relative,White,Female,Black,Black,41,Germany,0.43879872203984743,0
76,State-gov,Some-college,1,Separated,Prof-specialty,Wife,White,Male,Black,capital-loss_5,52,Canada,0.5000091269612302,1
76,State-gov,Some-college,1,Separated,Prof-specialty,Wife,White,Female,Black,capital-loss_5,52,Canada,0.43881715023553464,0
55,Without-pay,10th,1,Separated,Tech-support,Wife,White,Male,Black,capital-loss_9,44,Dominican-Republic,0.5002615637838658,1
55,Without-pay,10th,1,Separated,Tech-support,Wife,White,Female,Black,capital-loss_9,44,Dominican-Republic,0.43879624881416457,0
15,Without-pay,11th,6,Divorced,Farming-fishing,Unmarried,Other,Female,capital-gain_7,capital-loss_18,62,Dominican-Republic,0.49767633337756156,0
15,Without-pay,11th,6,Divorced,Farming-fishing,Unmarried,Other,Male,capital-gain_7,capital-loss_18,62,Dominican-Republic,0.529573990796068,1
88,Self-emp-not-inc,Prof-school,15,Separated,Transport-moving,Unmarried,White,Female,Amer-Indian-Eskimo,capital-loss_6,93,Yugoslavia,0.43881598333163907,0
88,Self-emp-not-inc,Prof-school,15,Separated,Transport-moving,Unmarried,White,Male,Amer-Indian-Eskimo,capital-loss_6,93,Yugoslavia,0.5000231452286078,1
34,Without-pay,Doctorate,3,Widowed,Adm-clerical,Wife,Other,Female,Other,capital-loss_9,28,Yugoslavia,0.4387810719350134,0
34,Without-pay,Doctorate,3,Widowed,Adm-clerical,Wife,Other,Male,Other,capital-loss_9,28,Yugoslavia,0.5004447026868291,1
45,Without-pay,5th-6th,16,Never-married,Prof-specialty,Wife,Amer-Indian-Eskimo,Male,Amer-Indian-Eskimo,capital-loss_5,72,India,0.5003709345375481,1
45,Without-pay,5th-6th,16,Never-married,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,Amer-Indian-Eskimo,capital-loss_5,72,India,0.4387872072553493,0
12,Self-emp-not-inc,9th,16,Never-married,Other-service,Unmarried,Asian-Pac-Islander,Male,Asian-Pac-Islander,Black,29,Hungary,0.5005288196618484,1
12,Self-emp-not-inc,9th,16,Never-married,Other-service,Unmarried,Asian-Pac-Islander,Female,Asian-Pac-Islander,Black,29,Hungary,0.4387741293582578,0
56,Self-emp-not-inc,9th,10,Married-civ-spouse,Tech-support,Wife,White,Female,Amer-Indian-Eskimo,Amer-Indian-Eskimo,11,Dominican-Republic,0.4387959332395929,0
56,Self-emp-not-inc,9th,10,Married-civ-spouse,Tech-support,Wife,White,Male,Amer-Indian-Eskimo,Amer-Indian-Eskimo,11,Dominican-Republic,0.5002654157329647,1
