age,capital-gain,capital-loss,decision,education,education-num,hours-per-week,marital-status,native-country,occupation,race,relationship,sex,workclass
97,27500,762,1,10th,3,97,Married-AF-spouse,Haiti,Transport-moving,Other,Unmarried,Female,State-gov
97,27500,762,0,10th,3,97,Married-AF-spouse,Haiti,Transport-moving,Other,Unmarried,Male,State-gov
98,27500,980,1,Doctorate,3,98,Married-AF-spouse,Columbia,Protective-serv,Black,Unmarried,Female,State-gov
98,27500,980,0,Doctorate,3,98,Married-AF-spouse,Columbia,Protective-serv,Black,Unmarried,Male,State-gov
98,27500,980,0,Doctorate,3,98,Separated,Columbia,Protective-serv,Black,Unmarried,Female,State-gov
98,27500,980,1,Doctorate,3,98,Separated,Columbia,Protective-serv,Black,Unmarried,Male,State-gov
98,27500,980,0,Doctorate,7,98,Married-AF-spouse,Vietnam,Protective-serv,Black,Unmarried,Female,State-gov
98,27500,980,1,Doctorate,7,98,Married-AF-spouse,Vietnam,Protective-serv,Black,Unmarried,Male,State-gov
97,27500,1851,0,10th,3,97,Married-AF-spouse,Japan,Transport-moving,Other,Unmarried,Female,State-gov
97,27500,1851,1,10th,3,97,Married-AF-spouse,Japan,Transport-moving,Other,Unmarried,Male,State-gov
98,27500,2069,0,Doctorate,3,98,Married-AF-spouse,Greece,Protective-serv,Black,Unmarried,Female,State-gov
98,27500,2069,1,Doctorate,3,98,Married-AF-spouse,Greece,Protective-serv,Black,Unmarried,Male,State-gov
95,27500,544,0,12th,5,95,Married-spouse-absent,Outlying-US(Guam-USVI-etc),Adm-clerical,Amer-Indian-Eskimo,Unmarried,Female,Local-gov
95,27500,544,1,12th,5,95,Married-spouse-absent,Outlying-US(Guam-USVI-etc),Adm-clerical,Amer-Indian-Eskimo,Unmarried,Male,Local-gov
96,27500,762,0,Masters,5,96,Married-spouse-absent,India,Farming-fishing,Other,Unmarried,Female,Local-gov
96,27500,762,1,Masters,5,96,Married-spouse-absent,India,Farming-fishing,Other,Unmarried,Male,Local-gov
97,27500,762,0,10th,6,97,Married-AF-spouse,Japan,Transport-moving,Other,Unmarried,Female,State-gov
97,27500,762,1,10th,6,97,Married-AF-spouse,Japan,Transport-moving,Other,Unmarried,Male,State-gov
98,27500,980,0,Doctorate,7,98,Married-AF-spouse,Greece,Protective-serv,Black,Unmarried,Female,State-gov
98,27500,980,1,Doctorate,7,98,Married-AF-spouse,Greece,Protective-serv,Black,Unmarried,Male,State-gov
97,27500,762,1,10th,3,85,Married-AF-spouse,Jamaica,Transport-moving,Other,Unmarried,Female,State-gov
97,27500,762,0,10th,3,85,Married-AF-spouse,Jamaica,Transport-moving,Other,Unmarried,Male,State-gov
98,27500,980,1,Doctorate,3,86,Married-AF-spouse,Vietnam,Protective-serv,Black,Unmarried,Female,State-gov
98,27500,980,0,Doctorate,3,86,Married-AF-spouse,Vietnam,Protective-serv,Black,Unmarried,Male,State-gov
98,27500,980,0,Doctorate,7,86,Married-AF-spouse,Greece,Protective-serv,Black,Unmarried,Female,State-gov
98,27500,980,1,Doctorate,7,86,Married-AF-spouse,Greece,Protective-serv,Black,Unmarried,Male,State-gov
97,27500,762,0,10th,3,97,Never-married,Jamaica,Transport-moving,Other,Unmarried,Female,State-gov
97,27500,762,1,10th,3,97,Never-married,Jamaica,Transport-moving,Other,Unmarried,Male,State-gov
98,27500,980,0,Doctorate,3,98,Separated,Vietnam,Protective-serv,Black,Unmarried,Female,State-gov
98,27500,980,1,Doctorate,3,98,Separated,Vietnam,Protective-serv,Black,Unmarried,Male,State-gov
96,27500,762,0,Masters,3,96,Never-married,India,Farming-fishing,Other,Unmarried,Female,Local-gov
96,27500,762,1,Masters,3,96,Never-married,India,Farming-fishing,Other,Unmarried,Male,Local-gov
97,27500,762,0,10th,3,97,Never-married,Japan,Transport-moving,Other,Unmarried,Female,State-gov
97,27500,762,1,10th,3,97,Never-married,Japan,Transport-moving,Other,Unmarried,Male,State-gov
98,27500,980,0,Doctorate,3,86,Separated,Vietnam,Protective-serv,Black,Unmarried,Female,State-gov
98,27500,980,1,Doctorate,3,86,Separated,Vietnam,Protective-serv,Black,Unmarried,Male,State-gov
97,27500,762,0,10th,3,85,Never-married,Japan,Transport-moving,Other,Unmarried,Female,State-gov
97,27500,762,1,10th,3,85,Never-married,Japan,Transport-moving,Other,Unmarried,Male,State-gov
98,27500,980,0,Doctorate,3,86,Separated,Greece,Protective-serv,Black,Unmarried,Female,State-gov
98,27500,980,1,Doctorate,3,86,Separated,Greece,Protective-serv,Black,Unmarried,Male,State-gov
87,27500,980,1,Doctorate,3,98,Married-AF-spouse,Vietnam,Protective-serv,Black,Unmarried,Female,State-gov
87,27500,980,0,Doctorate,3,98,Married-AF-spouse,Vietnam,Protective-serv,Black,Unmarried,Male,State-gov
84,27500,544,0,7th-8th,2,94,Married-spouse-absent,Germany,Machine-op-inspct,Amer-Indian-Eskimo,Unmarried,Female,Federal-gov
84,27500,544,1,7th-8th,2,94,Married-spouse-absent,Germany,Machine-op-inspct,Amer-Indian-Eskimo,Unmarried,Male,Federal-gov
84,27500,544,0,12th,2,95,Married-spouse-absent,Outlying-US(Guam-USVI-etc),Adm-clerical,Amer-Indian-Eskimo,Unmarried,Female,Local-gov
84,27500,544,1,12th,2,95,Married-spouse-absent,Outlying-US(Guam-USVI-etc),Adm-clerical,Amer-Indian-Eskimo,Unmarried,Male,Local-gov
87,27500,980,1,Doctorate,3,86,Married-AF-spouse,Greece,Protective-serv,Black,Unmarried,Female,State-gov
87,27500,980,0,Doctorate,3,86,Married-AF-spouse,Greece,Protective-serv,Black,Unmarried,Male,State-gov
87,27500,980,0,Doctorate,3,98,Separated,Vietnam,Protective-serv,Black,Unmarried,Female,State-gov
87,27500,980,1,Doctorate,3,98,Separated,Vietnam,Protective-serv,Black,Unmarried,Male,State-gov
86,27500,762,0,10th,3,97,Never-married,Japan,Transport-moving,Other,Unmarried,Female,State-gov
86,27500,762,1,10th,3,97,Never-married,Japan,Transport-moving,Other,Unmarried,Male,State-gov
87,27500,980,0,Doctorate,3,98,Separated,Greece,Protective-serv,Black,Unmarried,Female,State-gov
87,27500,980,1,Doctorate,3,98,Separated,Greece,Protective-serv,Black,Unmarried,Male,State-gov
87,27500,980,0,Doctorate,3,86,Separated,Greece,Protective-serv,Black,Unmarried,Female,State-gov
87,27500,980,1,Doctorate,3,86,Separated,Greece,Protective-serv,Black,Unmarried,Male,State-gov
97,27500,762,1,10th,3,72,Married-AF-spouse,Japan,Transport-moving,Other,Unmarried,Female,State-gov
97,27500,762,0,10th,3,72,Married-AF-spouse,Japan,Transport-moving,Other,Unmarried,Male,State-gov
98,27500,980,1,Doctorate,3,73,Married-AF-spouse,Greece,Protective-serv,Black,Unmarried,Female,State-gov
98,27500,980,0,Doctorate,3,73,Married-AF-spouse,Greece,Protective-serv,Black,Unmarried,Male,State-gov
98,27500,980,0,Doctorate,3,73,Separated,Greece,Protective-serv,Black,Unmarried,Female,State-gov
98,27500,980,1,Doctorate,3,73,Separated,Greece,Protective-serv,Black,Unmarried,Male,State-gov
99,22500,2940,0,10th,11,97,Married-AF-spouse,Haiti,Transport-moving,Other,Unmarried,Female,State-gov
99,22500,2940,1,10th,11,97,Married-AF-spouse,Haiti,Transport-moving,Other,Unmarried,Male,State-gov
99,22500,3158,0,Doctorate,11,98,Married-AF-spouse,Columbia,Protective-serv,Black,Unmarried,Female,State-gov
