CE_ID,PA,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,sex,race,capital-gain,capital-loss,hours-per-week,Output,Decision
1,0,97,State-gov,11,HS-grad,5,11th,Prof-specialty,Not-in-family,Female,(null),3,97,28,0.705990,POSITIVE
1,1,97,State-gov,11,HS-grad,5,11th,Prof-specialty,Not-in-family,Male,(null),3,97,28,-0.000175,NEGATIVE
2,0,98,State-gov,13,Prof-school,5,Prof-school,Prof-specialty,Other-relative,Female,(null),3,98,29,0.520353,POSITIVE
2,1,98,State-gov,13,Prof-school,5,Prof-school,Prof-specialty,Other-relative,Male,(null),3,98,29,-0.171848,NEGATIVE
3,0,98,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Female,(null),3,98,29,-0.073275,NEGATIVE
3,1,98,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Male,(null),3,98,29,0.303601,POSITIVE
4,0,98,State-gov,13,9th,5,Prof-school,Prof-specialty,Other-relative,Female,(null),3,98,19,-0.050228,NEGATIVE
4,1,98,State-gov,13,9th,5,Prof-school,Prof-specialty,Other-relative,Male,(null),3,98,19,0.282101,POSITIVE
5,0,97,State-gov,11,HS-grad,5,11th,Prof-specialty,Not-in-family,Female,(null),8,97,7,-0.099058,NEGATIVE
5,1,97,State-gov,11,HS-grad,5,11th,Prof-specialty,Not-in-family,Male,(null),8,97,7,0.279516,POSITIVE
6,0,98,State-gov,13,Prof-school,5,Prof-school,Prof-specialty,Other-relative,Female,(null),8,98,8,-0.262211,NEGATIVE
6,1,98,State-gov,13,Prof-school,5,Prof-school,Prof-specialty,Other-relative,Male,(null),8,98,8,0.118449,POSITIVE
7,0,95,Local-gov,8,Assoc-acdm,5,Bachelors,Prof-specialty,Husband,Female,(null),2,95,5,-0.013350,NEGATIVE
7,1,95,Local-gov,8,Assoc-acdm,5,Bachelors,Prof-specialty,Husband,Male,(null),2,95,5,0.359578,POSITIVE
8,0,96,Local-gov,10,Assoc-voc,5,Some-college,Prof-specialty,Not-in-family,Female,(null),2,96,6,-0.110168,NEGATIVE
8,1,96,Local-gov,10,Assoc-voc,5,Some-college,Prof-specialty,Not-in-family,Male,(null),2,96,6,0.269137,POSITIVE
9,0,97,State-gov,11,9th,5,11th,Prof-specialty,Not-in-family,Female,(null),3,97,7,-0.206985,NEGATIVE
9,1,97,State-gov,11,9th,5,11th,Prof-specialty,Not-in-family,Male,(null),3,97,7,0.178697,POSITIVE
10,0,98,State-gov,13,9th,5,Prof-school,Prof-specialty,Other-relative,Female,(null),3,98,8,-0.288199,NEGATIVE
10,1,98,State-gov,13,9th,5,Prof-school,Prof-specialty,Other-relative,Male,(null),3,98,8,0.088257,POSITIVE
11,0,97,State-gov,11,HS-grad,5,11th,Prof-specialty,Not-in-family,Female,(null),3,85,18,0.884410,POSITIVE
11,1,97,State-gov,11,HS-grad,5,11th,Prof-specialty,Not-in-family,Male,(null),3,85,18,-0.014838,NEGATIVE
12,0,98,State-gov,13,Prof-school,5,Prof-school,Prof-specialty,Other-relative,Female,(null),3,86,19,0.652146,POSITIVE
12,1,98,State-gov,13,Prof-school,5,Prof-school,Prof-specialty,Other-relative,Male,(null),3,86,19,-0.188998,NEGATIVE
13,0,98,State-gov,13,9th,5,Prof-school,Prof-specialty,Other-relative,Female,(null),3,86,8,-0.070558,NEGATIVE
13,1,98,State-gov,13,9th,5,Prof-school,Prof-specialty,Other-relative,Male,(null),3,86,8,0.260892,POSITIVE
14,0,97,State-gov,11,HS-grad,2,11th,Prof-specialty,Not-in-family,Female,(null),3,97,18,-0.088191,NEGATIVE
14,1,97,State-gov,11,HS-grad,2,11th,Prof-specialty,Not-in-family,Male,(null),3,97,18,0.289667,POSITIVE
15,0,98,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Female,(null),3,98,19,-0.268041,NEGATIVE
15,1,98,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Male,(null),3,98,19,0.111675,POSITIVE
16,0,96,Local-gov,10,HS-grad,2,Some-college,Prof-specialty,Not-in-family,Female,(null),2,96,6,-0.109271,NEGATIVE
16,1,96,Local-gov,10,HS-grad,2,Some-college,Prof-specialty,Not-in-family,Male,(null),2,96,6,0.269975,POSITIVE
17,0,97,State-gov,11,HS-grad,2,11th,Prof-specialty,Not-in-family,Female,(null),3,97,7,-0.283339,NEGATIVE
17,1,97,State-gov,11,HS-grad,2,11th,Prof-specialty,Not-in-family,Male,(null),3,97,7,0.093903,POSITIVE
18,0,98,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Female,(null),3,86,19,-0.093925,NEGATIVE
18,1,98,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Male,(null),3,86,19,0.284310,POSITIVE
19,0,97,State-gov,11,HS-grad,2,11th,Prof-specialty,Not-in-family,Female,(null),3,85,7,-0.111424,NEGATIVE
19,1,97,State-gov,11,HS-grad,2,11th,Prof-specialty,Not-in-family,Male,(null),3,85,7,0.267964,POSITIVE
20,0,98,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Female,(null),3,86,8,-0.286298,NEGATIVE
20,1,98,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Male,(null),3,86,8,0.090466,POSITIVE
21,0,87,State-gov,13,Prof-school,5,Prof-school,Prof-specialty,Other-relative,Female,(null),3,98,19,2.931622,POSITIVE
21,1,87,State-gov,13,Prof-school,5,Prof-school,Prof-specialty,Other-relative,Male,(null),3,98,19,-0.139411,NEGATIVE
22,0,84,Federal-gov,7,HS-grad,5,(null),Prof-specialty,Husband,Female,(null),2,94,5,-0.067839,NEGATIVE
22,1,84,Federal-gov,7,HS-grad,5,(null),Prof-specialty,Husband,Male,(null),2,94,5,0.280737,POSITIVE
23,0,84,Local-gov,8,HS-grad,5,Bachelors,Prof-specialty,Husband,Female,(null),2,95,5,-0.225402,NEGATIVE
23,1,84,Local-gov,8,HS-grad,5,Bachelors,Prof-specialty,Husband,Male,(null),2,95,5,0.119670,POSITIVE
24,0,87,State-gov,13,Prof-school,5,Prof-school,Prof-specialty,Other-relative,Female,(null),3,86,8,2.931622,POSITIVE
24,1,87,State-gov,13,Prof-school,5,Prof-school,Prof-specialty,Other-relative,Male,(null),3,86,8,-0.159740,NEGATIVE
25,0,87,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Female,(null),3,98,19,-0.048169,NEGATIVE
25,1,87,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Male,(null),3,98,19,0.295522,POSITIVE
