Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,0,0,0.52,0.0,0.52,0,0.52,30.082,30.16,0,0.0,30.16,1,1,0.8527,1.0,-,[100.   6.   8.  11.   0.  10.   0.   4.   1.  15.  11.  21.  18.],[100.   6.   8.  11.   0.  10.   0.   4.   0.  15.  11.  21.  18.]
2,sat,2,0,0,0,0,0.28,0.0,0.28,0,0.28,86.929,87.03,0,0.0,87.03,1,1,0.8527,1.0,-,[100.   0.  13.  10.   1.  10.   5.   4.   1.   0.  19.  31.  39.],[100.   0.  13.  10.   1.  10.   5.   4.   0.   0.  19.  31.  39.]
3,unknown,2,0,1,1,0,0.52,0.0,0.52,0.04,0.56,100.01,100.14,100.003,100.03,200.17,0,0,0.8527,1.0,-,,
4,unknown,2,0,2,1,0,0.24,0.0,0.24,0.0,0.24,100.033,100.17,100.048,100.09,200.26,0,0,0.8527,1.0,-,,
5,unknown,2,0,3,1,0,0.28,0.0,0.28,0.0,0.28,100.048,100.17,100.047,100.09,200.26,0,0,0.8527,1.0,-,,
6,unsat,2,1,3,0,0,0.56,0.0,0.56,0,0.56,47.566,47.66,0,0.0,47.66,0,0,0.8527,1.0,-,,
7,sat,3,1,3,1,1,0.48,0.0,0.48,0.0,0.48,100.005,100.11,48.188,48.23,148.34,1,1,0.8527,1.0,-,[100.   6.   7.   1.   0.  11.   1.   4.   1.  11.   0.  41.  28.],[100.   6.   7.   1.   0.  11.   1.   4.   0.  11.   0.  41.  28.]
8,unknown,3,1,4,1,0,0.36,0.0,0.36,0.0,0.36,100.027,100.14,100.004,100.04,200.18,0,0,0.8527,1.0,-,,
9,unknown,3,1,5,1,0,0.52,0.0,0.52,0.0,0.52,100.04,100.15,100.052,100.08,200.23,0,0,0.8527,1.0,-,,
10,sat,4,1,5,0,0,0.48,0.0,0.48,0,0.48,27.84,27.97,0,0.0,27.97,1,1,0.8527,1.0,-,[89.  5.  6.  1.  0. 10.  4.  1.  0. 10. 12. 41. 40.],[89.  5.  6.  1.  0. 10.  4.  1.  1. 10. 12. 41. 40.]
11,unknown,4,1,6,1,0,0.24,0.0,0.24,0.0,0.24,100.003,100.13,100.018,100.06,200.19,0,0,0.8527,1.0,-,,
12,unknown,4,1,7,1,0,0.52,0.0,0.52,0.0,0.52,100.048,100.14,100.058,100.08,200.23,0,0,0.8527,1.0,-,,
13,unknown,4,1,8,1,0,0.24,0.0,0.24,0.04,0.28,100.023,100.16,100.071,100.11,200.27,0,0,0.8527,1.0,-,,
14,unknown,4,1,9,1,0,0.28,0.0,0.28,0.08,0.36,100.059,100.22,100.028,100.06,200.28,0,0,0.8527,1.0,-,,
15,unknown,4,1,10,1,0,0.28,0.0,0.28,0.04,0.32,100.267,100.42,100.075,100.13,200.54,0,0,0.8527,1.0,-,,
16,unknown,4,1,11,1,0,0.32,0.0,0.32,0.04,0.36,100.015,100.15,100.006,100.04,200.2,0,0,0.8527,1.0,-,,
17,unknown,4,1,12,1,0,0.36,0.0,0.36,0.0,0.36,100.019,100.18,100.026,100.06,200.24,0,0,0.8527,1.0,-,,
18,unknown,4,1,13,1,0,0.44,0.0,0.44,0.04,0.48,100.025,100.13,100.028,100.06,200.19,0,0,0.8527,1.0,-,,
19,sat,5,1,13,1,1,0.28,0.0,0.28,0.0,0.28,100.067,100.19,34.528,34.57,134.76,1,1,0.8527,1.0,-,[96.  0.  8.  4.  5.  6.  5.  4.  1.  9. 13. 40. 40.],[96.  0.  8.  4.  5.  6.  5.  4.  0.  9. 13. 40. 40.]
20,unknown,5,1,14,1,0,0.44,0.0,0.44,0.0,0.44,100.039,100.15,100.015,100.05,200.19,0,0,0.8527,1.0,-,,
21,unknown,5,1,15,1,0,0.44,0.0,0.44,0.0,0.44,100.023,100.14,100.007,100.03,200.18,0,0,0.8527,1.0,-,,
22,unknown,5,1,16,1,0,0.36,0.0,0.36,0.0,0.36,100.036,100.14,100.012,100.04,200.19,0,0,0.8527,1.0,-,,
