Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,101.674,104.04,101.464,101.95,205.99,0,0,0.767,1.0,-,,
2,unknown,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,100.021,102.06,100.905,101.36,203.42,0,0,0.767,1.0,-,,
3,unknown,0,0,3,1,0,0.0,0.0,0.0,0.0,0.0,100.814,103.4,101.693,102.15,205.55,0,0,0.767,1.0,-,,
4,unknown,0,0,4,1,0,0.0,0.0,0.0,0.0,0.0,100.786,103.37,101.107,101.64,205.02,0,0,0.767,1.0,-,,
5,unknown,0,0,5,1,0,0.0,0.0,0.0,0.0,0.0,100.287,102.88,102.101,102.56,205.44,0,0,0.767,1.0,-,,
6,unknown,0,0,6,1,0,0.0,0.0,0.0,0.0,0.0,106.852,109.69,100.101,100.57,210.26,0,0,0.767,1.0,-,,
7,unknown,0,0,7,1,0,0.0,0.0,0.0,0.0,0.0,100.548,103.48,100.734,101.2,204.68,0,0,0.767,1.0,-,,
8,unknown,0,0,8,1,0,0.0,0.0,0.0,0.0,0.0,101.069,104.27,101.495,101.97,206.24,0,0,0.767,1.0,-,,
9,unknown,0,0,9,1,0,0.0,0.0,0.0,0.0,0.0,100.681,103.42,101.25,101.72,205.14,0,0,0.767,1.0,-,,
10,unknown,0,0,10,1,0,0.0,0.0,0.0,0.0,0.0,100.589,103.06,102.088,102.55,205.61,0,0,0.767,1.0,-,,
11,unknown,0,0,11,1,0,0.0,0.0,0.0,0.0,0.0,100.423,102.61,101.16,101.65,204.25,0,0,0.767,1.0,-,,
12,unknown,0,0,12,1,0,0.0,0.0,0.0,0.0,0.0,101.341,103.81,100.32,100.78,204.59,0,0,0.767,1.0,-,,
13,unknown,0,0,13,1,0,0.0,0.0,0.0,0.0,0.0,101.944,104.55,100.111,100.58,205.13,0,0,0.767,1.0,-,,
14,unknown,0,0,14,1,0,0.0,0.0,0.0,0.0,0.0,101.962,104.66,101.672,102.13,206.8,0,0,0.767,1.0,-,,
15,unknown,0,0,15,1,0,0.0,0.0,0.0,0.0,0.0,102.477,105.28,100.392,100.85,206.14,0,0,0.767,1.0,-,,
16,unknown,0,0,16,1,0,0.0,0.0,0.0,0.0,0.0,100.323,103.27,100.872,101.34,204.61,0,0,0.767,1.0,-,,
17,unknown,0,0,17,1,0,0.0,0.0,0.0,0.0,0.0,101.972,104.71,100.874,101.35,206.05,0,0,0.767,1.0,-,,
18,unknown,0,0,18,1,0,0.0,0.0,0.0,0.0,0.0,100.16,102.64,101.962,102.43,205.07,0,0,0.767,1.0,-,,
