Partition ID,Original Accuracy,Original F1 Score,Pruned Accuracy,Pruned F1,DI,SPD,EOD,AOD,ERD,CNT,TI
1,0.8481721698113207,0.6378340365682138,1.0,1.0,0.34913098770665535,-0.14481262575452716,-0.060060280221570506,-0.05646300614498671,-0.10936871227364175,[0.90271226],0.13350726510467822
2,0.8481721698113207,0.6378340365682138,1.0,1.0,0.34913098770665535,-0.14481262575452716,-0.060060280221570506,-0.05646300614498671,-0.10936871227364175,[0.90271226],0.13350726510467822
3,0.8481721698113207,0.6378340365682138,1.0,1.0,0.34913098770665535,-0.14481262575452716,-0.060060280221570506,-0.05646300614498671,-0.10936871227364175,[0.90271226],0.13350726510467822
4,0.8481721698113207,0.6378340365682138,1.0,1.0,0.34913098770665535,-0.14481262575452716,-0.060060280221570506,-0.05646300614498671,-0.10936871227364175,[0.90271226],0.13350726510467822
5,0.8481721698113207,0.6378340365682138,1.0,1.0,0.34913098770665535,-0.14481262575452716,-0.060060280221570506,-0.05646300614498671,-0.10936871227364175,[0.90271226],0.13350726510467822
6,0.8481721698113207,0.6378340365682138,1.0,1.0,0.34913098770665535,-0.14481262575452716,-0.060060280221570506,-0.05646300614498671,-0.10936871227364175,[0.90271226],0.13350726510467822
7,0.8481721698113207,0.6378340365682138,1.0,1.0,0.34913098770665535,-0.14481262575452716,-0.060060280221570506,-0.05646300614498671,-0.10936871227364175,[0.90271226],0.13350726510467822
8,0.8481721698113207,0.6378340365682138,1.0,1.0,0.34913098770665535,-0.14481262575452716,-0.060060280221570506,-0.05646300614498671,-0.10936871227364175,[0.90271226],0.13350726510467822
9,0.8481721698113207,0.6378340365682138,1.0,1.0,0.34913098770665535,-0.14481262575452716,-0.060060280221570506,-0.05646300614498671,-0.10936871227364175,[0.90271226],0.13350726510467822
10,0.8481721698113207,0.6378340365682138,1.0,1.0,0.34913098770665535,-0.14481262575452716,-0.060060280221570506,-0.05646300614498671,-0.10936871227364175,[0.90271226],0.13350726510467822
11,0.8481721698113207,0.6378340365682138,1.0,1.0,0.34913098770665535,-0.14481262575452716,-0.060060280221570506,-0.05646300614498671,-0.10936871227364175,[0.90271226],0.13350726510467822
12,0.8481721698113207,0.6378340365682138,1.0,1.0,0.34913098770665535,-0.14481262575452716,-0.060060280221570506,-0.05646300614498671,-0.10936871227364175,[0.90271226],0.13350726510467822
13,0.8481721698113207,0.6378340365682138,1.0,1.0,0.34913098770665535,-0.14481262575452716,-0.060060280221570506,-0.05646300614498671,-0.10936871227364175,[0.90271226],0.13350726510467822
14,0.8481721698113207,0.6378340365682138,1.0,1.0,0.34913098770665535,-0.14481262575452716,-0.060060280221570506,-0.05646300614498671,-0.10936871227364175,[0.90271226],0.13350726510467822
15,0.8481721698113207,0.6378340365682138,1.0,1.0,0.34913098770665535,-0.14481262575452716,-0.060060280221570506,-0.05646300614498671,-0.10936871227364175,[0.90271226],0.13350726510467822
16,0.8481721698113207,0.6378340365682138,1.0,1.0,0.34913098770665535,-0.14481262575452716,-0.060060280221570506,-0.05646300614498671,-0.10936871227364175,[0.90271226],0.13350726510467822
17,0.8481721698113207,0.6378340365682138,1.0,1.0,0.34913098770665535,-0.14481262575452716,-0.060060280221570506,-0.05646300614498671,-0.10936871227364175,[0.90271226],0.13350726510467822
18,0.8481721698113207,0.6378340365682138,1.0,1.0,0.34913098770665535,-0.14481262575452716,-0.060060280221570506,-0.05646300614498671,-0.10936871227364175,[0.90271226],0.13350726510467822
